date,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.1852,0.1847,0.6016,0.2451,0.1388
2025-12-31,0.2018,0.2012,0.6032,0.2539,0.1458
2025-09-30,0.2052,0.2045,0.6064,0.2676,0.1515
2025-06-30,0.2144,0.2137,0.6042,0.2853,0.1574
2025-03-31,0.2818,0.2808,0.6222,0.3167,0.2064
2024-12-31,0.3169,0.3156,0.6311,0.3197,0.2245
2024-09-30,0.3157,0.3146,0.6517,0.3353,0.2313
2024-06-30,0.3295,0.3282,0.6649,0.3437,0.235
2024-03-31,0.3423,0.3408,0.6605,0.3386,0.2448
2023-12-31,0.3544,0.3526,0.6616,0.3315,0.2446
2023-09-30,0.3383,0.3368,0.6561,0.3299,0.2475
2023-06-30,0.3546,0.353,0.6496,0.3214,0.2498
2023-03-31,0.3213,0.3199,0.6454,0.317,0.2319
2022-12-31,0.326,0.3245,0.6415,0.3165,0.2265
2022-09-30,0.3371,0.3354,0.6405,0.3237,0.2444
2022-06-30,0.3457,0.3439,0.6426,0.3214,0.2467
2022-03-31,0.3164,0.315,0.6503,0.3176,0.2288
2021-12-31,0.3185,0.3173,0.6501,0.3167,0.2242
2021-09-30,0.3325,0.3312,0.6424,0.3269,0.2397
2021-06-30,0.3372,0.3357,0.6485,0.3249,0.2377
2021-03-31,0.3142,0.313,0.6508,0.32,0.225
2020-12-31,0.3178,0.3178,0.6497,0.3167,0.226
2020-09-30,0.3213,0.3213,0.6652,0.315,0.2307
2020-06-30,0.3158,0.3158,0.6565,0.305,0.2196
2020-03-31,0.2766,0.2766,0.6492,0.2871,0.2003
2019-12-31,0.2772,0.2772,0.6524,0.283,0.1983
2019-09-30,0.343,0.3266,0.653,0.2837,0.2203
2019-06-30,,,0.6536,0.2785,
2019-03-31,0.3323,,0.6595,0.272,0.214
2018-12-31,0.3413,0.316,0.6657,0.2709,0.2066
2018-09-30,,,0.6665,0.2669,
2018-06-30,,,,,
2018-03-31,,,,,
2017-12-31,0.4622,,0.6703,0.2328,0.1898
2017-09-30,,,,,
2016-12-31,0.2895,,0.6462,0.1785,0.1273
