date,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PEG,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-04-16,3.1344,,,,,14.3527,,,,,,13.4780,,,,,2.6534,,,,,0.0553,1.2918,,,,
2026-04-15,3.1179,,,,,14.2771,,,,,,13.4070,,,,,2.6394,,,,,0.0556,1.2850,,,,
2026-04-14,3.0801,,,,,14.1039,,,,,,13.2444,,,,,2.6074,,,,,0.0562,1.2694,,,,
2026-04-13,3.0491,,,,,13.9621,,,,,,13.1112,,,,,2.5812,,,,,0.0568,1.2566,,,,
2026-04-10,3.0745,,,,,14.0782,,,,,,13.2202,,,,,2.6026,,,,,0.0563,1.2671,,,,
2026-04-09,3.0789,,,,,14.0984,,,,,,13.2392,,,,,2.6064,,,,,0.0563,1.2689,,,,
2026-04-08,3.0873,,,,,14.1371,,,,,,13.2755,,,,,2.6135,,,,,0.0561,1.2724,,,,
2026-04-07,3.0628,,,,,14.0247,,,,,,13.1700,,,,,2.5928,,,,,0.0566,1.2623,,,,
2026-04-03,3.0721,,,,,14.0671,,,,,,13.2098,,,,,2.6006,,,,,0.0564,1.2661,,,,
2026-04-02,3.1131,,,,,14.2550,,,,,,13.3863,,,,,2.6353,,,,,0.0556,1.2830,,,,
2026-04-01,3.0918,,,,,14.1574,,,,,,13.2946,,,,,2.6173,,,,,0.0560,1.2742,,,,
2026-03-31,3.0721,,,,,14.0671,,,,,,13.2098,,,,,2.6006,,,,,0.0563,1.2661,,,,
2026-03-30,3.0039,,,,,12.8869,,,,,,12.2481,,,,,2.5275,,,,,0.0516,1.2080,,,,
2026-03-27,3.1155,,,,,13.3659,,,,,,12.7034,,,,,2.6215,,,,,0.0498,1.2529,,,,
2026-03-26,3.0963,,,,,13.2837,,,,,,12.6252,,,,,2.6053,,,,,0.0501,1.2452,,,,
2026-03-25,3.1163,,,,,13.3695,,,,,,12.7068,,,,,2.6222,,,,,0.0498,1.2532,,,,
2026-03-24,3.0926,,,,,13.2676,,,,,,12.6100,,,,,2.6022,,,,,0.0502,1.2437,,,,
2026-03-23,3.0568,,,,,13.1139,,,,,,12.4639,,,,,2.5720,,,,,0.0507,1.2292,,,,
2026-02-13,,,,,,,,,,,1.4390,,,,,,,,,,,,,,,,
2026-02-06,,,,,,,,,,,1.4479,,,,,,,,,,,,,,,,
2026-01-30,,,,,,,,,,,1.4124,,,,,,,,,,,,,,,,
2026-01-23,,,,,,,,,,,1.3976,,,,,,,,,,,,,,,,
2026-01-16,,,,,,,,,,,1.4073,,,,,,,,,,,,,,,,
