date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.1443,0.1833,0.2642,0.0967,0.0715
2025-12-31,0.1493,0.1919,0.2639,0.0971,0.0734
2025-09-30,0.1592,0.1991,0.2574,0.0998,0.078
2025-06-30,0.1603,0.2182,0.2563,0.0999,0.0773
2025-03-31,0.1498,0.1996,0.2591,0.0985,0.075
2024-12-31,0.1441,0.1928,0.2642,0.0947,0.0711
2024-09-30,0.1435,0.1936,0.2717,0.0936,0.0729
2024-06-30,0.1546,0.2174,0.2745,0.0923,0.075
2024-03-31,0.1498,0.2006,0.2734,0.0903,0.0738
2023-12-31,0.1534,0.2069,0.2649,0.0903,0.0743
2023-09-30,0.1533,0.2107,0.2599,0.0912,0.0757
2023-06-30,0.1505,0.2158,0.2536,0.0895,0.0736
2023-03-31,0.1448,0.2019,0.2472,0.0874,0.0724
2022-12-31,0.1527,0.2079,0.2424,0.0862,0.0736
2022-09-30,0.1537,0.2166,0.2237,0.0852,0.0756
2022-06-30,0.1568,0.2268,0.2244,0.085,0.0754
2022-03-31,0.1562,0.2221,0.2228,0.0845,0.0764
2021-12-31,0.1612,0.224,0.2248,0.0845,0.0775
2021-09-30,0.1693,0.2335,0.2396,0.0877,0.0798
2021-06-30,0.1666,0.243,0.2389,0.0893,0.0802
2021-03-31,0.1742,0.2481,0.2455,0.0943,0.0873
2020-12-31,0.1687,0.2374,0.2511,0.0963,0.0831
2020-09-30,0.1569,0.2237,0.2585,0.0912,0.079
2020-06-30,0.1548,0.2207,0.2676,0.0879,0.0753
2020-03-31,0.1598,0.2231,0.2818,0.0898,0.0811
2019-12-31,0.1798,0.2528,0.2886,0.0905,0.0894
2019-09-30,0.1813,0.2538,0.2899,0.0902,0.092
2019-06-30,,0.2566,0.2883,0.0878,0.0895
2019-03-31,,0.2406,0.2827,0.0844,0.0848
2018-12-31,0.1732,0.2469,0.2754,0.0827,0.0846
2018-09-30,,0.2508,0.2657,0.0826,0.0866
2018-06-30,,0.2558,0.2611,0.08,0.0865
2018-03-31,,0.2411,0.2519,0.0776,0.0818
2017-12-31,,0.245,0.2503,0.0769,0.0889
2017-09-30,,0.2491,0.2538,0.079,0.0899
2017-06-30,,0.2496,0.2533,0.0831,0.0862
2017-03-31,,0.2419,0.2603,0.0904,0.0876
2016-12-31,,0.2538,0.2731,0.0992,0.1059
2016-09-30,,0.2591,0.2723,0.1077,0.1046
