date,metric,value
2026-03-31,资产合计,613881571000
2026-03-31,基本每股收益,1.6924
2026-03-31,流动比率,1.2149
2026-03-31,应收账款,52536877000
2026-03-31,归属于母公司普通股股东的净利润,12674556000
2026-03-31,经营活动产生的现金流量净额,14529165000
2026-03-31,流动负债合计,41199188000
2026-03-31,所有者权益合计,245441131000
2026-03-31,毛利率(GM),0.2642
2026-03-31,有息负债率,0.0973
2026-03-31,资本回报率(ROIC),0.1443
2026-03-31,货币资金,580510136801.1
2026-03-31,自由现金流量,42703966000
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.1999
2026-03-31,营业收入,131098601000
2026-03-31,净资产收益率(ROE),0.1833
2026-03-31,速动比率,1.0183
2026-03-31,总资产收益率(ROA),0.0715
2026-03-31,流动资产合计,5002738000
2026-03-31,负债合计,368440440000
2026-03-31,长期负债合计,13576764000
2026-03-31,净利润率,0.0967
2026-03-31,资产负债率,0.6002
