date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,12674556000,0.0203,131098601000,1.6924
2025-12-31,43945411000,0.1403,456451731000,5.8
2025-09-30,37883383000,0.1951,363056751000,4.98
2025-06-30,26013690000,0.2504,251123714000,3.41
2025-03-31,12422233000,0.3802,127838538000,1.64
2024-12-31,38537237000,0.1429,407149600000,5.44
2024-09-30,31699114000,0.1437,318974661000,4.58
2024-06-30,20804176000,0.1411,217274086000,3.02
2024-03-31,9000007000,0.1191,106101612000,1.31
2023-12-31,33719935000,0.141,372037280000,4.93
2023-09-30,27717481000,0.1327,291110510000,4.06
2023-06-30,18232291000,0.1398,196988402000,2.67
2023-03-31,8041853000,0.1204,96262922000,1.18
2022-12-31,29553507000,0.0343,343917531000,4.34
2022-09-30,24469921000,0.0433,270366753000,3.59
2022-06-30,15995496000,0.0657,182661009000,2.3403
2022-03-31,7177925000,0.1097,90381167000,1.06
2021-12-31,28573650000,0.0496,341233208000,4.17
2021-09-30,23455250000,0.0653,261341969000,3.41
2021-06-30,15009046000,0.0776,173809565000,2.17
2021-03-31,6468588000,0.3445,82504017000,0.93
2020-12-31,27222969000,0.1244,284221249000,3.93
2020-09-30,22018301000,0.0329,216760786000,3.18
2020-06-30,13928295000,-0.0829,139067022000,2.01
2020-03-31,4810977000,-0.2151,58013031000,0.7
2019-12-31,24211222000,0.1968,278216017000,3.6
2019-09-30,21315967000,0.1908,220918162000,3.2
2019-06-30,15187069000,0.1739,153770300000,2.32
2019-03-31,6129026000,0.166,75205780000,0.94
2018-12-31,20230779000,0.1705,259664820000,3.08
2018-09-30,17900239000,0.1935,205756653000,2.72
2018-06-30,12936846000,0.1966,142623837000,1.97
2018-03-31,5256231000,0.2076,69737528000,0.8
2017-12-31,17283689000,0.177,240712301000,2.66
2017-09-30,14998175000,0.171,186948866000,2.31
2017-06-30,10811322000,0.1385,124450065000,1.67
2017-03-31,4352587000,0.114,59755914000,0.67
2016-12-31,14684357000,0.1556,159044041000,2.29
2016-09-30,12807993000,0.1631,116378417000,2
