date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-05-06,13.8380,0.4284,18.0123,14.4801,12.8003,0.0535,1.3248,0.5181,1.5206,1.3172,1.1257,2.6327,0.1268,4.5235,3.4194,2.7106,611607536401.84,,,,,,,,,,
2026-04-30,13.9515,0.4284,18.0123,14.4801,12.8003,0.0531,1.3357,0.5181,1.5206,1.3172,1.1257,2.6543,0.1268,4.5235,3.4194,2.7106,616625698684.6,,,,,,,,,,
2026-04-29,14.0680,0.4284,18.0123,14.4801,12.8003,0.0530,1.3484,0.5181,1.5206,1.3172,1.1257,2.7695,0.1268,4.5235,3.4194,2.7106,618222386683.66,,,,,,,,,,
2026-04-28,13.9192,0.4284,18.0123,14.4801,12.8003,0.0535,1.3341,0.5181,1.5206,1.3172,1.1257,2.7403,0.1268,4.5235,3.4194,2.7106,611683569163.7001,,,,,,,,,,
2026-04-27,13.7548,0.4284,18.0123,14.4801,12.8003,0.0542,1.3183,0.5181,1.5206,1.3172,1.1257,2.7079,0.1268,4.5235,3.4194,2.7106,604460456787.0,,,,,,,,,,
2026-04-24,13.7825,0.4284,18.0123,14.4801,12.8003,0.0540,1.3210,0.5181,1.5206,1.3172,1.1257,2.7133,0.1268,4.5235,3.4194,2.7106,605676980976.76,,,,,,,,,,
2026-04-23,13.8154,0.4284,18.0123,14.4801,12.8003,0.0539,1.3241,0.5181,1.5206,1.3172,1.1257,2.7198,0.1268,4.5235,3.4194,2.7106,607121603452.1,,,,,,,,,,
2026-04-22,13.7202,0.4284,18.0123,14.4801,12.8003,0.0543,1.3150,0.5181,1.5206,1.3172,1.1257,2.7011,0.1268,4.5235,3.4194,2.7106,602939801549.7999,,,,,,,,,,
2026-04-21,13.7548,0.4284,18.0123,14.4801,12.8003,0.0542,1.3183,0.5181,1.5206,1.3172,1.1257,2.7079,0.1268,4.5235,3.4194,2.7106,604460456787.0,,,,,,,,,,
2026-04-20,13.7686,0.4284,18.0123,14.4801,12.8003,0.0541,1.3197,0.5181,1.5206,1.3172,1.1257,2.7106,0.1268,4.5235,3.4194,2.7106,605068718881.88,,,,,,,,,,
2026-04-17,13.6077,0.4284,18.0123,14.4801,12.8003,0.0547,1.3042,0.5181,1.5206,1.3172,1.1257,2.6789,0.1268,4.5235,3.4194,2.7106,597997672028.9,,,,,,,,,,
2026-04-16,13.4780,0.4284,18.0123,14.4801,12.8003,0.0553,1.2918,0.5181,1.5206,1.3172,1.1257,2.6534,0.1268,4.5235,3.4194,2.7106,592295214889.4,,,,,,,,,,
2026-04-15,13.4070,0.4284,18.0123,14.4801,12.8003,0.0556,1.2850,0.5181,1.5206,1.3172,1.1257,2.6394,0.1268,4.5235,3.4194,2.7106,589177871653.14,,,,,,,,,,
2026-04-14,13.2444,0.4284,18.0123,14.4801,12.8003,0.0562,1.2694,0.5181,1.5206,1.3172,1.1257,2.6074,0.1268,4.5235,3.4194,2.7106,582030792038.2999,,,,,,,,,,
2026-04-13,13.1112,0.4284,18.0123,14.4801,12.8003,0.0568,1.2566,0.5181,1.5206,1.3172,1.1257,2.5812,0.1268,4.5235,3.4194,2.7106,576176269375.08,,,,,,,,,,
2026-04-10,13.2202,0.4284,18.0123,14.4801,12.8003,0.0563,1.2671,0.5181,1.5206,1.3172,1.1257,2.6026,0.1268,4.5235,3.4194,2.7106,580966333372.26,,,,,,,,,,
