代码,名称,权重(%),调整因子
AAPL,苹果,11.50,1.00
MSFT,微软,10.80,1.00
NVDA,英伟达,9.50,1.00
AMZN,亚马逊,6.20,1.00
META,Meta平台,4.80,1.00
GOOGL,谷歌A,3.50,1.00
GOOG,谷歌C,3.30,1.00
TSLA,特斯拉,3.20,1.00
AVGO,博通,2.80,1.00
COST,好市多,2.20,1.00
ADBE,Adobe,1.80,1.00
NFLX,网飞,1.70,1.00
AMD,超威半导体,1.60,1.00
PEP,百事可乐,1.50,1.00
CSCO,思科,1.40,1.00
TMUS,T-Mobile,1.30,1.00
QCOM,高通,1.20,1.00
INTC,英特尔,1.10,1.00
TXN,德州仪器,1.00,1.00
INTU,Intuit,0.90,1.00
