date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-07-03,289427734827.0,0.3839,,,,,5.7563,,,,,0.3867,,,,,5.7351,,,,,1.6575,,,,,0.0483
2026-07-02,289760793210.0,0.3844,,,,,5.7629,,,,,0.3871,,,,,5.7417,,,,,1.6594,,,,,0.0483
2026-07-01,288095501295.0,0.3822,,,,,5.7298,,,,,0.3849,,,,,5.7087,,,,,1.6499,,,,,0.0486
2026-06-30,286763267763.0,0.3804,,,,,5.7033,,,,,0.3831,,,,,5.6823,,,,,1.6423,,,,,0.0488
2026-06-29,290759968359.0,0.3857,,,,,5.7828,,,,,0.3885,,,,,5.7615,,,,,1.6651,,,,,0.0481
2026-06-26,291759143508.0,0.3870,,,,,5.8027,,,,,0.3898,,,,,5.7813,,,,,1.6709,,,,,0.0479
2026-06-25,294756668955.0,0.3910,,,,,5.8623,,,,,0.3938,,,,,5.8407,,,,,1.6880,,,,,0.0475
2026-06-24,296421960870.0,0.3932,,,,,5.8954,,,,,0.3960,,,,,5.8737,,,,,1.6976,,,,,0.0472
2026-06-23,309078179424.0,0.4100,,,,,6.1471,,,,,0.4129,,,,,6.1245,,,,,1.7701,,,,,0.0453
2026-06-22,305081478828.0,0.4047,,,,,6.0677,,,,,0.4076,,,,,6.0453,,,,,1.7472,,,,,0.0459
2026-06-18,302750070147.0,0.4016,,,,,6.0213,,,,,0.4045,,,,,5.9991,,,,,1.7338,,,,,0.0462
2026-06-17,307745945892.0,0.4082,,,,,6.1206,,,,,0.4111,,,,,6.0981,,,,,1.7624,,,,,0.0455
2026-06-16,315073230318.0,0.4180,,,,,6.2664,,,,,0.4209,,,,,6.2433,,,,,1.8044,,,,,0.0444
2026-06-15,317404638999.0,0.4210,,,,,6.3127,,,,,0.4241,,,,,6.2895,,,,,1.8177,,,,,0.0441
2026-06-12,322067456361.0,0.4272,,,,,6.4055,,,,,0.4303,,,,,6.3819,,,,,1.8444,,,,,0.0434
2026-06-11,318070755765.0,0.4219,,,,,6.3260,,,,,0.4249,,,,,6.3027,,,,,1.8216,,,,,0.0440
2026-06-10,319402989297.0,0.4237,,,,,6.3525,,,,,0.4267,,,,,6.3291,,,,,1.8292,,,,,0.0438
2026-06-09,312075704871.0,0.4140,,,,,6.2068,,,,,0.4169,,,,,6.1839,,,,,1.7872,,,,,0.0448
2026-06-08,312075704871.0,0.4140,,,,,6.2068,,,,,0.4169,,,,,6.1839,,,,,1.7872,,,,,0.0448
