date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率
2026-07-03,289427734827.0,0.3839,,,,,1.6575,,,,,5.7563,,,,,5.7351,,,,,0.3867,,,,,0.0483
2026-07-02,289760793210.0,0.3844,,,,,1.6594,,,,,5.7629,,,,,5.7417,,,,,0.3871,,,,,0.0483
2026-07-01,288095501295.0,0.3822,,,,,1.6499,,,,,5.7298,,,,,5.7087,,,,,0.3849,,,,,0.0486
2026-06-30,286763267763.0,0.3804,,,,,1.6423,,,,,5.7033,,,,,5.6823,,,,,0.3831,,,,,0.0488
2026-06-29,290759968359.0,0.3857,,,,,1.6651,,,,,5.7828,,,,,5.7615,,,,,0.3885,,,,,0.0481
2026-06-26,291759143508.0,0.3870,,,,,1.6709,,,,,5.8027,,,,,5.7813,,,,,0.3898,,,,,0.0479
2026-06-25,294756668955.0,0.3910,,,,,1.6880,,,,,5.8623,,,,,5.8407,,,,,0.3938,,,,,0.0475
2026-06-24,296421960870.0,0.3932,,,,,1.6976,,,,,5.8954,,,,,5.8737,,,,,0.3960,,,,,0.0472
2026-06-23,309078179424.0,0.4100,,,,,1.7701,,,,,6.1471,,,,,6.1245,,,,,0.4129,,,,,0.0453
2026-06-22,305081478828.0,0.4047,,,,,1.7472,,,,,6.0677,,,,,6.0453,,,,,0.4076,,,,,0.0459
2026-06-18,302750070147.0,0.4016,,,,,1.7338,,,,,6.0213,,,,,5.9991,,,,,0.4045,,,,,0.0462
2026-06-17,307745945892.0,0.4082,,,,,1.7624,,,,,6.1206,,,,,6.0981,,,,,0.4111,,,,,0.0455
2026-06-16,315073230318.0,0.4180,,,,,1.8044,,,,,6.2664,,,,,6.2433,,,,,0.4209,,,,,0.0444
