date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.5,-0.1525,4651612981,73686720161
2025-12-31,2.12,0.0495,19552798223,302346783918
2025-09-30,1.89,0.1524,17372697304,234053617957
2025-06-30,1.3,0.1504,12032995820,156494034449
2025-03-31,0.59,0.1346,5486615176,79118173584
2024-12-31,2.02,0.1285,18741120123,285981225204
2024-09-30,1.64,0.1631,15154447784,202971196942
2024-06-30,1.13,0.1771,10420218389,135622549121
2024-03-31,0.52,0.2093,4772967901,68977513890
2023-12-31,1.79,0.1329,16596615046,261427783050
2023-09-30,1.41,0.128,13149219373,198657302555
2023-06-30,0.97,0.1412,8963876000,131626581507
2023-03-31,0.43,0.1316,3971103085,65066477649
2022-12-31,1.58,0.1206,14710923492,243513563671
2022-09-30,1.25,0.1682,11665606491,184748766010
2022-06-30,0.85,0.1486,7949084473,121857522462
2022-03-31,0.38,0.1515,3517044899,60250997851
2021-12-31,1.41,0.0522,13067038272,227556143618
2021-09-30,1.072,0.119,9934611508,169963571549
2021-06-30,0.741,0.7518,6852271813,111618822065
2021-03-31,0.333,1.0429,3053933590,54773701754
2020-12-31,1.337,0.0397,8876593208,209725821099
2020-09-30,0.958,-0.1983,6300507504,154411813689
2020-06-30,0.423,-0.4673,2780800713,95728097107
2020-03-31,0.163,-0.5163,1070333404,43141448203
2019-12-31,1.286,0.0567,8206247106,200761983257
2019-09-30,1.221,0.2089,7772860903,148896109856
2019-06-30,0.809,0.0306,5150869558,98979793121
2019-03-31,0.335,0.0469,2136268479,48043265870
2018-12-31,1.21,0.068,7440228856,183316560236
2018-09-30,1.005,0.0936,6126787121,138138774411
2018-06-30,0.797,0.1008,4858795529,88591626626
2018-03-31,0.325,0.1404,1979995365,42655164567
2017-12-31,1.136,0.3736,6925792321,159254466909
2017-09-30,0.932,0.4864,5682361718,119189613634
2017-06-30,0.726,0.337,4427068405,77575749980
2017-03-31,0.285,0.0878,1738763573,37741143448
2016-12-31,0.826,0.17,5036652241,119065825202
2016-09-30,0.627,0.0627,3823106783,84270593385
