date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,192991618197.0,0.6500,,,,,1.5416,,,,,0.0562,10.9153,,,,,1.9609,,,,,10.3106,,,,
2026-07-02,191491197453.0,0.6449,,,,,1.5296,,,,,0.0566,10.8304,,,,,1.9457,,,,,10.2304,,,,
2026-07-01,190365881895.0,0.6411,,,,,1.5206,,,,,0.0569,10.7667,,,,,1.9343,,,,,10.1703,,,,
2026-06-30,191397421156.5,0.6446,,,,,1.5289,,,,,0.0566,10.8251,,,,,1.9447,,,,,10.2254,,,,
2026-06-29,191491197453.0,0.6449,,,,,1.5296,,,,,0.0566,10.8304,,,,,1.9457,,,,,10.2304,,,,
2026-06-26,184926856698.0,0.6228,,,,,1.4772,,,,,0.0586,10.4591,,,,,1.8790,,,,,9.8797,,,,
2026-06-25,186239724849.0,0.6272,,,,,1.4877,,,,,0.0582,10.5334,,,,,1.8923,,,,,9.9499,,,,
2026-06-24,181363357431.0,0.6108,,,,,1.4487,,,,,0.0598,10.2576,,,,,1.8428,,,,,9.6894,,,,
2026-06-23,184926856698.0,0.6228,,,,,1.4772,,,,,0.0586,10.4591,,,,,1.8790,,,,,9.8797,,,,
2026-06-22,187365040407.0,0.6310,,,,,1.4967,,,,,0.0579,10.5970,,,,,1.9038,,,,,10.0100,,,,
2026-06-18,182394896692.5,0.6143,,,,,1.4570,,,,,0.0594,10.3159,,,,,1.8533,,,,,9.7445,,,,
2026-06-17,192147631528.5,0.6471,,,,,1.5349,,,,,0.0564,10.8675,,,,,1.9524,,,,,10.2655,,,,
2026-06-16,194304486348.0,0.6544,,,,,1.5521,,,,,0.0558,10.9895,,,,,1.9743,,,,,10.3807,,,,
2026-06-15,196648893760.5,0.6623,,,,,1.5708,,,,,0.0551,11.1221,,,,,1.9981,,,,,10.5060,,,,
2026-06-12,198149314504.5,0.6674,,,,,1.5828,,,,,0.0547,11.2070,,,,,2.0134,,,,,10.5861,,,,
2026-06-11,197961761911.5,0.6667,,,,,1.5813,,,,,0.0548,11.1964,,,,,2.0114,,,,,10.5761,,,,
2026-06-10,191491197453.0,0.6449,,,,,1.5296,,,,,0.0566,10.8304,,,,,1.9457,,,,,10.2304,,,,
2026-06-09,188209027075.5,0.6339,,,,,1.5034,,,,,0.0576,10.6448,,,,,1.9124,,,,,10.0551,,,,
2026-06-08,189146790040.5,0.6370,,,,,1.5109,,,,,0.0573,10.6978,,,,,1.9219,,,,,10.1052,,,,
2026-06-05,190459658191.5,0.6415,,,,,1.5214,,,,,0.0569,10.7720,,,,,1.9352,,,,,10.1753,,,,
2026-06-04,190928539674.0,0.6430,,,,,1.5251,,,,,0.0568,10.7986,,,,,1.9400,,,,,10.2004,,,,
2026-06-03,194116933755.0,0.6538,,,,,1.5506,,,,,0.0558,10.9789,,,,,1.9724,,,,,10.3707,,,,
2026-06-02,198149314504.5,0.6674,,,,,1.5828,,,,,0.0547,11.2070,,,,,2.0134,,,,,10.5861,,,,
2026-06-01,197680433022.0,0.6658,,,,,1.5791,,,,,0.0548,11.1804,,,,,2.0086,,,,,10.5611,,,,
2026-05-29,195804907092.0,0.6595,,,,,1.5641,,,,,0.0554,11.0744,,,,,1.9895,,,,,10.4609,,,,
2026-05-28,188584132261.5,0.6351,,,,,1.5064,,,,,0.0575,10.6660,,,,,1.9162,,,,,10.0751,,,,
2026-05-27,189053013744.0,0.6367,,,,,1.5102,,,,,0.0573,10.6925,,,,,1.9209,,,,,10.1002,,,,
2026-05-26,189615671523.0,0.6386,,,,,1.5147,,,,,0.0572,10.7243,,,,,1.9266,,,,,10.1302,,,,
2026-05-25,190459658191.5,0.6415,,,,,1.5214,,,,,0.0569,10.7720,,,,,1.9352,,,,,10.1753,,,,
2026-05-22,191116092267.0,0.6437,,,,,1.5266,,,,,0.0567,10.8092,,,,,1.9419,,,,,10.2104,,,,
2026-05-21,191678750046.0,0.6456,,,,,1.5311,,,,,0.0566,10.8410,,,,,1.9476,,,,,10.2405,,,,
2026-05-20,195804907092.0,0.6595,,,,,1.5641,,,,,0.0554,11.0744,,,,,1.9895,,,,,10.4609,,,,
2026-05-19,196742670057.0,0.6626,,,,,1.5716,,,,,0.0551,11.1274,,,,,1.9991,,,,,10.5110,,,,
2026-05-18,197774209318.5,0.6661,,,,,1.5798,,,,,0.0548,11.1857,,,,,2.0095,,,,,10.5661,,,,
2026-05-15,200681274510.0,0.6759,,,,,1.6030,,,,,0.0540,11.3502,,,,,2.0391,,,,,10.7214,,,,
2026-05-14,199555958952.0,0.6721,,,,,1.5941,,,,,0.0543,11.2865,,,,,2.0276,,,,,10.6613,,,,
2026-05-13,197680433022.0,0.6658,,,,,1.5791,,,,,0.0548,11.1804,,,,,2.0086,,,,,10.5611,,,,
2026-05-12,198993301173.0,0.6702,,,,,1.5896,,,,,0.0545,11.2547,,,,,2.0219,,,,,10.6312,,,,
2026-05-11,201525261178.5,0.6787,,,,,1.6098,,,,,0.0538,11.3979,,,,,2.0477,,,,,10.7665,,,,
2026-05-08,200587498213.5,0.6756,,,,,1.6023,,,,,0.0540,11.3449,,,,,2.0381,,,,,10.7164,,,,
2026-05-07,201056379696.0,0.6772,,,,,1.6060,,,,,0.0539,11.3714,,,,,2.0429,,,,,10.7415,,,,
2026-05-06,202369247847.0,0.6816,,,,,1.6165,,,,,0.0536,11.4456,,,,,2.0562,,,,,10.8116,,,,
2026-04-30,201900366364.5,0.6800,,,,,1.6128,,,,,0.0537,11.4191,,,,,2.0515,,,,,10.7865,,,,
2026-04-29,202931905626.0,0.6835,,,,,1.6210,,,,,0.0534,11.4775,,,,,2.0619,,,,,10.8417,,,,
2026-04-28,200118616731.0,0.6740,,,,,1.5985,,,,,0.0542,11.3183,,,,,2.0334,,,,,10.6914,,,,
2026-04-27,192428960418.0,0.6365,,,,,1.6212,,,,,0.0563,10.3436,,,,,2.1054,,,,,9.8415,,,,
2026-04-24,192053855232.0,0.6352,,,,,1.6180,,,,,0.0564,10.3235,,,,,2.1013,,,,,9.8223,,,,
2026-04-23,192522736714.5,0.6368,,,,,1.6219,,,,,0.0563,10.3487,,,,,2.1064,,,,,9.8463,,,,
2026-04-22,193929381162.0,0.6414,,,,,1.6338,,,,,0.0559,10.4243,,,,,2.1218,,,,,9.9182,,,,
2026-04-21,195336025609.5,0.6461,,,,,1.6457,,,,,0.0555,10.4999,,,,,2.1372,,,,,9.9902,,,,
2026-04-20,194773367830.5,0.6442,,,,,1.6409,,,,,0.0557,10.4696,,,,,2.1310,,,,,9.9614,,,,
2026-04-17,195523578202.5,0.6467,,,,,1.6472,,,,,0.0554,10.5100,,,,,2.1393,,,,,9.9998,,,,
2026-04-16,197492880429.0,0.6532,,,,,1.6638,,,,,0.0549,10.6158,,,,,2.1608,,,,,10.1005,,,,
2026-04-15,197399104132.5,0.6529,,,,,1.6630,,,,,0.0549,10.6108,,,,,2.1598,,,,,10.0957,,,,
2026-04-14,196367564871.0,0.6495,,,,,1.6543,,,,,0.0552,10.5553,,,,,2.1485,,,,,10.0429,,,,
2026-04-13,194492038941.0,0.6433,,,,,1.6385,,,,,0.0557,10.4545,,,,,2.1280,,,,,9.9470,,,,
2026-04-10,195804907092.0,0.6476,,,,,1.6496,,,,,0.0554,10.5251,,,,,2.1423,,,,,10.0142,,,,
2026-04-09,194585815237.5,0.6436,,,,,1.6393,,,,,0.0557,10.4596,,,,,2.1290,,,,,9.9518,,,,
2026-04-08,198524419690.5,0.6566,,,,,1.6725,,,,,0.0546,10.6713,,,,,2.1721,,,,,10.1532,,,,
2026-04-07,193835604865.5,0.6411,,,,,1.6330,,,,,0.0559,10.4192,,,,,2.1208,,,,,9.9134,,,,
2026-04-03,198336867097.5,0.6560,,,,,1.6709,,,,,0.0547,10.6612,,,,,2.1700,,,,,10.1437,,,,
2026-04-02,200493721917.0,0.6631,,,,,1.6891,,,,,0.0541,10.7771,,,,,2.1936,,,,,10.2540,,,,
2026-04-01,204338550073.5,0.6758,,,,,1.7215,,,,,0.0531,10.9838,,,,,2.2357,,,,,10.4506,,,,
