date,市值(元),股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,192991618197.0,0.0562,1.9609,,,,,1.5416,,,,,10.9153,,,,,10.3106,,,,,0.6500,,,,
2026-07-02,191491197453.0,0.0566,1.9457,,,,,1.5296,,,,,10.8304,,,,,10.2304,,,,,0.6449,,,,
2026-07-01,190365881895.0,0.0569,1.9343,,,,,1.5206,,,,,10.7667,,,,,10.1703,,,,,0.6411,,,,
2026-06-30,191397421156.5,0.0566,1.9447,,,,,1.5289,,,,,10.8251,,,,,10.2254,,,,,0.6446,,,,
2026-06-29,191491197453.0,0.0566,1.9457,,,,,1.5296,,,,,10.8304,,,,,10.2304,,,,,0.6449,,,,
2026-06-26,184926856698.0,0.0586,1.8790,,,,,1.4772,,,,,10.4591,,,,,9.8797,,,,,0.6228,,,,
2026-06-25,186239724849.0,0.0582,1.8923,,,,,1.4877,,,,,10.5334,,,,,9.9499,,,,,0.6272,,,,
2026-06-24,181363357431.0,0.0598,1.8428,,,,,1.4487,,,,,10.2576,,,,,9.6894,,,,,0.6108,,,,
2026-06-23,184926856698.0,0.0586,1.8790,,,,,1.4772,,,,,10.4591,,,,,9.8797,,,,,0.6228,,,,
2026-06-22,187365040407.0,0.0579,1.9038,,,,,1.4967,,,,,10.5970,,,,,10.0100,,,,,0.6310,,,,
2026-06-18,182394896692.5,0.0594,1.8533,,,,,1.4570,,,,,10.3159,,,,,9.7445,,,,,0.6143,,,,
2026-06-17,192147631528.5,0.0564,1.9524,,,,,1.5349,,,,,10.8675,,,,,10.2655,,,,,0.6471,,,,
2026-06-16,194304486348.0,0.0558,1.9743,,,,,1.5521,,,,,10.9895,,,,,10.3807,,,,,0.6544,,,,
2026-06-15,196648893760.5,0.0551,1.9981,,,,,1.5708,,,,,11.1221,,,,,10.5060,,,,,0.6623,,,,
2026-06-12,198149314504.5,0.0547,2.0134,,,,,1.5828,,,,,11.2070,,,,,10.5861,,,,,0.6674,,,,
2026-06-11,197961761911.5,0.0548,2.0114,,,,,1.5813,,,,,11.1964,,,,,10.5761,,,,,0.6667,,,,
2026-06-10,191491197453.0,0.0566,1.9457,,,,,1.5296,,,,,10.8304,,,,,10.2304,,,,,0.6449,,,,
2026-06-09,188209027075.5,0.0576,1.9124,,,,,1.5034,,,,,10.6448,,,,,10.0551,,,,,0.6339,,,,
2026-06-08,189146790040.5,0.0573,1.9219,,,,,1.5109,,,,,10.6978,,,,,10.1052,,,,,0.6370,,,,
