日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=12.6700,=12.6700,=12.6700,=12.6700,=167987265278.0,=115955845068.0,=19467178692.64,,=1.0243,,,,
2026-07-02,=12.5900,=12.5900,=12.5900,=12.5900,=166926572206.0,=115223685036.0,=19344260437.28,,=1.0178,,,,
2026-07-01,=12.6200,=12.6200,=12.6200,=12.6200,=167324332108.0,=115498245048.0,=19390354783.04,,=1.0202,,,,
2026-06-30,=12.1800,=12.1800,=12.1800,=12.1800,=161490520212.0,=111471364872.0,=18714304378.56,,=0.9847,,,,
2026-06-29,=12.7900,=12.7900,=12.7900,=12.7900,=169578304886.0,=117054085116.0,=19651556075.68,,=1.0340,,,,
2026-06-26,=12.5100,=12.5100,=12.5100,=12.5100,=165865879134.0,=114491525004.0,=19221342181.92,,=1.0113,,,,
2026-06-25,=12.8500,=12.8500,=12.8500,=12.8500,=170373824690.0,=117603205140.0,=19743744767.2,,=1.0388,,,,
2026-06-24,=13.3000,=13.3000,=13.3000,=13.3000,=176340223220.0,=121721605320.0,=20435159953.6,,=1.0752,,,,
2026-06-23,=13.4600,=13.4600,=13.4600,=13.4600,=178461609364.0,=123185925384.0,=20680996464.32,,=1.0881,,,,
2026-06-22,=13.7300,=13.7300,=13.7300,=13.7300,=182041448482.0,=125656965492.0,=21095845576.16,,=1.1100,,,,
2026-06-18,=13.5000,=13.5000,=13.5000,=13.5000,=178991955900.0,=123552005400.0,=20742455592.0,,=1.0914,,,,
2026-06-17,=14.0000,=14.0000,=14.0000,=14.0000,=185621287600.0,=128128005600.0,=21510694688.0,,=1.1318,,,,
2026-06-16,=14.3500,=14.3500,=14.3500,=14.3500,=190261819790.0,=131331205740.0,=22048462055.2,,=1.1601,,,,
2026-06-15,=14.7700,=14.7700,=14.7700,=14.7700,=195830458418.0,=135175045908.0,=22693782895.84,,=1.1940,,,,
2026-06-12,=16.1800,=16.1800,=16.1800,=16.1800,=214525173812.0,=148079366472.0,=24860217146.56,,=1.3080,,,,
2026-06-11,=16.3100,=16.3100,=16.3100,=16.3100,=216248800054.0,=149269126524.0,=25059959311.52,,=1.3185,,,,
2026-06-10,=15.8400,=15.8400,=15.8400,=15.8400,=210017228256.0,=144967686336.0,=24337814561.28,,=1.2805,,,,
2026-06-09,=16.2800,=16.2800,=16.2800,=16.2800,=215851040152.0,=148994566512.0,=25013864965.76,,=1.3161,,,,
2026-06-08,=17.0900,=17.0900,=17.0900,=17.0900,=226590557506.0,=156407686836.0,=26258412301.28,,=1.3816,,,,
2026-06-05,=16.8400,=16.8400,=16.8400,=16.8400,=223275891656.0,=154119686736.0,=25874292753.28,,=1.3614,,,,
2026-06-04,=17.2000,=17.2000,=17.2000,=17.2000,=228049010480.0,=157414406880.0,=26427424902.4,,=1.3905,,,,
2026-06-03,=17.1000,=17.1000,=17.1000,=17.1000,=226723144140.0001,=156499206840.0,=26273777083.2,,=1.3824,,,,
2026-06-02,=16.4000,=16.4000,=16.4000,=16.4000,=217442079760.0,=150092806560.0,=25198242348.8,,=1.3258,,,,
2026-06-01,=16.8900,=16.8900,=16.8900,=16.8900,=223938824826.0,=154577286756.0,=25951116662.88,,=1.3654,,,,
2026-05-29,=15.6800,=15.6800,=15.6800,=15.6800,=207895842112.0,=143503366272.0,=24091978050.56,,=1.2676,,,,
2026-05-28,=15.4700,=15.4700,=15.4700,=15.4700,=205111522798.0,=141581446188.0,=23769317630.24,,=1.2506,,,,
2026-05-27,=15.4400,=15.4400,=15.4400,=15.4400,=204713762896.0,=141306886176.0,=23723223284.48,,=1.2482,,,,
2026-05-26,=15.4000,=15.4000,=15.4000,=15.4000,=204183416360.0,=140940806160.0,=23661764156.8,,=1.2450,,,,
2026-05-25,=15.5300,=15.5300,=15.5300,=15.5300,=205907042602.0,=142130566212.0,=23861506321.76,,=1.2555,,,,
2026-05-22,=15.5800,=15.5800,=15.5800,=15.5800,=206569975772.0,=142588166232.0,=23938330231.36,,=1.2595,,,,
2026-05-21,=16.2800,=16.2800,=16.2800,=16.2800,=215851040152.0,=148994566512.0,=25013864965.76,,=1.3161,,,,
2026-05-20,=17.0900,=17.0900,=17.0900,=17.0900,=226590557506.0,=156407686836.0,=26258412301.28,,=1.3816,,,,
2026-05-19,=17.2500,=17.2500,=17.2500,=17.2500,=228711943650.0,=157872006900.0,=26504248812.0,,=1.3945,,,,
2026-05-18,=17.4100,=17.4100,=17.4100,=17.4100,=230833329794.0,=159336326964.0,=26750085322.72,,=1.4075,,,,
2026-05-15,=16.8100,=16.8100,=16.8100,=16.8100,=222878131754.0,=153845126724.0,=25828198407.52,,=1.3590,,,,
2026-05-14,=16.1000,=16.1000,=16.1000,=16.1000,=213464480740.0,=147347206440.0,=24737298891.2,,=1.3016,,,,
2026-05-13,=16.0700,=16.0700,=16.0700,=16.0700,=213066720838.0,=147072646428.0,=24691204545.44,,=1.2991,,,,
2026-05-12,=16.1900,=16.1900,=16.1900,=16.1900,=214657760446.0,=148170886476.0,=24875581928.48,,=1.3088,,,,
2026-05-11,=16.4900,=16.4900,=16.4900,=16.4900,=218635359466.0,=150916486596.0,=25336525386.08,,=1.3331,,,,
2026-05-08,=16.6600,=16.6600,=16.6600,=16.6600,=220889332244.0,=152472326664.0,=25597726678.72,,=1.3468,,,,
2026-05-07,=17.0900,=17.0900,=17.0900,=17.0900,=226590557506.0,=156407686836.0,=26258412301.28,,=1.3816,,,,
2026-05-06,=18.5500,=18.5500,=18.5500,=18.5500,=245948206070.0,=169769607420.0,=28501670461.6,,=1.4996,,,,
2026-04-30,=18.7200,=18.7200,=18.7200,=18.7200,=248202178848.0,=171325447488.0,=28762871754.24,,=1.5134,,,,
2026-04-29,=18.7100,=18.7100,=18.7100,=18.7100,=248069592214.0,=171233927484.0,=28747506972.32,,=1.5126,,,,
2026-04-28,=18.5700,=18.5700,=18.5700,=18.5700,=246213379338.0,=169952647428.0,=28532400025.44,,=1.5012,,,,
2026-04-27,=17.4900,=17.4900,=17.4900,=17.4900,=231894022866.0,=160068486996.0,=26873003578.08,,=1.4482,,,,
2026-04-24,=17.3700,=17.3700,=17.3700,=17.3700,=230302983258.0,=158970246948.0,=26688626195.04,,=1.4383,,,,
2026-04-23,=17.6000,=17.6000,=17.6000,=17.6000,=233352475840.0001,=161075207040.0,=27042016179.2,,=1.4573,,,,
2026-04-22,=16.7800,=16.7800,=16.7800,=16.7800,=222480371852.0,=153570566712.0,=25782104061.76,,=1.3894,,,,
2026-04-21,=16.5900,=16.5900,=16.5900,=16.5900,=219961225806.0,=151831686636.0,=25490173205.28,,=1.3737,,,,
2026-04-20,=16.1900,=16.1900,=16.1900,=16.1900,=214657760446.0,=148170886476.0,=24875581928.48,,=1.3405,,,,
2026-04-17,=16.3800,=16.3800,=16.3800,=16.3800,=217176906492.0,=149909766552.0,=25167512784.96,,=1.3563,,,,
2026-04-16,=16.7400,=16.7400,=16.7400,=16.7400,=221950025316.0,=153204486696.0,=25720644934.08,,=1.3861,,,,
2026-04-15,=16.9300,=16.9300,=16.9300,=16.9300,=224469171362.0,=154943366772.0,=26012575790.56,,=1.4018,,,,
2026-04-14,=17.0000,=17.0000,=17.0000,=17.0000,=225397277800.0,=155584006800.0,=26120129264.0,,=1.4076,,,,
2026-04-13,=17.3800,=17.3800,=17.3800,=17.3800,=230435569892.0,=159061766952.0,=26703990976.96,,=1.4391,,,,
2026-04-10,=17.1400,=17.1400,=17.1400,=17.1400,=227253490676.0,=156865286856.0,=26335236210.88,,=1.4192,,,,
2026-04-09,=17.3600,=17.3600,=17.3600,=17.3600,=230170396624.0,=158878726944.0,=26673261413.12,,=1.4374,,,,
2026-04-08,=17.5500,=17.5500,=17.5500,=17.5500,=232689542670.0,=160617607020.0,=26965192269.6,,=1.4532,,,,
2026-04-07,=18.6000,=18.6000,=18.6000,=18.6000,=246611139240.0001,=170227207440.0,=28578494371.2,,=1.5401,,,,
2026-04-03,=17.6400,=17.6400,=17.6400,=17.6400,=233882822376.0,=161441287056.0,=27103475306.88,,=1.4606,,,,
2026-04-02,=17.9100,=17.9100,=17.9100,=17.9100,=237462661494.0,=163912327164.0,=27518324418.72,,=1.4830,,,,
