日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=12.6700,=12.6700,=12.6700,=12.6700,=167987265278.0,=115955845068.0,=19467178692.64,,=9.5325,,,,
2026-07-02,=12.5900,=12.5900,=12.5900,=12.5900,=166926572206.0,=115223685036.0,=19344260437.28,,=9.4723,,,,
2026-07-01,=12.6200,=12.6200,=12.6200,=12.6200,=167324332108.0,=115498245048.0,=19390354783.04,,=9.4949,,,,
2026-06-30,=12.1800,=12.1800,=12.1800,=12.1800,=161490520212.0,=111471364872.0,=18714304378.56,,=9.1638,,,,
2026-06-29,=12.7900,=12.7900,=12.7900,=12.7900,=169578304886.0,=117054085116.0,=19651556075.68,,=9.6228,,,,
2026-06-26,=12.5100,=12.5100,=12.5100,=12.5100,=165865879134.0,=114491525004.0,=19221342181.92,,=9.4121,,,,
2026-06-25,=12.8500,=12.8500,=12.8500,=12.8500,=170373824690.0,=117603205140.0,=19743744767.2,,=9.6679,,,,
2026-06-24,=13.3000,=13.3000,=13.3000,=13.3000,=176340223220.0,=121721605320.0,=20435159953.6,,=10.0065,,,,
2026-06-23,=13.4600,=13.4600,=13.4600,=13.4600,=178461609364.0,=123185925384.0,=20680996464.32,,=10.1268,,,,
2026-06-22,=13.7300,=13.7300,=13.7300,=13.7300,=182041448482.0,=125656965492.0,=21095845576.16,,=10.3300,,,,
2026-06-18,=13.5000,=13.5000,=13.5000,=13.5000,=178991955900.0,=123552005400.0,=20742455592.0,,=10.1569,,,,
2026-06-17,=14.0000,=14.0000,=14.0000,=14.0000,=185621287600.0,=128128005600.0,=21510694688.0,,=10.5331,,,,
2026-06-16,=14.3500,=14.3500,=14.3500,=14.3500,=190261819790.0,=131331205740.0,=22048462055.2,,=10.7964,,,,
2026-06-15,=14.7700,=14.7700,=14.7700,=14.7700,=195830458418.0,=135175045908.0,=22693782895.84,,=11.1124,,,,
2026-06-12,=16.1800,=16.1800,=16.1800,=16.1800,=214525173812.0,=148079366472.0,=24860217146.56,,=12.1733,,,,
2026-06-11,=16.3100,=16.3100,=16.3100,=16.3100,=216248800054.0,=149269126524.0,=25059959311.52,,=12.2711,,,,
2026-06-10,=15.8400,=15.8400,=15.8400,=15.8400,=210017228256.0,=144967686336.0,=24337814561.28,,=11.9175,,,,
