date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,1641698171027.4604,10.3364,,,,,1.0446,,,,,9.9685,,,,,0.0524,1.0399,,,,,0.5765,,,,
2026-07-02,1614245024354.7605,10.1635,,,,,1.0271,,,,,9.8018,,,,,0.0533,1.0225,,,,,0.5669,,,,
2026-07-01,1597773136351.1404,10.0598,,,,,1.0166,,,,,9.7018,,,,,0.0538,1.0120,,,,,0.5611,,,,
2026-06-30,1588622087460.2402,10.0022,,,,,1.0108,,,,,9.6463,,,,,0.0541,1.0062,,,,,0.5579,,,,
2026-06-29,1632547122136.5603,10.2788,,,,,1.0387,,,,,9.9130,,,,,0.0527,1.0341,,,,,0.5733,,,,
2026-06-26,1634377331914.7402,10.2903,,,,,1.0399,,,,,9.9241,,,,,0.0526,1.0352,,,,,0.5739,,,,
2026-06-25,1658170059031.0803,10.4401,,,,,1.0252,,,,,10.0686,,,,,0.0519,1.0207,,,,,0.5823,,,,
2026-06-24,1722227401267.3804,10.8434,,,,,1.0648,,,,,10.4575,,,,,0.0499,1.0601,,,,,0.6048,,,,
2026-06-23,1722227401267.3804,10.8434,,,,,1.0648,,,,,10.4575,,,,,0.0499,1.0601,,,,,0.6048,,,,
2026-06-22,1771643065278.2402,11.1545,,,,,1.0954,,,,,10.7576,,,,,0.0486,1.0906,,,,,0.6221,,,,
2026-06-18,1753340967496.4402,11.0393,,,,,1.0840,,,,,10.6464,,,,,0.0491,1.0793,,,,,0.6157,,,,
2026-06-17,1788114953281.86,11.2583,,,,,1.1055,,,,,10.8576,,,,,0.0481,1.1007,,,,,0.6279,,,,
2026-06-16,1821058729289.1,11.4657,,,,,1.1259,,,,,11.0576,,,,,0.0472,1.1210,,,,,0.6395,,,,
2026-06-15,1854002505296.3403,11.6731,,,,,1.1463,,,,,11.2577,,,,,0.0464,1.1413,,,,,0.6510,,,,
2026-06-12,1899757749750.841,11.9612,,,,,1.1746,,,,,11.5355,,,,,0.0453,1.1694,,,,,0.6671,,,,
2026-06-11,1897927539972.66,11.9497,,,,,1.1734,,,,,11.5244,,,,,0.0453,1.1683,,,,,0.6665,,,,
2026-06-10,1874134812856.3203,11.7999,,,,,1.1587,,,,,11.3799,,,,,0.0459,1.1536,,,,,0.6581,,,,
2026-06-09,1892436910638.1204,11.9151,,,,,1.1700,,,,,11.4910,,,,,0.0455,1.1649,,,,,0.6645,,,,
2026-06-08,2004079707107.1,12.6180,,,,,1.2391,,,,,12.1689,,,,,0.0429,1.2336,,,,,0.7037,,,,
