date,metric,value
2026-03-31,毛利率(GM),0.1697
2026-03-31,所有者权益合计,995014000000
2026-03-31,流动资产合计,0
2026-03-31,自由现金流量,15308000000
2026-03-31,资本回报率(ROIC),0.0378
2026-03-31,有息负债率,0.2723
2026-03-31,长期负债合计,187550000000
2026-03-31,资产合计,2255913000000
2026-03-31,流动比率,0.8154
2026-03-31,归属于母公司普通股股东的净利润,17006000000
2026-03-31,应收账款,65884000000
2026-03-31,负债合计,1260899000000
2026-03-31,净利润率,0.0146
2026-03-31,基本每股收益,0.141
2026-03-31,资产负债率,0.5589
2026-03-31,营业收入,706695000000
2026-03-31,流动负债合计,128553000000
2026-03-31,货币资金,711042023625.36
2026-03-31,经营活动产生的现金流量净额,-5558000000
2026-03-31,速动比率,0.4674
2026-03-31,净资产收益率(ROE),0.0407
2026-03-31,经营活动产生的现金流量净额对净利润的比率,3.687
2026-03-31,总资产收益率(ROA),0.0184
