date,净利润率,总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE),毛利率(GM)
2026-03-31,0.0146,0.0184,0.0378,0.0407,0.1697
2025-12-31,0.0127,0.0166,0.036,0.0359,0.1589
2025-09-30,0.0145,0.0191,0.0401,0.0415,0.1586
2025-06-30,0.0138,0.0187,0.0398,0.0408,0.1525
2025-03-31,0.0168,0.024,0.0467,0.0511,0.1537
2024-12-31,0.0187,0.028,0.0539,0.0595,0.1547
2024-09-30,0.019,0.0283,0.0545,0.0612,0.1538
2024-06-30,0.0221,0.0338,0.0633,0.0728,0.1593
2024-03-31,0.0213,0.0334,0.0607,0.0702,0.1569
2023-12-31,0.0218,0.0352,0.0667,0.0739,0.1565
2023-09-30,0.0224,0.0361,0.0692,0.0794,0.1488
2023-06-30,0.0202,0.0327,0.0632,0.0709,0.1393
2023-03-31,0.0216,0.0358,0.0678,0.0761,0.1425
2022-12-31,0.0228,0.0395,0.0753,0.0818,0.1503
2022-09-30,0.0236,0.0382,0.0741,0.0818,0.1604
2022-06-30,0.0278,0.044,0.0828,0.0936,0.176
2022-03-31,0.0302,0.0464,0.0864,0.096,0.1857
2021-12-31,0.031,0.0469,0.0859,0.0945,0.1913
2021-09-30,0.0327,0.0453,0.0802,0.0938,0.2077
2021-06-30,0.0482,0.0612,0.1027,0.1294,0.2233
2021-03-31,0.0403,0.0475,0.0726,0.0975,0.2299
2020-12-31,0.0198,0.0239,0.0375,0.0474,0.1983
2020-09-30,0.0213,0.0268,0.042,0.0559,0.1798
2020-06-30,0.0044,0.006,0.0094,0.0129,0.1597
2020-03-31,0.0116,0.018,0.0274,0.0377,0.1471
2019-12-31,0.0243,0.0431,0.0643,0.0832,0.1609
2019-09-30,0.0193,0.0338,0.0509,0.068,0.1527
2019-06-30,0.0213,0.0383,0.0571,0.0765,0.1542
2019-03-31,0.0248,0.0439,,0.0844,0.1645
2018-12-31,0.0278,0.0504,0.0779,0.0938,0.1695
2018-09-30,0.0351,0.06,,0.1103,0.1885
2018-06-30,0.0351,0.0563,,0.1027,0.1989
2018-03-31,0.0305,0.0479,,0.0845,0.1975
2017-12-31,0.0298,0.0454,,0.0834,0.199
2017-09-30,0.0307,0.0491,,0.0855,0.1974
2017-06-30,0.0311,0.0472,,0.0832,0.202
2017-03-31,0.0342,0.0499,,0.0871,0.2163
2016-12-31,0.0306,0.0402,,0.0731,0.2272
2016-09-30,0.0265,0.0347,,0.0611,0.2319
