date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率
2026-07-03,568349916843.4,15.9869,,,,,17.0200,,,,,0.6981,,,,,0.2063,,,,,0.6935,,,,,0.0426
2026-07-02,556257365421.2,15.6467,,,,,16.6579,,,,,0.6833,,,,,0.2019,,,,,0.6787,,,,,0.0435
2026-07-01,549001834567.88,15.4427,,,,,16.4406,,,,,0.6743,,,,,0.1993,,,,,0.6698,,,,,0.0441
2026-06-30,539327793430.12,15.1705,,,,,16.1509,,,,,0.6625,,,,,0.1958,,,,,0.6580,,,,,0.0449
2026-06-29,557466620563.42,15.6808,,,,,16.6941,,,,,0.6847,,,,,0.2024,,,,,0.6802,,,,,0.0434
2026-06-26,546583324283.4399,15.3746,,,,,16.3682,,,,,0.6714,,,,,0.1984,,,,,0.6669,,,,,0.0443
2026-06-25,550211089710.1,15.4767,,,,,16.4768,,,,,0.6758,,,,,0.1997,,,,,0.6713,,,,,0.0440
2026-06-24,563512896274.52,15.8508,,,,,16.8752,,,,,0.6922,,,,,0.2045,,,,,0.6876,,,,,0.0430
2026-06-23,571977682270.06,16.0889,,,,,17.1287,,,,,0.7026,,,,,0.2076,,,,,0.6979,,,,,0.0423
2026-06-22,576814702838.94,16.2250,,,,,17.2735,,,,,0.7085,,,,,0.2094,,,,,0.7038,,,,,0.0420
2026-06-18,569559171985.62,16.0209,,,,,17.0562,,,,,0.6996,,,,,0.2067,,,,,0.6949,,,,,0.0425
2026-06-17,586488743976.7,16.4971,,,,,17.5632,,,,,0.7204,,,,,0.2129,,,,,0.7156,,,,,0.0413
2026-06-16,600999805683.34,16.9053,,,,,17.9978,,,,,0.7261,,,,,0.2182,,,,,0.7214,,,,,0.0403
2026-06-15,603418315967.78,16.9733,,,,,18.0702,,,,,0.7291,,,,,0.2190,,,,,0.7243,,,,,0.0401
2026-06-12,597372040256.68,16.8032,,,,,17.8891,,,,,0.7218,,,,,0.2168,,,,,0.7170,,,,,0.0405
2026-06-11,579233213123.38,16.2930,,,,,17.3459,,,,,0.6998,,,,,0.2103,,,,,0.6952,,,,,0.0418
2026-06-10,578023957981.16,16.2590,,,,,17.3097,,,,,0.6984,,,,,0.2098,,,,,0.6938,,,,,0.0419
2026-06-09,579233213123.38,16.2930,,,,,17.3459,,,,,0.6998,,,,,0.2103,,,,,0.6952,,,,,0.0418
2026-06-08,592535019687.8,16.6672,,,,,17.7443,,,,,0.7159,,,,,0.2151,,,,,0.7112,,,,,0.0409
2026-06-05,591325764545.58,16.6332,,,,,17.7081,,,,,0.7145,,,,,0.2146,,,,,0.7098,,,,,0.0409
2026-06-04,582860978550.04,16.3951,,,,,17.4546,,,,,0.7042,,,,,0.2116,,,,,0.6996,,,,,0.0415
2026-06-03,587697999118.92,16.5311,,,,,17.5994,,,,,0.7101,,,,,0.2133,,,,,0.7054,,,,,0.0412
2026-06-02,582860978550.04,16.3951,,,,,17.4546,,,,,0.7042,,,,,0.2116,,,,,0.6996,,,,,0.0415
2026-06-01,588907254261.14,16.5651,,,,,17.6356,,,,,0.7115,,,,,0.2138,,,,,0.7069,,,,,0.0411
2026-05-29,586488743976.7,16.4971,,,,,17.5632,,,,,0.7086,,,,,0.2129,,,,,0.7040,,,,,0.0413
2026-05-28,581651723407.82,16.3611,,,,,17.4184,,,,,0.7028,,,,,0.2111,,,,,0.6981,,,,,0.0416
2026-05-27,584070233692.26,16.4291,,,,,17.4908,,,,,0.7057,,,,,0.2120,,,,,0.7010,,,,,0.0414
2026-05-26,588907254261.14,16.5651,,,,,17.6356,,,,,0.7115,,,,,0.2138,,,,,0.7069,,,,,0.0411
2026-05-25,594953529972.24,16.7352,,,,,17.8167,,,,,0.7188,,,,,0.2160,,,,,0.7141,,,,,0.0407
