date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,568349916843.4,0.6981,,,,,17.0200,,,,,0.6935,,,,,0.2063,,,,,15.9869,,,,,0.0426
2026-07-02,556257365421.2,0.6833,,,,,16.6579,,,,,0.6787,,,,,0.2019,,,,,15.6467,,,,,0.0435
2026-07-01,549001834567.88,0.6743,,,,,16.4406,,,,,0.6698,,,,,0.1993,,,,,15.4427,,,,,0.0441
2026-06-30,539327793430.12,0.6625,,,,,16.1509,,,,,0.6580,,,,,0.1958,,,,,15.1705,,,,,0.0449
2026-06-29,557466620563.42,0.6847,,,,,16.6941,,,,,0.6802,,,,,0.2024,,,,,15.6808,,,,,0.0434
2026-06-26,546583324283.4399,0.6714,,,,,16.3682,,,,,0.6669,,,,,0.1984,,,,,15.3746,,,,,0.0443
2026-06-25,550211089710.1,0.6758,,,,,16.4768,,,,,0.6713,,,,,0.1997,,,,,15.4767,,,,,0.0440
2026-06-24,563512896274.52,0.6922,,,,,16.8752,,,,,0.6876,,,,,0.2045,,,,,15.8508,,,,,0.0430
2026-06-23,571977682270.06,0.7026,,,,,17.1287,,,,,0.6979,,,,,0.2076,,,,,16.0889,,,,,0.0423
2026-06-22,576814702838.94,0.7085,,,,,17.2735,,,,,0.7038,,,,,0.2094,,,,,16.2250,,,,,0.0420
2026-06-18,569559171985.62,0.6996,,,,,17.0562,,,,,0.6949,,,,,0.2067,,,,,16.0209,,,,,0.0425
2026-06-17,586488743976.7,0.7204,,,,,17.5632,,,,,0.7156,,,,,0.2129,,,,,16.4971,,,,,0.0413
2026-06-16,600999805683.34,0.7261,,,,,17.9978,,,,,0.7214,,,,,0.2182,,,,,16.9053,,,,,0.0403
2026-06-15,603418315967.78,0.7291,,,,,18.0702,,,,,0.7243,,,,,0.2190,,,,,16.9733,,,,,0.0401
2026-06-12,597372040256.68,0.7218,,,,,17.8891,,,,,0.7170,,,,,0.2168,,,,,16.8032,,,,,0.0405
2026-06-11,579233213123.38,0.6998,,,,,17.3459,,,,,0.6952,,,,,0.2103,,,,,16.2930,,,,,0.0418
2026-06-10,578023957981.16,0.6984,,,,,17.3097,,,,,0.6938,,,,,0.2098,,,,,16.2590,,,,,0.0419
2026-06-09,579233213123.38,0.6998,,,,,17.3459,,,,,0.6952,,,,,0.2103,,,,,16.2930,,,,,0.0418
2026-06-08,592535019687.8,0.7159,,,,,17.7443,,,,,0.7112,,,,,0.2151,,,,,16.6672,,,,,0.0409
