日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-06-08,=6.2100,=6.2100,=6.2100,=6.2100,=568259331320.79,=482080615221.0,=89170177875.12,,=19.5245,,,,
2026-06-05,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=19.2101,,,,
2026-06-04,=6.0100,=6.0100,=6.0100,=6.0100,=549957903580.99,=466554669481.0,=86298352500.72,,=18.8957,,,,
2026-06-03,=6.1200,=6.1200,=6.1200,=6.1200,=560023688837.88,=475093939638.0,=87877856456.64,,=19.2415,,,,
2026-06-02,=6.1600,=6.1600,=6.1600,=6.1600,=563683974385.84,=478199128786.0,=88452221531.52,,=19.3673,,,,
2026-06-01,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=19.0215,,,,
2026-05-29,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=19.0215,,,,
2026-05-28,=5.9700,=5.9700,=5.9700,=5.9700,=546297618033.03,=463449480333.0,=85723987425.84,,=18.7699,,,,
2026-05-27,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=18.7385,,,,
2026-05-26,=6.0800,=6.0800,=6.0800,=6.0800,=556363403289.92,=471988750490.0,=87303491381.76,,=19.1158,,,,
2026-05-25,=6.1300,=6.1300,=6.1300,=6.1300,=560938760224.87,=475870236925.0,=88021447725.36,,=19.2730,,,,
2026-05-22,=6.1500,=6.1500,=6.1500,=6.1500,=562768902998.85,=477422831499.0,=88308630262.8,,=19.3359,,,,
2026-05-21,=6.3500,=6.3500,=6.3500,=6.3500,=581070330738.65,=492948777239.0,=91180455637.2,,=19.9647,,,,
2026-05-20,=6.6600,=6.6600,=6.6600,=6.6600,=609437543735.34,=517013993135.0,=95631784967.52,,=20.9393,,,,
2026-05-19,=7.1200,=7.1200,=7.1200,=7.1200,=651530827536.88,=552723668337.0,=102236983328.64,,=22.3856,,,,
2026-05-18,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=21.4424,,,,
2026-05-15,=6.3300,=6.3300,=6.3300,=6.3300,=579240187964.67,=491396182665.0,=90893273099.76,,=19.9018,,,,
2026-05-14,=6.2600,=6.2600,=6.2600,=6.2600,=572834688255.74,=485962101656.0,=89888134218.72,,=19.6817,,,,
2026-05-13,=6.2100,=6.2100,=6.2100,=6.2100,=568259331320.79,=482080615221.0,=89170177875.12,,=19.5245,,,,
2026-05-12,=6.1200,=6.1200,=6.1200,=6.1200,=560023688837.88,=475093939638.0,=87877856456.64,,=19.2415,,,,
2026-05-11,=6.1400,=6.1400,=6.1400,=6.1400,=561853831611.86,=476646534212.0,=88165038994.08,,=19.3044,,,,
2026-05-08,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=19.0215,,,,
2026-05-07,=5.9900,=5.9900,=5.9900,=5.9900,=548127760807.01,=465002074907.0,=86011169963.28,,=18.8328,,,,
2026-05-06,=5.9500,=5.9500,=5.9500,=5.9500,=544467475259.05,=461896885759.0,=85436804888.4,,=18.7070,,,,
2026-04-30,=6.0300,=6.0300,=6.0300,=6.0300,=551788046354.97,=468107264055.0,=86585535038.16,,=18.9586,,,,
2026-04-29,=6.0400,=6.0400,=6.0400,=6.0400,=552703117741.96,=468883561342.0,=86729126306.88,,=18.9900,,,,
2026-04-28,=5.9800,=5.9800,=5.9800,=5.9800,=547212689420.02,=464225777620.0,=85867578694.56,,=18.8014,,,,
2026-04-27,=5.9900,=5.9900,=5.9900,=5.9900,=548127760807.01,=465002074907.0,=86011169963.28,,=18.8328,,,,
2026-04-24,=5.9100,=5.9100,=5.9100,=5.9100,=540807189711.09,=458791696611.0,=84862439813.52,,=18.5813,,,,
2026-04-23,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=17.4084,,,,
2026-04-22,=5.9300,=5.9300,=5.9300,=5.9300,=542637332485.07,=460344291185.0,=85149622350.96,,=17.3208,,,,
2026-04-21,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=17.5252,,,,
2026-04-20,=5.8400,=5.8400,=5.8400,=5.8400,=534401690002.16,=453357615602.0,=83857300932.48,,=17.0579,,,,
2026-04-17,=5.8700,=5.8700,=5.8700,=5.8700,=537146904163.13,=455686507463.0,=84288074738.64,,=17.1455,,,,
2026-04-16,=5.8500,=5.8500,=5.8500,=5.8500,=535316761389.15,=454133912889.0,=84000892201.2,,=17.0871,,,,
2026-04-15,=5.8300,=5.8300,=5.8300,=5.8300,=533486618615.17,=452581318315.0,=83713709663.76,,=17.0287,,,,
2026-04-14,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=16.9118,,,,
2026-04-13,=5.8000,=5.8000,=5.8000,=5.8000,=530741404454.2,=450252426454.0,=83282935857.6,,=16.9411,,,,
2026-04-10,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=16.9118,,,,
2026-04-09,=5.7400,=5.7400,=5.7400,=5.7400,=525250976132.26,=445594642732.0,=82421388245.28,,=16.7658,,,,
2026-04-08,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=16.9118,,,,
2026-04-07,=5.7500,=5.7500,=5.7500,=5.7500,=526166047519.25,=446370940019.0,=82564979514.0,,=16.7950,,,,
2026-04-03,=5.7000,=5.7000,=5.7000,=5.7000,=521590690584.3,=442489453584.0,=81847023170.4,,=16.6490,,,,
2026-04-02,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=16.5906,,,,
2026-04-01,=5.6900,=5.6900,=5.6900,=5.6900,=520675619197.3101,=441713156297.0,=81703431901.68,,=16.6198,,,,
2026-03-31,=5.6700,=5.6700,=5.6700,=5.6700,=518845476423.33,=440160561723.0,=81416249364.24,,=16.5613,,,,
2026-03-30,=5.6600,=5.6600,=5.6600,=5.6600,=517930405036.34,=439384264436.0,=81272658095.52,,=16.5321,,,,
2026-03-27,=5.7000,=5.7000,=5.7000,=5.7000,=521590690584.3,=442489453584.0,=81847023170.4,,=16.6490,,,,
2026-03-26,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=16.7366,,,,
2026-03-25,=5.8300,=5.8300,=5.8300,=5.8300,=533486618615.17,=452581318315.0,=83713709663.76,,=17.0287,,,,
2026-03-24,=5.8500,=5.8500,=5.8500,=5.8500,=535316761389.15,=454133912889.0,=84000892201.2,,=17.4067,,,,
2026-03-23,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=17.2282,,,,
2026-03-20,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=17.6745,,,,
2026-03-19,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=18.1803,,,,
2026-03-18,=6.0700,=6.0700,=6.0700,=6.0700,=555448331902.93,=471212453203.0,=87159900113.04,,=18.0613,,,,
2026-03-17,=6.1000,=6.1000,=6.1000,=6.1000,=558193546063.9,=473541345064.0,=87590673919.2,,=18.1506,,,,
2026-03-16,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=18.1803,,,,
2026-03-13,=6.1800,=6.1800,=6.1800,=6.1800,=565514117159.82,=479751723360.0,=88739404068.96,,=18.3886,,,,
2026-03-12,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=17.8530,,,,
2026-03-11,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=17.8530,,,,
2026-03-10,=5.9500,=5.9500,=5.9500,=5.9500,=544467475259.05,=461896885759.0,=85436804888.4,,=17.7043,,,,
2026-03-09,=6.0100,=6.0100,=6.0100,=6.0100,=549957903580.99,=466554669481.0,=86298352500.72,,=17.8828,,,,
2026-03-06,=5.9700,=5.9700,=5.9700,=5.9700,=546297618033.03,=463449480333.0,=85723987425.84,,=17.7638,,,,
2026-03-05,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=17.6745,,,,
2026-03-04,=5.8700,=5.8700,=5.8700,=5.8700,=537146904163.13,=455686507463.0,=84288074738.64,,=17.4662,,,,
2026-03-03,=5.8800,=5.8800,=5.8800,=5.8800,=538061975550.12,=456462804750.0,=84431666007.36,,=17.4960,,,,
2026-03-02,=5.8700,=5.8700,=5.8700,=5.8700,=537146904163.13,=455686507463.0,=84288074738.64,,=17.4662,,,,
2026-02-27,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=17.2282,,,,
2026-02-26,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=16.9009,,,,
2026-02-25,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=17.0496,,,,
2026-02-24,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=17.0496,,,,
2026-02-13,=5.6700,=5.6700,=5.6700,=5.6700,=518845476423.33,=440160561723.0,=81416249364.24,,=16.8711,,,,
2026-02-12,=5.6900,=5.6900,=5.6900,=5.6900,=520675619197.3101,=441713156297.0,=81703431901.68,,=16.9306,,,,
2026-02-11,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=17.0496,,,,
2026-02-10,=5.7500,=5.7500,=5.7500,=5.7500,=526166047519.25,=446370940019.0,=82564979514.0,,=17.1092,,,,
2026-02-09,=5.7600,=5.7600,=5.7600,=5.7600,=527081118906.24,=447147237306.0,=82708570782.72,,=17.1389,,,,
2026-02-06,=5.7800,=5.7800,=5.7800,=5.7800,=528911261680.22,=448699831880.0,=82995753320.16,,=17.1984,,,,
2026-02-05,=5.8200,=5.8200,=5.8200,=5.8200,=532571547228.18,=451805021028.0,=83570118395.04,,=17.3174,,,,
2026-02-04,=5.7500,=5.7500,=5.7500,=5.7500,=526166047519.25,=446370940019.0,=82564979514.0,,=17.1092,,,,
2026-02-03,=5.6600,=5.6600,=5.6600,=5.6600,=517930405036.34,=439384264436.0,=81272658095.52,,=16.8414,,,,
2026-02-02,=5.7400,=5.7400,=5.7400,=5.7400,=525250976132.26,=445594642732.0,=82421388245.28,,=17.0794,,,,
2026-01-30,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=17.8530,,,,
2026-01-29,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=17.6745,,,,
2026-01-28,=5.9300,=5.9300,=5.9300,=5.9300,=542637332485.07,=460344291185.0,=85149622350.96,,=17.6447,,,,
2026-01-27,=5.7600,=5.7600,=5.7600,=5.7600,=527081118906.24,=447147237306.0,=82708570782.72,,=17.1389,,,,
2026-01-26,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=17.2282,,,,
2026-01-23,=5.8100,=5.8100,=5.8100,=5.8100,=531656475841.1899,=451028723741.0,=83426527126.32,,=17.2877,,,,
2026-01-22,=5.8300,=5.8300,=5.8300,=5.8300,=533486618615.17,=452581318315.0,=83713709663.76,,=17.3472,,,,
2026-01-21,=5.8000,=5.8000,=5.8000,=5.8000,=530741404454.2,=450252426454.0,=83282935857.6,,=17.2579,,,,
2026-01-20,=5.9500,=5.9500,=5.9500,=5.9500,=544467475259.05,=461896885759.0,=85436804888.4,,=17.7043,,,,
2026-01-19,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=17.6745,,,,
2026-01-16,=5.9700,=5.9700,=5.9700,=5.9700,=546297618033.03,=463449480333.0,=85723987425.84,,=17.7638,,,,
2026-01-15,=6.1000,=6.1000,=6.1000,=6.1000,=558193546063.9,=473541345064.0,=87590673919.2,,=18.1506,,,,
2026-01-14,=6.2600,=6.2600,=6.2600,=6.2600,=572834688255.74,=485962101656.0,=89888134218.72,,=18.6267,,,,
2026-01-13,=6.3200,=6.3200,=6.3200,=6.3200,=578325116577.68,=490619885378.0,=90749681831.04,,=18.8052,,,,
2026-01-12,=6.3700,=6.3700,=6.3700,=6.3700,=582900473512.63,=494501371813.0,=91467638174.64,,=18.9540,,,,
2026-01-09,=6.3200,=6.3200,=6.3200,=6.3200,=578325116577.68,=490619885378.0,=90749681831.04,,=18.8052,,,,
2026-01-08,=6.2800,=6.2800,=6.2800,=6.2800,=574664831029.72,=487514696230.0,=90175316756.16,,=18.6862,,,,
2026-01-07,=6.2600,=6.2600,=6.2600,=6.2600,=572834688255.74,=485962101656.0,=89888134218.72,,=18.6267,,,,
2026-01-06,=6.3500,=6.3500,=6.3500,=6.3500,=581070330738.65,=492948777239.0,=91180455637.2,,=18.8945,,,,
2026-01-05,=6.3400,=6.3400,=6.3400,=6.3400,=580155259351.66,=492172479952.0,=91036864368.48,,=18.8647,,,,
2025-12-31,=6.3000,=6.3000,=6.3000,=6.3000,=576494973803.7,=489067290804.0,=90462499293.6,,=18.7457,,,,
2025-12-30,=6.2400,=6.2400,=6.2400,=6.2400,=571004545481.76,=484409507082.0,=89600951681.28,,=18.5672,,,,
2025-12-29,=6.2800,=6.2800,=6.2800,=6.2800,=574664831029.72,=487514696230.0,=90175316756.16,,=18.6862,,,,
2025-12-26,=6.4200,=6.4200,=6.4200,=6.4200,=587475830447.58,=498382858248.0,=92185594518.24,,=19.1027,,,,
2025-12-25,=6.4700,=6.4700,=6.4700,=6.4700,=592051187382.53,=502264344683.0,=92903550861.84,,=19.2515,,,,
2025-12-24,=6.4900,=6.4900,=6.4900,=6.4900,=593881330156.51,=503816939257.0,=93190733399.28,,=19.3110,,,,
2025-12-23,=6.5600,=6.5600,=6.5600,=6.5600,=600286829865.44,=509251020265.0,=94195872280.32,,=19.5193,,,,
2025-12-22,=6.6400,=6.6400,=6.6400,=6.6400,=607607400961.36,=515461398561.0,=95344602430.08,,=19.7574,,,,
2025-12-19,=6.7800,=6.7800,=6.7800,=6.7800,=620418400379.22,=526329560579.0,=97354880192.16,,=20.1739,,,,
2025-12-18,=6.6700,=6.6700,=6.6700,=6.6700,=610352615122.33,=517790290422.0,=95775376236.24,,=19.8466,,,,
2025-12-17,=6.6800,=6.6800,=6.6800,=6.6800,=611267686509.32,=518566587709.0,=95918967504.96,,=19.8764,,,,
2025-12-16,=6.7000,=6.7000,=6.7000,=6.7000,=613097829283.3,=520119182283.0,=96206150042.4,,=19.9359,,,,
2025-12-15,=6.6200,=6.6200,=6.6200,=6.6200,=605777258187.38,=513908803987.0,=95057419892.64,,=19.6978,,,,
2025-12-12,=6.7000,=6.7000,=6.7000,=6.7000,=613097829283.3,=520119182283.0,=96206150042.4,,=19.9359,,,,
2025-12-11,=6.7900,=6.7900,=6.7900,=6.7900,=621333471766.21,=527105857866.0,=97498471460.88,,=20.2037,,,,
2025-12-10,=6.8000,=6.8000,=6.8000,=6.8000,=622248543153.2,=527882155153.0,=97642062729.6,,=20.2334,,,,
2025-12-09,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=20.2929,,,,
2025-12-08,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=20.2929,,,,
2025-12-05,=6.8700,=6.8700,=6.8700,=6.8700,=628654042862.13,=533316236162.0,=98647201610.64,,=20.4417,,,,
2025-12-04,=6.9000,=6.9000,=6.9000,=6.9000,=631399257023.1,=535645128023.0,=99077975416.8,,=20.5310,,,,
2025-12-03,=6.9400,=6.9400,=6.9400,=6.9400,=635059542571.06,=538750317171.0,=99652340491.68,,=20.6500,,,,
2025-12-02,=6.9600,=6.9600,=6.9600,=6.9600,=636889685345.04,=540302911745.0,=99939523029.12,,=20.7095,,,,
2025-12-01,=6.8800,=6.8800,=6.8800,=6.8800,=629569114249.12,=534092533449.0,=98790792879.36,,=20.4715,,,,
2025-11-28,=6.8600,=6.8600,=6.8600,=6.8600,=627738971475.14,=532539938875.0,=98503610341.92,,=20.4120,,,,
2025-11-27,=6.7700,=6.7700,=6.7700,=6.7700,=619503328992.23,=525553263292.0,=97211288923.44,,=20.1442,,,,
2025-11-26,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=20.3227,,,,
2025-11-25,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=20.3227,,,,
2025-11-24,=6.8500,=6.8500,=6.8500,=6.8500,=626823900088.15,=531763641588.0,=98360019073.2,,=20.3822,,,,
