日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-04-24,=5.9100,=5.9100,=5.9100,=5.9100,=540807189711.09,=458791696611.0,=84862439813.52,,=1.2364,,,,
2026-04-23,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=1.2686,,,,
2026-04-22,=5.9300,=5.9300,=5.9300,=5.9300,=542637332485.07,=460344291185.0,=85149622350.96,,=1.2622,,,,
2026-04-21,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=1.2771,,,,
2026-04-20,=5.8400,=5.8400,=5.8400,=5.8400,=534401690002.16,=453357615602.0,=83857300932.48,,=1.2430,,,,
2026-04-17,=5.8700,=5.8700,=5.8700,=5.8700,=537146904163.13,=455686507463.0,=84288074738.64,,=1.2494,,,,
2026-04-16,=5.8500,=5.8500,=5.8500,=5.8500,=535316761389.15,=454133912889.0,=84000892201.2,,=1.2452,,,,
2026-04-15,=5.8300,=5.8300,=5.8300,=5.8300,=533486618615.17,=452581318315.0,=83713709663.76,,=1.2409,,,,
2026-04-14,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2324,,,,
2026-04-13,=5.8000,=5.8000,=5.8000,=5.8000,=530741404454.2,=450252426454.0,=83282935857.6,,=1.2345,,,,
2026-04-10,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2324,,,,
2026-04-09,=5.7400,=5.7400,=5.7400,=5.7400,=525250976132.26,=445594642732.0,=82421388245.28,,=1.2218,,,,
2026-04-08,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2324,,,,
2026-04-07,=5.7500,=5.7500,=5.7500,=5.7500,=526166047519.25,=446370940019.0,=82564979514.0,,=1.2239,,,,
2026-04-03,=5.7000,=5.7000,=5.7000,=5.7000,=521590690584.3,=442489453584.0,=81847023170.4,,=1.2132,,,,
2026-04-02,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=1.2090,,,,
2026-04-01,=5.6900,=5.6900,=5.6900,=5.6900,=520675619197.3101,=441713156297.0,=81703431901.68,,=1.2111,,,,
2026-03-31,=5.6700,=5.6700,=5.6700,=5.6700,=518845476423.33,=440160561723.0,=81416249364.24,,=1.2069,,,,
2026-03-30,=5.6600,=5.6600,=5.6600,=5.6600,=517930405036.34,=439384264436.0,=81272658095.52,,=1.2047,,,,
2026-03-27,=5.7000,=5.7000,=5.7000,=5.7000,=521590690584.3,=442489453584.0,=81847023170.4,,=1.2132,,,,
2026-03-26,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=1.2196,,,,
2026-03-25,=5.8300,=5.8300,=5.8300,=5.8300,=533486618615.17,=452581318315.0,=83713709663.76,,=1.2409,,,,
2026-03-24,=5.8500,=5.8500,=5.8500,=5.8500,=535316761389.15,=454133912889.0,=84000892201.2,,=1.2531,,,,
2026-03-23,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2402,,,,
2026-03-20,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=1.2723,,,,
2026-03-19,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=1.3088,,,,
2026-03-18,=6.0700,=6.0700,=6.0700,=6.0700,=555448331902.93,=471212453203.0,=87159900113.04,,=1.3002,,,,
2026-03-17,=6.1000,=6.1000,=6.1000,=6.1000,=558193546063.9,=473541345064.0,=87590673919.2,,=1.3066,,,,
2026-03-16,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=1.3088,,,,
2026-03-13,=6.1800,=6.1800,=6.1800,=6.1800,=565514117159.82,=479751723360.0,=88739404068.96,,=1.3237,,,,
2026-03-12,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=1.2852,,,,
2026-03-11,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=1.2852,,,,
