日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2025-09-16,=6.1700,=6.1700,=6.1700,=6.1700,=740986480045.6399,=414145178384.0,=63655958641.25,,=2.1085,,,,
2025-09-15,=6.2200,=6.2200,=6.2200,=6.2200,=746991232720.2399,=417501298144.0,=64171809197.5,,=2.1256,,,,
2025-09-12,=6.2400,=6.2400,=6.2400,=6.2400,=749393133790.08,=418843746048.0,=64378149420.0,,=2.1324,,,,
2025-09-11,=6.2700,=6.2700,=6.2700,=6.2700,=752995985394.8398,=420857417904.0,=64687659753.75,,=2.1427,,,,
2025-09-10,=6.2500,=6.2500,=6.2500,=6.2500,=750594084324.9999,=419514970000.0,=64481319531.25,,=2.1358,,,,
2025-09-09,=6.2500,=6.2500,=6.2500,=6.2500,=750594084324.9999,=419514970000.0,=64481319531.25,,=2.1358,,,,
2025-09-08,=6.2300,=6.2300,=6.2300,=6.2300,=748192183255.1599,=418172522096.0,=64274979308.75,,=2.1290,,,,
2025-09-05,=6.2000,=6.2000,=6.2000,=6.2000,=744589331650.3999,=416158850240.0,=63965468975.0,,=2.1187,,,,
2025-09-04,=6.3900,=6.3900,=6.3900,=6.3900,=767407391813.8799,=428912105328.0,=65925701088.75,,=2.1837,,,,
2025-09-03,=6.2100,=6.2100,=6.2100,=6.2100,=745790282185.32,=416830074192.0,=64068639086.25,,=2.1221,,,,
2025-09-02,=6.2100,=6.2100,=6.2100,=6.2100,=745790282185.32,=416830074192.0,=64068639086.25,,=2.1221,,,,
2025-09-01,=6.0900,=6.0900,=6.0900,=6.0900,=731378875766.2799,=408775386768.0,=62830597751.25,,=2.0811,,,,
2025-08-29,=6.0400,=6.0400,=6.0400,=6.0400,=725374123091.6799,=405419267008.0,=62531826003.0,,=2.0802,,,,
2025-08-28,=6.0000,=6.0000,=6.0000,=6.0000,=720570320951.9999,=402734371200.0,=62117707950.0,,=2.0664,,,,
