date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,3.18,125849000000,0.3244,468946000000
2025-12-31,2.9873,451457000000,0.0099,436390000000
2025-09-30,2.2386,176134000000,-0.3868,322518000000
2025-06-30,3.1641,134461000000,0.2429,461140000000
2025-03-31,3.6551,95026000000,79.6639,523502000000
2024-12-31,2.9889,447023000000,0.2495,422850000000
2024-09-30,4.0207,287233000000,4.354,574056000000
2024-06-30,2.5287,108180000000,0.1466,348041000000
2024-03-31,2.5075,-1208000000,0.9043,346582000000
2023-12-31,2.4172,357753000000,-0.3725,332542000000
2023-09-30,3.2628,53648000000,-0.6338,450307000000
2023-06-30,3.6635,94352000000,-0.2777,513646000000
2023-03-31,3.8814,-12618000000,-3.2731,524159000000
2022-12-31,4.0931,570143000000,2.1318,542001000000
2022-09-30,1.8308,146494000000,0.7782,223352000000
2022-06-30,2.3714,130624000000,19.6618,278754000000
2022-03-31,1.7614,5551000000,1.1714,192907000000
2021-12-31,1.5066,182048000000,-0.5679,160287000000
2021-09-30,2.4633,82382000000,-0.6252,254674000000
2021-06-30,1.5831,6322000000,-0.9751,146537000000
2021-03-31,2.9514,-32388000000,-1.3716,279821000000
2020-12-31,4.3011,421328000000,94.065,402203000000
2020-09-30,2.9978,219828000000,5.0912,264004000000
2020-06-30,3.3862,254254000000,5.6209,293387000000
2020-03-31,2.7555,87147000000,1.5048,246153000000
2019-12-31,0.0474,4432000000,1.1241,-14469000000
2019-09-30,0.9367,-53732000000,0.6924,66475000000
2019-06-30,-0.2894,-55023000000,0.1615,-39556000000
2019-03-31,-1.8502,-172622000000,-2.2175,-166299000000
2018-12-31,-0.442,-35721000000,-5.3111,-51040000000
2018-09-30,0.1557,-174705000000,0.0933,-6063000000
2018-06-30,-0.2026,-65624000000,-0.1745,-33519000000
2018-03-31,2.1165,-53651000000,0.7497,135319000000
2017-12-31,-0.0801,-5660000000,0.9531,-21996000000
2017-09-30,0.666,-192675000000,0.4639,26372000000
2017-06-30,1.8618,-55876000000,0.8139,102819000000
2017-03-31,-0.7482,-214350000000,0.2532,-67038000000
2016-12-31,-1.9336,-120615000000,-1.3012,-138119000000
2016-09-30,-2.1927,-359376000000,-3.0412,-148026000000
