date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,928846913484.83,6.1649,,,,,0.8275,,,,,6.1616,,,,,0.0547,2.7261,,,,,0.8203,,,,
2026-07-02,923046348996.6,6.1264,,,,,0.8224,,,,,6.1231,,,,,0.0551,2.7091,,,,,0.8151,,,,
2026-07-01,905644655531.91,6.0109,,,,,0.8069,,,,,6.0077,,,,,0.0561,2.6580,,,,,0.7998,,,,
2026-06-30,895304518835.5,5.9423,,,,,0.7977,,,,,5.9391,,,,,0.0568,2.6277,,,,,0.7906,,,,
2026-06-29,918506776788.42,6.0963,,,,,0.8183,,,,,6.0930,,,,,0.0554,2.6958,,,,,0.8111,,,,
2026-06-26,907914441636.0,6.0260,,,,,0.8089,,,,,6.0228,,,,,0.0560,2.6647,,,,,0.8018,,,,
2026-06-25,913715006124.23,6.0645,,,,,0.8141,,,,,6.0612,,,,,0.0556,2.6817,,,,,0.8069,,,,
2026-06-24,927081524292.76,6.1532,,,,,0.8260,,,,,6.1499,,,,,0.0548,2.7209,,,,,0.8187,,,,
2026-06-23,943222225477.4,6.2604,,,,,0.8404,,,,,6.2570,,,,,0.0539,2.7683,,,,,0.8330,,,,
2026-06-22,949527186877.65,6.3022,,,,,0.8460,,,,,6.2988,,,,,0.0535,2.7868,,,,,0.8385,,,,
2026-06-18,939691447093.26,6.2369,,,,,0.8372,,,,,6.2336,,,,,0.0541,2.7579,,,,,0.8298,,,,
2026-06-17,964154697326.23,6.3993,,,,,0.8590,,,,,6.3958,,,,,0.0527,2.8297,,,,,0.8515,,,,
2026-06-16,972729444830.57,6.4562,,,,,0.8666,,,,,6.4527,,,,,0.0523,2.8549,,,,,0.8590,,,,
2026-06-15,982312986158.95,6.5198,,,,,0.8752,,,,,6.5163,,,,,0.0518,2.8830,,,,,0.8675,,,,
2026-06-12,992148725943.34,6.5851,,,,,0.8839,,,,,6.5815,,,,,0.0512,2.9119,,,,,0.8762,,,,
2026-06-11,976764620126.73,6.4830,,,,,0.8702,,,,,6.4795,,,,,0.0521,2.8668,,,,,0.8626,,,,
2026-06-10,981051993878.9,6.5114,,,,,0.8741,,,,,6.5079,,,,,0.0518,2.8793,,,,,0.8664,,,,
2026-06-09,970711857182.49,6.4428,,,,,0.8648,,,,,6.4393,,,,,0.0524,2.8490,,,,,0.8572,,,,
2026-06-08,970964055638.5,6.4445,,,,,0.8651,,,,,6.4410,,,,,0.0524,2.8497,,,,,0.8575,,,,
2026-06-05,972981643286.58,6.4579,,,,,0.8669,,,,,6.4544,,,,,0.0523,2.8557,,,,,0.8592,,,,
2026-06-04,960876117398.1,6.3775,,,,,0.8561,,,,,6.3741,,,,,0.0529,2.8201,,,,,0.8486,,,,
2026-06-03,970964055638.5,6.4445,,,,,0.8651,,,,,6.4410,,,,,0.0524,2.8497,,,,,0.8575,,,,
2026-06-02,978530009318.8,6.4947,,,,,0.8718,,,,,6.4912,,,,,0.0520,2.8719,,,,,0.8641,,,,
2026-06-01,963398101958.2,6.3943,,,,,0.8583,,,,,6.3908,,,,,0.0528,2.8275,,,,,0.8508,,,,
2026-05-29,958606331294.01,6.3625,,,,,0.8541,,,,,6.3590,,,,,0.0530,2.8135,,,,,0.8466,,,,
2026-05-28,936160668709.12,6.2135,,,,,0.8341,,,,,6.2101,,,,,0.0543,2.7476,,,,,0.8267,,,,
2026-05-27,933134287237.0,6.1934,,,,,0.8314,,,,,6.1901,,,,,0.0545,2.7387,,,,,0.8241,,,,
2026-05-26,933134287237.0,6.1934,,,,,0.8314,,,,,6.1901,,,,,0.0545,2.7387,,,,,0.8241,,,,
2026-05-25,931621096500.94,6.1834,,,,,0.8300,,,,,6.1800,,,,,0.0546,2.7343,,,,,0.8227,,,,
2026-05-22,933638684149.02,6.1967,,,,,0.8318,,,,,6.1934,,,,,0.0545,2.7402,,,,,0.8245,,,,
2026-05-21,936917264077.15,6.2185,,,,,0.8347,,,,,6.2152,,,,,0.0543,2.7498,,,,,0.8274,,,,
2026-05-20,937421660989.17,6.2219,,,,,0.8352,,,,,6.2185,,,,,0.0542,2.7513,,,,,0.8278,,,,
2026-05-19,942465630109.37,6.2553,,,,,0.8397,,,,,6.2520,,,,,0.0539,2.7661,,,,,0.8323,,,,
2026-05-18,944987614669.47,6.2721,,,,,0.8419,,,,,6.2687,,,,,0.0538,2.7735,,,,,0.8345,,,,
2026-05-15,949527186877.65,6.3022,,,,,0.8460,,,,,6.2988,,,,,0.0535,2.7868,,,,,0.8385,,,,
2026-05-14,953562362173.81,6.3290,,,,,0.8496,,,,,6.3256,,,,,0.0533,2.7987,,,,,0.8421,,,,
2026-05-13,955327751365.88,6.3407,,,,,0.8511,,,,,6.3373,,,,,0.0532,2.8038,,,,,0.8437,,,,
2026-05-12,955832148277.9,6.3440,,,,,0.8516,,,,,6.3406,,,,,0.0532,2.8053,,,,,0.8441,,,,
2026-05-11,957597537469.97,6.3558,,,,,0.8532,,,,,6.3523,,,,,0.0531,2.8105,,,,,0.8457,,,,
2026-05-08,956840942101.94,6.3507,,,,,0.8525,,,,,6.3473,,,,,0.0531,2.8083,,,,,0.8450,,,,
2026-05-07,957093140557.95,6.3524,,,,,0.8527,,,,,6.3490,,,,,0.0531,2.8090,,,,,0.8452,,,,
2026-05-06,958354132838.0,6.3608,,,,,0.8538,,,,,6.3574,,,,,0.0531,2.8127,,,,,0.8463,,,,
2026-04-30,965163491150.27,6.4060,,,,,0.8599,,,,,6.4025,,,,,0.0527,2.8327,,,,,0.8523,,,,
2026-04-29,970964055638.5,6.4445,,,,,0.8651,,,,,6.4410,,,,,0.0524,2.8497,,,,,0.8575,,,,
2026-04-28,998705885799.6,6.6577,,,,,0.9423,,,,,6.6500,,,,,0.0509,2.9588,,,,,0.9335,,,,
2026-04-27,993157519767.38,6.6207,,,,,0.9370,,,,,6.6131,,,,,0.0512,2.9424,,,,,0.9283,,,,
2026-04-24,993157519767.38,6.6207,,,,,0.9370,,,,,6.6131,,,,,0.0512,2.9424,,,,,0.9283,,,,
2026-04-23,1004002053375.81,6.6930,,,,,0.9472,,,,,6.6853,,,,,0.0506,2.9745,,,,,0.9384,,,,
2026-04-22,1002236664183.74,6.6813,,,,,0.9456,,,,,6.6735,,,,,0.0507,2.9693,,,,,0.9368,,,,
2026-04-21,1005515244111.87,6.7031,,,,,0.9487,,,,,6.6954,,,,,0.0506,2.9790,,,,,0.9398,,,,
2026-04-20,1005515244111.87,6.7031,,,,,0.9487,,,,,6.6954,,,,,0.0506,2.9790,,,,,0.9398,,,,
2026-04-17,996688298151.52,6.6443,,,,,0.9403,,,,,6.6366,,,,,0.0510,2.9529,,,,,0.9316,,,,
2026-04-16,1006524037935.91,6.7098,,,,,0.9496,,,,,6.7021,,,,,0.0505,2.9820,,,,,0.9408,,,,
2026-04-15,1006271839479.9,6.7082,,,,,0.9494,,,,,6.7004,,,,,0.0505,2.9813,,,,,0.9406,,,,
2026-04-14,986852558367.13,6.5787,,,,,0.9311,,,,,6.5711,,,,,0.0515,2.9237,,,,,0.9224,,,,
2026-04-13,983069581526.98,6.5535,,,,,0.9275,,,,,6.5459,,,,,0.0517,2.9125,,,,,0.9189,,,,
2026-04-10,988870146015.21,6.5922,,,,,0.9330,,,,,6.5845,,,,,0.0514,2.9297,,,,,0.9243,,,,
2026-04-09,990131138295.26,6.6006,,,,,0.9342,,,,,6.5929,,,,,0.0514,2.9334,,,,,0.9255,,,,
2026-04-08,999210282711.62,6.6611,,,,,0.9427,,,,,6.6534,,,,,0.0509,2.9603,,,,,0.9340,,,,
2026-04-07,983321779982.99,6.5552,,,,,0.9277,,,,,6.5476,,,,,0.0517,2.9133,,,,,0.9191,,,,
2026-04-03,993661916679.4,6.6241,,,,,0.9375,,,,,6.6164,,,,,0.0512,2.9439,,,,,0.9288,,,,
2026-04-02,1002741061095.76,6.6846,,,,,0.9461,,,,,6.6769,,,,,0.0507,2.9708,,,,,0.9373,,,,
2026-04-01,1004254251831.82,6.6947,,,,,0.9475,,,,,6.6870,,,,,0.0506,2.9753,,,,,0.9387,,,,
2026-03-31,991644329031.32,6.6107,,,,,0.9356,,,,,6.6030,,,,,0.0513,2.9379,,,,,0.9269,,,,
2026-03-30,995679504327.48,6.6376,,,,,0.9394,,,,,6.6299,,,,,0.0511,2.9499,,,,,0.9307,,,,
2026-03-27,994670710503.44,6.6892,,,,,0.9434,,,,,6.6766,,,,,0.0764,2.9586,,,,,0.9346,,,,
2026-03-26,997697091975.56,6.7096,,,,,0.9463,,,,,6.6969,,,,,0.0762,2.9676,,,,,0.9374,,,,
2026-03-25,990131138295.26,6.6587,,,,,0.9391,,,,,6.6461,,,,,0.0767,2.9451,,,,,0.9303,,,,
2026-03-24,989878939839.25,6.6570,,,,,0.9389,,,,,6.6444,,,,,0.0768,2.9443,,,,,0.9301,,,,
2026-03-23,975503627846.68,6.5603,,,,,0.9252,,,,,6.5479,,,,,0.0779,2.9016,,,,,0.9166,,,,
2026-03-20,1002488862639.75,6.7418,,,,,0.9508,,,,,6.7291,,,,,0.0758,2.9818,,,,,0.9419,,,,
2026-03-19,1002993259551.77,6.7452,,,,,0.9513,,,,,6.7324,,,,,0.0758,2.9833,,,,,0.9424,,,,
