date,净利润率,总资产收益率(ROA),净资产收益率(ROE)
2026-03-31,0.4451,0.0117,0.1192
2025-12-31,0.4477,0.012,0.1202
2025-09-30,0.4463,0.0124,0.1233
2025-06-30,0.4472,0.0123,0.1239
2025-03-31,0.4439,0.0124,0.1249
2024-12-31,0.4432,0.0129,0.129
2024-09-30,0.4436,0.0132,0.1349
2024-06-30,0.4405,0.0132,0.1398
2024-03-31,0.4396,0.0134,0.1392
2023-12-31,0.4364,0.014,0.1451
2023-09-30,0.43,0.0144,0.1501
2023-06-30,0.4234,0.0142,0.1549
2023-03-31,0.4141,0.0143,0.1504
2022-12-31,0.404,0.0144,0.1531
2022-09-30,0.3901,0.0144,0.156
2022-06-30,0.3782,0.0139,0.1559
2022-03-31,0.369,0.0138,0.1502
2021-12-31,0.3648,0.0137,0.1514
2021-09-30,0.3596,0.0135,0.1531
2021-06-30,0.3523,0.0129,0.1564
2021-03-31,0.3424,0.0124,0.145
2020-12-31,0.3372,0.0124,0.1453
2020-09-30,0.3272,0.012,0.1413
2020-06-30,0.3312,0.0122,0.1527
2020-03-31,0.3454,0.0132,0.157
2019-12-31,0.3464,0.0132,0.1609
2019-09-30,0.3395,0.0132,0.1608
2019-06-30,0.333,0.0126,0.161
2019-03-31,0.3266,0.0128,0.1559
2018-12-31,0.3252,0.0124,0.1574
2018-09-30,0.3247,0.0125,0.163
2018-06-30,0.3244,0.0119,0.1643
2018-03-31,0.3254,0.012,0.159
2017-12-31,0.3198,0.0115,0.1593
2017-09-30,0.3227,0.0118,0.1651
2017-06-30,0.3186,0.0113,0.1661
2017-03-31,0.3082,0.0112,0.1598
2016-12-31,0.2984,0.0109,0.1631
2016-09-30,0.2996,0.0114,0.1648
2016-06-30,0.2862,0.0112,0.169
