date,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),总资产收益率(ROA),净利润率
2026-03-31,-0.126,-0.07,0.0148,-0.0466,-0.1038
2025-12-31,-0.1121,-0.0648,0.0081,-0.0425,-0.0925
2025-09-30,-0.0923,-0.0545,0.0278,-0.0362,-0.0747
2025-06-30,-0.0973,-0.0587,0.0381,-0.039,-0.0783
2025-03-31,-0.1211,-0.0768,0.0509,-0.049,-0.0989
2024-12-31,-0.1314,-0.0906,0.0744,-0.0548,-0.1051
2024-09-30,-0.111,-0.0787,0.105,-0.0469,-0.0798
2024-06-30,-0.0555,-0.0371,0.1379,-0.0236,-0.036
2024-03-31,0.07,0.0615,0.1695,0.0301,0.0396
2023-12-31,0.1607,0.1374,0.1826,0.0704,0.0825
2023-09-30,0.2375,0.2049,0.1784,0.0995,0.1136
2023-06-30,0.285,0.243,0.1626,0.123,0.1218
2023-03-31,0.2697,0.2266,0.151,0.1218,0.1134
2022-12-31,0.2688,0.2355,0.1538,0.1244,0.1144
2022-09-30,0.2385,0.2085,0.1645,0.0997,0.1116
2022-06-30,0.2173,0.1878,0.1791,0.094,0.1095
2022-03-31,0.1989,0.1689,0.1987,0.0888,0.1103
2021-12-31,0.2182,0.1831,0.2019,0.0979,0.1121
2021-09-30,0.2424,0.1994,0.2078,0.1049,0.1263
2021-06-30,0.2508,0.2147,0.2233,0.1144,0.1358
2021-03-31,0.2556,0.222,0.2325,0.118,0.1494
2020-12-31,0.2723,0.2246,0.2462,0.1184,0.1594
2020-09-30,0.2781,0.2235,0.2874,0.1238,0.1907
2020-06-30,0.2828,0.2316,0.3004,0.1283,0.197
2020-03-31,0.2864,0.2335,0.3047,0.1289,0.1915
2019-12-31,0.2463,0.2029,0.289,0.1123,0.1689
2019-09-30,0.2163,0.19,0.2634,0.0983,0.1521
2019-06-30,0.1799,,0.2426,0.0759,0.1301
2019-03-31,0.1668,,0.226,0.0693,0.1115
2018-12-31,0.1652,0.1281,0.2225,0.0708,0.1167
2018-09-30,0.2139,,0.2349,0.088,0.1489
2018-06-30,0.2739,,0.2658,0.1122,0.1804
2018-03-31,0.2874,,0.3032,0.1287,0.2128
2017-12-31,0.2917,,0.3227,0.1364,0.2169
2017-09-30,0.2462,,0.3415,0.118,0.194
2017-06-30,0.2171,,0.3259,0.0973,0.1679
2017-03-31,0.2084,,0.2896,0.1024,0.1429
2016-12-31,0.197,,0.2748,0.1056,0.1345
2016-09-30,0.1818,,0.2413,0.1076,0.1167
