date,所有者权益合计,负债合计,流动比率,有息负债率,流动资产合计,长期负债合计,应收账款,速动比率,流动负债合计,资产负债率,货币资金,资产合计
2026-03-31,51954480568,101203055493,1.2383,0.243,1797890057,4137744970,10413835876,0.9332,8317179564,0.6608,132919278762.56,153157536060
2025-12-31,54710952324,99092656484,1.2908,0.2297,1719977031,6825267540,11551104333,1.0325,6656027383,0.6443,137920769149.8,153803608808
2025-09-30,57845858432,96126619600,1.4329,0.2107,1911524200,15434097581,12200187305,1.0988,8073469192,0.6243,136405082340,153972478032
2025-06-30,58758624802,90845679608,1.4908,0.2151,1773413430,15879379573,11908490906,1.1738,6024773263,0.6072,113822313883.84,149604304410
2025-03-31,59913914286,89129096738,1.6022,0.23,1566858000,17368406850,10785010352,1.2595,7436074435,0.598,120112088315.6,149043011024
2024-12-31,61400679199,91443923169,1.4931,0.1957,1612413673,13949126851,13940747612,1.1979,6311338593,0.5983,119051133294.5,152844602368
2024-09-30,63325177848,91866827810,1.4531,0.1809,2029930277,11456215816,10671412837,1.0683,7459965396,0.592,133070472992.04,155192005658
2024-06-30,64920278082,94042371079,1.4061,0.1717,1941913437,10548400000,10229847942,1.0531,7786932815,0.5916,106244185263.96,158962649161
2024-03-31,68363770248,99923859493,1.4213,0.1553,1683664420,11053800000,10382591259,1.0444,10845459989,0.5938,147847633464.95,168287629741
2023-12-31,70712014853,93257186557,1.3955,0.1161,1998183979,5274200000,10855845347,1.0251,10465510387,0.5687,173537171349.3,163969201410
2023-09-30,71814397457,92721609623,1.3823,0.0916,1383725468,3278000000,11049022808,0.971,16355734874,0.5635,206820651443.12,164536007079
2023-06-30,68988399264,87771767104,1.4149,0.09,1154301046,3180000000,12509274781,1.0335,12958415877,0.5599,217361972348.71,156760166368
2023-03-31,65922452807,77951654735,1.4904,0.0909,870960795,2580000000,10855787236,1.0475,15603774068,0.5418,306368839547.46,143874107542
2022-12-31,62254301746,77301291301,1.5004,0.0944,1324087435,2912000000,9075746512,1.1048,14690975204,0.5539,320401103059.84,139555593047
2022-09-30,58389879322,88036129516,1.4293,0.0857,1138240293,1917000000,9145301714,0.8973,21563402829,0.6012,363237459957,146426008838
2022-06-30,53466942268,73571165694,1.4672,0.1034,992341302,1280000000,8223270260,0.9347,12885494738,0.5791,504931054494.33,127038107962
2022-03-31,50753154547,63712523717,1.5016,0.1352,899338422,1304683161,5995858462,0.9042,9030859887,0.5566,390761055990.52,114465678264
2021-12-31,47586873024,50148006258,1.387,0.0889,909275694,1661345366,7853446464,0.9194,7421291988,0.5131,466596523429.6,97734879282
2021-09-30,46162548318,57580206025,1.305,0.0866,1277301606,2194606802,8741553336,0.7625,8595939089,0.555,446460339355.84,103742754343
2021-06-30,43536169586,53594617486,1.2662,0.0909,931247547,1537875637,9277218171,0.7787,5752388951,0.5518,480886718578.72,97130787072
2021-03-31,41997443160,51353095545,1.2863,0.082,925900024,1178658619,8347201503,0.8189,4889214620,0.5501,340242741696,93350538705
2020-12-31,35598060993,52036767691,1.2787,0.1219,1126728403,1125286240,7270501798,0.9429,5017755319,0.5938,347757092672.2,87634828684
2020-09-30,34078099366,47490941404,1.3194,0.1447,1455890027,1175535050,5941916087,0.9845,6253217817,0.5822,282924769523.5,81569040770
2020-06-30,31805716599,36175888886,1.3715,0.106,1364243512,2248306287,6033418873,1.0149,3348562791,0.5321,153634242634.8,67981605485
2020-03-31,30281630687,32868949032,1.4978,0.1043,1670180827,2470287367,3257361521,1.0873,3751224697,0.5205,93696896318.4,63150579720
2019-12-31,28294816678,31009156433,1.5177,0.1,0,2508594223,3825745271,1.2177,0,0.5229,93659176150.8,59303973111
2019-09-30,26327669169,27773379605,1.6092,0.1041,0,2511912325,3849843268,1.2639,0,0.5134,98953059531.8,54101048774
2019-06-30,22431018146,29184801703,1.6202,0.1445,0,2603880385,4788915799,1.2932,0,0.5654,83760155311.4,51615819849
2019-03-31,17559474771,25605289667,1.4939,0.1777,0,2854731416,3890100861,1.1318,0,0.5932,72839755503,43164764438
2018-12-31,16824760230,22834483901,1.5392,0.1953,0,2658904838,4362641672,1.2104,0,0.5758,48671348998.4,39659244131
2018-09-30,15894603494,22939906258,1.4877,0.1929,0,2955254623,4008616145,1.088,0,0.5907,39641856000,38834509752
2018-06-30,15309826256,22584814990,1.3395,0.1713,0,2013961468,4486244329,0.9699,0,0.596,46593137864.8,37894641246
2018-03-31,14846943644,19957472687,1.4546,0.1896,0,1168869916,4288972871,1.087,0,0.5734,68334025305.5,34804416331
2017-12-31,14244144520,18639555741,1.5338,0.2121,0,1655781628,3925763776,1.305,0,0.5668,72660982846,32883700260
2017-09-30,12216156006,17269346897,1.2099,0.1748,0,1662781628,3349011849,1.0127,0,0.5857,58818902760.1,29485502902
2017-06-30,11154934600,15524298994,1.2334,0.2004,0,1812281628,3262233937,1.0705,0,0.5819,34129733193,26679233594
2017-03-31,10540984451,11322937737,1.7244,0.1861,0,1750071628,2600342421,1.3928,0,0.5179,31574992930.6,21863922188
2016-12-31,10093609740,9078794757,1.8666,0.1585,0,1023931628,2299698675,1.5657,0,0.4735,26734956441.7,19172404496
2016-09-30,9614602854,6424139286,2.3733,0.125,0,591346070,1748876257,1.8722,0,0.4005,26786681505,16038742140
