date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,976550508,-2448622879,-0.4013,-0.5191
2025-12-31,-1019410408,4359382756,1.9226,-0.6697
2025-09-30,-2326320112,1818660320,1.2174,-0.976
2025-06-30,-7518060559,-484332300,0.9245,-0.2
2025-03-31,-12123720336,-1747336782,0.6426,0.2037
2024-12-31,-12621796938,-4724978932,-1.5821,0.5445
2024-09-30,-15925343146,-8367081646,-1.8917,1.285
2024-06-30,-10490132675,-6413098864,-2.234,0.9391
2024-03-31,-1420639126,-4889457588,-0.4702,1.3937
2023-12-31,-1070422626,8117363683,-0.6669,0.7596
2023-09-30,4160356733,9383612354,-0.5423,0.857
2023-06-30,10624348167,5196965685,-0.5142,1.0811
2023-03-31,15666636874,-3325614431,-9.7564,1.357
2022-12-31,19641640431,24370135420,0.9777,1.6508
2022-09-30,23310413513,20501447596,3.3823,2.2572
2022-06-30,17569400868,10698382425,11.6243,2.1036
2022-03-31,8835810454,-309175955,0.8085,1.4773
2021-12-31,7483361861,12322606645,0.1187,1.358
2021-09-30,4569635102,4678288543,-0.2527,0.9701
2021-06-30,6369113842,847446924,1.5012,1.2199
2021-03-31,4919651714,-1614854027,-2.0124,1.0757
2020-12-31,6214765495,11014879428,0.3502,1.2661
2020-09-30,5624524413,6260316562,0.5595,1.2387
2020-06-30,2219866215,338821900,-0.8604,0.7914
2020-03-31,3636083282,-536077424,-1.5713,0.9755
2019-12-31,5474636015,8158241027,5.9534,1.4681
2019-09-30,2806263110,4014292832,2.7835,0.9038
2019-06-30,582392756,2426801948,1.0763,0.7161
2019-03-31,-721081437,938339750,2.3096,1.0467
2018-12-31,-2650115310,1173271528,-0.1167,0.4571
2018-09-30,-2837817918,1061007895,0.4878,0.5287
2018-06-30,-1881680274,1168821798,9.2581,0.6337
2018-03-31,-2753417454,-716500176,0.1247,0.3685
2017-12-31,-2702894830,1241910600,1.318,0.3499
2017-09-30,-2562963637,713137649,6.555,0.4297
2017-06-30,-3303413239,113941566,-0.7853,0.0623
2017-03-31,-2497418877,-818615678,-6.4905,-0.2517
2016-12-31,-1541254736,535757269,0.4696,0.3454
2016-09-30,-943553223,94392883,1.1537,0.7876
