date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,95104767807.4,1.8843,,,,,-13.7767,,,,,0.0000,1.4009,,,,,1.8972,,,,,-12.6583,,,,
2026-07-02,96847723711.44,1.9188,,,,,-14.0292,,,,,0.0000,1.4266,,,,,1.9320,,,,,-12.8903,,,,
2026-07-01,99954732062.12,1.9804,,,,,-14.4793,,,,,0.0000,1.4724,,,,,1.9940,,,,,-13.3038,,,,
2026-06-30,99424267221.76,1.9699,,,,,-14.4025,,,,,0.0000,1.4646,,,,,1.9834,,,,,-13.2332,,,,
2026-06-29,97075026279.84,1.9233,,,,,-14.0621,,,,,0.0000,1.4300,,,,,1.9365,,,,,-12.9205,,,,
2026-06-26,96014097030.88,1.9023,,,,,-13.9085,,,,,0.0000,1.4143,,,,,1.9154,,,,,-12.7793,,,,
2026-06-25,95559413067.04,1.8933,,,,,-13.8426,,,,,0.0000,1.4076,,,,,1.9063,,,,,-12.7188,,,,
2026-06-24,94346922496.8,1.8693,,,,,-13.6670,,,,,0.0000,1.3898,,,,,1.8821,,,,,-12.5574,,,,
2026-06-23,95559413067.04,1.8933,,,,,-13.8426,,,,,0.0000,1.4076,,,,,1.9063,,,,,-12.7188,,,,
2026-06-22,100257814026.72,1.9864,,,,,-14.5232,,,,,0.0000,1.4769,,,,,2.0000,,,,,-13.3442,,,,
2026-06-18,97302368261.76,1.9278,,,,,-14.0951,,,,,0.0000,1.4333,,,,,1.9411,,,,,-12.9508,,,,
2026-06-17,99045323456.48,1.9624,,,,,-14.3476,,,,,0.0000,1.4590,,,,,1.9759,,,,,-13.1828,,,,
2026-06-16,100788278651.2,1.9969,,,,,-14.6000,,,,,0.0000,1.4847,,,,,2.0106,,,,,-13.4148,,,,
2026-06-15,101394523936.32,2.0089,,,,,-14.6879,,,,,0.0000,1.4936,,,,,2.0227,,,,,-13.4955,,,,
2026-06-12,102000769221.44,2.0209,,,,,-14.7757,,,,,0.0000,1.5025,,,,,2.0348,,,,,-13.5761,,,,
2026-06-11,103364821112.96,2.0480,,,,,-14.9733,,,,,0.0000,1.5226,,,,,2.0620,,,,,-13.7577,,,,
2026-06-10,106699170181.12,2.1140,,,,,-15.4563,,,,,0.0000,1.5717,,,,,2.1285,,,,,-14.2015,,,,
2026-06-09,98060174868.16,1.9429,,,,,-14.2049,,,,,0.0000,1.4445,,,,,1.9562,,,,,-13.0517,,,,
2026-06-08,94271141836.16,1.8678,,,,,-13.6560,,,,,0.0000,1.3887,,,,,1.8806,,,,,-12.5473,,,,
2026-06-05,99500007420.32,1.9714,,,,,-14.4134,,,,,0.0000,1.4657,,,,,1.9849,,,,,-13.2433,,,,
2026-06-04,101091401293.76,2.0029,,,,,-14.6439,,,,,0.0000,1.4891,,,,,2.0167,,,,,-13.4551,,,,
2026-06-03,101697646578.88,2.0149,,,,,-14.7318,,,,,0.0000,1.4981,,,,,2.0288,,,,,-13.5358,,,,
2026-06-02,102152330542.72,2.0239,,,,,-14.7976,,,,,0.0000,1.5048,,,,,2.0378,,,,,-13.5963,,,,
2026-06-01,103667943755.52,2.0540,,,,,-15.0172,,,,,0.0000,1.5271,,,,,2.0681,,,,,-13.7980,,,,
2026-05-29,105259337628.96,2.0855,,,,,-15.2477,,,,,0.0000,1.5505,,,,,2.0998,,,,,-14.0099,,,,
2026-05-28,108745248018.4,2.1546,,,,,-15.7527,,,,,0.0000,1.6019,,,,,2.1694,,,,,-14.4738,,,,
2026-05-27,108821028679.04,2.1561,,,,,-15.7637,,,,,0.0000,1.6030,,,,,2.1709,,,,,-14.4839,,,,
2026-05-26,110639764534.4,2.1921,,,,,-16.0271,,,,,0.0000,1.6298,,,,,2.2072,,,,,-14.7260,,,,
2026-05-25,112534281050.4,2.2296,,,,,-16.3015,,,,,0.0000,1.6577,,,,,2.2449,,,,,-14.9781,,,,
2026-05-22,113974113602.56,2.2582,,,,,-16.5101,,,,,0.0000,1.6789,,,,,2.2737,,,,,-15.1698,,,,
2026-05-21,112079597086.56,2.2206,,,,,-16.2357,,,,,0.0000,1.6510,,,,,2.2359,,,,,-14.9176,,,,
2026-05-20,116323314082.4,2.3047,,,,,-16.8504,,,,,0.0000,1.7135,,,,,2.3205,,,,,-15.4825,,,,
2026-05-19,115489726815.36,2.2882,,,,,-16.7297,,,,,0.0000,1.7012,,,,,2.3039,,,,,-15.3715,,,,
2026-05-18,114731920208.96,2.2732,,,,,-16.6199,,,,,0.0000,1.6901,,,,,2.2888,,,,,-15.2706,,,,
2026-05-15,118217830598.4,2.3422,,,,,-17.1249,,,,,0.0000,1.7414,,,,,2.3583,,,,,-15.7346,,,,
2026-05-14,123522476843.2,2.4473,,,,,-17.8933,,,,,0.0000,1.8196,,,,,2.4641,,,,,-16.4406,,,,
2026-05-13,127159948553.92,2.5194,,,,,-18.4202,,,,,0.0000,1.8731,,,,,2.5367,,,,,-16.9248,,,,
2026-05-12,126553703268.8,2.5074,,,,,-18.3324,,,,,0.0000,1.8642,,,,,2.5246,,,,,-16.8441,,,,
2026-05-11,125871677323.04,2.4939,,,,,-18.2336,,,,,0.0000,1.8542,,,,,2.5110,,,,,-16.7533,,,,
2026-05-08,123977160807.04,2.4564,,,,,-17.9591,,,,,0.0000,1.8263,,,,,2.4732,,,,,-16.5012,,,,
2026-05-07,125416993359.2,2.4849,,,,,-18.1677,,,,,0.0000,1.8475,,,,,2.5019,,,,,-16.6928,,,,
2026-05-06,125416993359.2,2.4849,,,,,-18.1677,,,,,0.0000,1.8475,,,,,2.5019,,,,,-16.6928,,,,
2026-04-30,124734967413.44,2.4714,,,,,-18.0689,,,,,0.0000,1.8374,,,,,2.4883,,,,,-16.6020,,,,
2026-04-29,125416993359.2,2.4849,,,,,-18.1677,,,,,0.0000,1.8475,,,,,2.5019,,,,,-16.6928,,,,
2026-04-28,128448219784.8,2.2568,,,,,-23.2848,,,,,0.0000,1.7148,,,,,2.2568,,,,,-19.1343,,,,
2026-04-27,129888052336.96,2.2821,,,,,-23.5458,,,,,0.0000,1.7341,,,,,2.2821,,,,,-19.3488,,,,
2026-04-24,131782568852.96,2.3154,,,,,-23.8893,,,,,0.0000,1.7593,,,,,2.3154,,,,,-19.6310,,,,
2026-04-23,132843498101.92,2.3340,,,,,-24.0816,,,,,0.0000,1.7735,,,,,2.3340,,,,,-19.7891,,,,
2026-04-22,132995059423.2,2.3367,,,,,-24.1090,,,,,0.0000,1.7755,,,,,2.3367,,,,,-19.8117,,,,
2026-04-21,133298182065.76,2.3420,,,,,-24.1640,,,,,0.0000,1.7796,,,,,2.3420,,,,,-19.8568,,,,
2026-04-20,133752866029.6,2.3500,,,,,-24.2464,,,,,0.0000,1.7857,,,,,2.3500,,,,,-19.9246,,,,
2026-04-17,132161472156.16,2.3220,,,,,-23.9579,,,,,0.0000,1.7644,,,,,2.3220,,,,,-19.6875,,,,
2026-04-16,132691936780.64,2.3314,,,,,-24.0541,,,,,0.0000,1.7715,,,,,2.3314,,,,,-19.7665,,,,
2026-04-15,131706788192.32,2.3141,,,,,-23.8755,,,,,0.0000,1.7583,,,,,2.3141,,,,,-19.6198,,,,
