date,净利润率,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),总资产收益率(ROA)
2026-03-31,0.2174,0.1128,0.1184,0.3511,0.1014
2025-12-31,0.2381,0.1357,0.1432,0.3643,0.1221
2025-09-30,0.2465,0.1535,0.1627,0.375,0.136
2025-06-30,0.2563,0.1724,0.1831,0.4047,0.1508
2025-03-31,0.2798,0.1843,0.1958,0.4208,0.1637
2024-12-31,0.2777,0.1955,0.2083,0.4274,0.1731
2024-09-30,0.2846,0.2077,0.2205,0.4456,0.1822
2024-06-30,0.2825,0.2095,0.2239,0.4554,0.1828
2024-03-31,0.2881,0.2074,0.2218,0.4653,0.183
2023-12-31,0.2835,0.2066,0.2215,0.4676,0.18
2023-09-30,0.299,0.219,0.2321,0.4648,0.1955
2023-06-30,0.2967,0.2221,0.2368,0.4544,0.1877
2023-03-31,0.2914,0.2105,0.2234,0.4553,0.1872
2022-12-31,0.2902,0.2141,0.2298,0.4564,0.1862
2022-09-30,0.2928,0.2217,0.2358,0.4673,0.1958
2022-06-30,0.3103,0.2546,0.2726,0.4957,0.2179
2022-03-31,0.3081,0.2467,0.2626,0.5084,0.2164
2021-12-31,0.3072,0.2493,0.2679,0.5072,0.2171
2021-09-30,0.3174,0.252,0.2706,0.5001,0.217
2021-06-30,0.2738,0.2224,0.2397,0.4715,0.1951
2021-03-31,0.265,0.2048,0.2211,0.4536,0.1786
2020-12-31,0.2595,0.2058,0.2219,0.4516,0.1777
2020-09-30,0.2509,0.2049,0.2229,0.4633,0.1745
2020-06-30,0.2492,0.2058,0.2231,0.4505,0.1785
2020-03-31,0.2442,0.2016,0.2194,0.4486,0.1752
2019-12-31,0.2424,0.2082,0.2259,0.4424,0.1793
2019-09-30,0.2425,0.2127,0.231,0.4335,0.1802
2019-06-30,0.2432,,0.2342,0.4277,0.1821
2019-03-31,0.2416,,0.2306,0.425,0.1807
2018-12-31,0.2368,0.2134,0.2319,0.4242,0.1834
2018-09-30,0.2291,,0.2252,0.4373,0.1751
2018-06-30,0.221,,0.2212,0.4366,0.1738
2018-03-31,0.2175,,0.2037,0.4391,0.1593
2017-12-31,0.2101,0.1679,0.1909,0.4326,0.1461
2017-09-30,0.1969,,0.1704,0.4163,0.1325
2017-06-30,0.2001,,0.1672,0.4303,0.1342
2017-03-31,0.2145,,0.155,0.4596,0.1236
2016-12-31,0.2195,,0.1437,0.4895,0.1115
2016-09-30,0.2618,,0.1686,0.5119,0.1342
