date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,68898825382.0,4.5291,,,,,0.0260,40.0364,,,,,8.0104,,,,,36.2181,,,,,4.5291,,,,
2026-07-02,68657498498.0,4.5132,,,,,0.0261,39.8961,,,,,7.9824,,,,,36.0912,,,,,4.5132,,,,
2026-07-01,69242716191.7,4.5517,,,,,0.0259,40.2362,,,,,8.0504,,,,,36.3988,,,,,4.5517,,,,
2026-06-30,65930504708.8,4.3339,,,,,0.0272,38.3115,,,,,7.6653,,,,,34.6577,,,,,4.3339,,,,
2026-06-29,68398072097.7,4.4962,,,,,0.0262,39.7454,,,,,7.9522,,,,,35.9548,,,,,4.4962,,,,
2026-06-26,65158258680.0,4.2832,,,,,0.0275,37.8628,,,,,7.5755,,,,,34.2518,,,,,4.2832,,,,
2026-06-25,66835480523.8,4.3934,,,,,0.0268,38.8374,,,,,7.7705,,,,,35.1334,,,,,4.3934,,,,
2026-06-24,66027035462.4,4.3403,,,,,0.0271,38.3676,,,,,7.6765,,,,,34.7085,,,,,4.3403,,,,
2026-06-23,68361873065.1,4.4938,,,,,0.0262,39.7244,,,,,7.9480,,,,,35.9358,,,,,4.4938,,,,
2026-06-22,68953123930.9,4.5326,,,,,0.0260,40.0679,,,,,8.0167,,,,,36.2466,,,,,4.5326,,,,
2026-06-18,68108479836.9,4.4771,,,,,0.0263,39.5771,,,,,7.9185,,,,,35.8026,,,,,4.4771,,,,
2026-06-17,69140152266.0,4.5449,,,,,0.0259,40.1766,,,,,8.0385,,,,,36.3449,,,,,4.5449,,,,
2026-06-16,70057194425.2,4.6052,,,,,0.0256,40.7095,,,,,8.1451,,,,,36.8270,,,,,4.6052,,,,
2026-06-15,71535321589.7,4.7024,,,,,0.0250,41.5684,,,,,8.3169,,,,,37.6040,,,,,4.7024,,,,
