date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,0.2412,61427034,1289945727,0.4084
2025-12-31,0.0359,-259330052,77026626,-0.9414
2025-09-30,0.208,-698094086,486737382,-0.6253
2025-06-30,0.4852,131169808,375544162,-0.0156
2025-03-31,0.5641,566954251,915914617,0.7233
2024-12-31,0.4386,249540502,1313708034,-0.4047
2024-09-30,0.3627,1009369730,1298895966,-0.4541
2024-06-30,0.4048,1117591773,381494673,-0.7213
2024-03-31,0.689,1969611963,531482744,-0.1623
2023-12-31,0.7739,2066006667,2206631519,-0.6789
2023-09-30,1.0648,2920954493,2379535115,-0.6144
2023-06-30,1.0406,2726081764,1368609738,-0.7449
2023-03-31,2.6774,6823959565,634423963,0.2536
2022-12-31,2.7242,6711400846,6873030580,13.8679
2022-09-30,2.3994,5859977878,6170796214,8.5837
2022-06-30,2.0785,5415071276,5364583038,17.9416
2022-03-31,0.1121,198491083,506073692,-0.255
2021-12-31,0.1876,375412120,462272405,-0.6849
2021-09-30,0.2616,325790128,643882542,-0.566
2021-06-30,0.6177,882357531,283216344,-0.4823
2021-03-31,1.0227,1513319695,679248837,1.2356
2020-12-31,0.8684,1134255586,1467076541,2.6683
2020-09-30,-0.3212,-631890739,1483679416,0.3198
2020-06-30,-0.8273,-1343704865,547112647,-0.4053
2020-03-31,-0.7397,-1139702147,303830750,-0.3918
2019-12-31,-0.634,-931632528,-879372169,-2.4362
2019-09-30,1.2145,1504578589,1124147637,9.2021
2019-06-30,1.2477,1477310113,919995239,15.6328
2019-03-31,0.7161,923713276,499529736,1.0662
2018-12-31,0.5425,667002592,612310819,-0.0955
2018-09-30,0.0758,210674236,110187338,-0.8444
2018-06-30,0.1751,297332788,-62872233,-1.1412
2018-03-31,0.7235,606905098,241767161,-0.128
2017-12-31,0.8674,638923401,676933316,0.7158
2017-09-30,1.176,698662900,708009149,1.2924
2017-06-30,1.0537,559249336,445169044,1.3976
2017-03-31,0.9478,456179959,277268352,1.2564
2016-12-31,0.7785,303749575,394537199,0.2914
2016-09-30,0.7139,370783861,308854425,0.4922
