date,metric,value
2026-03-31,货币资金,91161230431
2026-03-31,营业收入,2741280656
2026-03-31,速动比率,2.1685
2026-03-31,基本每股收益,1.23
2026-03-31,有息负债率,0.0581
2026-03-31,负债合计,2628378415
2026-03-31,流动负债合计,232175191
2026-03-31,净利润率,0.2174
2026-03-31,经营活动产生的现金流量净额,1289945727
2026-03-31,资本回报率(ROIC),0.1128
2026-03-31,所有者权益合计,15756292865
2026-03-31,资产合计,18384671280
2026-03-31,毛利率(GM),0.3511
2026-03-31,流动资产合计,379637
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.2412
2026-03-31,流动比率,5.022
2026-03-31,净资产收益率(ROE),0.1184
2026-03-31,自由现金流量,61427034
2026-03-31,总资产收益率(ROA),0.1014
2026-03-31,应收账款,891644107
2026-03-31,资产负债率,0.143
2026-03-31,长期负债合计,52280995
2026-03-31,归属于母公司普通股股东的净利润,743483793
