date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,882759976172.8,18.5469,,,,,1.7623,,,,,17.1187,,,,,1.7623,,,,,0.0468,2.9850,,,,
2026-07-02,884278236574.0801,18.5788,,,,,1.7654,,,,,17.1481,,,,,1.7654,,,,,0.0467,2.9902,,,,
2026-07-01,856298866321.9199,17.9910,,,,,1.7095,,,,,16.6056,,,,,1.7095,,,,,0.0483,2.8956,,,,
2026-06-30,846755515228.16,17.7905,,,,,1.6905,,,,,16.4205,,,,,1.6905,,,,,0.0488,2.8633,,,,
2026-06-29,867143583473.9199,18.2188,,,,,1.7312,,,,,16.8159,,,,,1.7312,,,,,0.0477,2.9322,,,,
2026-06-26,858250915409.28,18.0320,,,,,1.7134,,,,,16.6434,,,,,1.7134,,,,,0.0482,2.9022,,,,
2026-06-25,854563711577.6,17.9545,,,,,1.7060,,,,,16.5719,,,,,1.7060,,,,,0.0484,2.8897,,,,
2026-06-24,868661843875.2,18.2507,,,,,1.7342,,,,,16.8453,,,,,1.7342,,,,,0.0476,2.9374,,,,
2026-06-23,881892398800.6399,18.5287,,,,,1.7606,,,,,17.1019,,,,,1.7606,,,,,0.0469,2.9821,,,,
2026-06-22,900328417959.0399,18.9161,,,,,1.7974,,,,,17.4594,,,,,1.7974,,,,,0.0459,3.0444,,,,
2026-06-18,894906059383.0399,18.8021,,,,,1.7866,,,,,17.3542,,,,,1.7866,,,,,0.0462,3.0261,,,,
2026-06-17,907919719965.44,19.0755,,,,,1.8126,,,,,17.6066,,,,,1.8126,,,,,0.0455,3.0701,,,,
2026-06-16,922234746606.08,19.3763,,,,,1.8411,,,,,17.8842,,,,,1.8411,,,,,0.0448,3.1185,,,,
2026-06-15,941104554450.56,19.7728,,,,,1.8788,,,,,18.2501,,,,,1.8788,,,,,0.0439,3.1823,,,,
2026-06-12,1000750498786.56,21.0259,,,,,1.9979,,,,,19.4068,,,,,1.9979,,,,,0.0413,3.3840,,,,
2026-06-11,1025693348236.16,21.5500,,,,,2.0477,,,,,19.8905,,,,,2.0477,,,,,0.0403,3.4684,,,,
2026-06-10,1030465023783.04,21.6502,,,,,2.0572,,,,,19.9830,,,,,2.0572,,,,,0.0401,3.4845,,,,
2026-06-09,1062348492209.92,22.3201,,,,,2.1209,,,,,20.6013,,,,,2.1209,,,,,0.0389,3.5923,,,,
2026-06-08,1100955685271.04,23.1313,,,,,2.1979,,,,,21.3500,,,,,2.1979,,,,,0.0375,3.7229,,,,
