date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-07-03,882759976172.8,1.7623,,,,,17.1187,,,,,1.7623,,,,,18.5469,,,,,2.9850,,,,,0.0468
2026-07-02,884278236574.0801,1.7654,,,,,17.1481,,,,,1.7654,,,,,18.5788,,,,,2.9902,,,,,0.0467
2026-07-01,856298866321.9199,1.7095,,,,,16.6056,,,,,1.7095,,,,,17.9910,,,,,2.8956,,,,,0.0483
2026-06-30,846755515228.16,1.6905,,,,,16.4205,,,,,1.6905,,,,,17.7905,,,,,2.8633,,,,,0.0488
2026-06-29,867143583473.9199,1.7312,,,,,16.8159,,,,,1.7312,,,,,18.2188,,,,,2.9322,,,,,0.0477
2026-06-26,858250915409.28,1.7134,,,,,16.6434,,,,,1.7134,,,,,18.0320,,,,,2.9022,,,,,0.0482
2026-06-25,854563711577.6,1.7060,,,,,16.5719,,,,,1.7060,,,,,17.9545,,,,,2.8897,,,,,0.0484
2026-06-24,868661843875.2,1.7342,,,,,16.8453,,,,,1.7342,,,,,18.2507,,,,,2.9374,,,,,0.0476
2026-06-23,881892398800.6399,1.7606,,,,,17.1019,,,,,1.7606,,,,,18.5287,,,,,2.9821,,,,,0.0469
2026-06-22,900328417959.0399,1.7974,,,,,17.4594,,,,,1.7974,,,,,18.9161,,,,,3.0444,,,,,0.0459
2026-06-18,894906059383.0399,1.7866,,,,,17.3542,,,,,1.7866,,,,,18.8021,,,,,3.0261,,,,,0.0462
2026-06-17,907919719965.44,1.8126,,,,,17.6066,,,,,1.8126,,,,,19.0755,,,,,3.0701,,,,,0.0455
2026-06-16,922234746606.08,1.8411,,,,,17.8842,,,,,1.8411,,,,,19.3763,,,,,3.1185,,,,,0.0448
2026-06-15,941104554450.56,1.8788,,,,,18.2501,,,,,1.8788,,,,,19.7728,,,,,3.1823,,,,,0.0439
2026-06-12,1000750498786.56,1.9979,,,,,19.4068,,,,,1.9979,,,,,21.0259,,,,,3.3840,,,,,0.0413
2026-06-11,1025693348236.16,2.0477,,,,,19.8905,,,,,2.0477,,,,,21.5500,,,,,3.4684,,,,,0.0403
2026-06-10,1030465023783.04,2.0572,,,,,19.9830,,,,,2.0572,,,,,21.6502,,,,,3.4845,,,,,0.0401
