date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,114173974418.28,3.6667,0.8094,3.6190,2.2983,1.9131,2.5338,0.9690,1.8076,1.5088,1.3130,0.0226,14.4340,0.4531,34.4066,16.0589,10.5934
2026-06-05,119503169829.6,3.8379,0.8340,3.6258,2.2989,1.9131,2.6520,0.9703,1.8080,1.5096,1.3130,0.0216,15.1077,0.4772,34.4066,16.1131,10.5934
2026-06-04,120795095989.92,3.8793,0.8434,3.6237,2.2986,1.9131,2.6807,0.9712,1.8076,1.5092,1.3130,0.0214,15.2711,0.4847,34.4066,16.1140,10.5934
2026-06-03,122167767535.26,3.9234,0.8494,3.6190,2.2983,1.9131,2.7111,0.9716,1.8076,1.5088,1.3130,0.0212,15.4446,0.4888,34.4066,16.1149,10.5934
2026-06-02,125074601395.98,4.0168,0.8602,3.6190,2.2983,1.9131,2.7757,0.9720,1.8076,1.5088,1.3130,0.0207,15.8121,0.4935,34.4066,16.1437,10.5934
2026-06-01,125397582936.06,4.0271,0.8614,3.6190,2.2983,1.9131,2.7828,0.9725,1.8076,1.5088,1.3130,0.0206,15.8529,0.4948,34.4066,16.1744,10.5934
2026-05-29,128062180641.72,4.1127,0.8654,3.6258,2.2989,1.9131,2.8420,0.9729,1.8076,1.5096,1.3130,0.0202,16.1898,0.5000,34.4066,16.1898,10.5934
2026-05-28,129919324497.18,4.1724,0.8680,3.6237,2.2986,1.9131,2.8832,0.9733,1.8076,1.5092,1.3130,0.0199,16.4246,0.5041,34.4066,16.1968,10.5934
2026-05-27,131534232197.58,4.2242,0.8769,3.6190,2.2983,1.9131,2.9190,0.9738,1.8076,1.5088,1.3130,0.0196,16.6287,0.5077,34.4066,16.1886,10.5934
2026-05-26,139366534544.52,4.4758,0.9355,3.6190,2.2983,1.9131,3.0928,0.9772,1.8076,1.5088,1.3130,0.0185,17.6189,0.5495,34.4066,16.1886,10.5934
2026-05-25,143484549180.54,4.6080,0.9518,3.6190,2.2983,1.9131,3.1842,0.9806,1.8076,1.5088,1.3130,0.0180,18.1395,0.5658,34.4066,16.1886,10.5934
2026-05-22,145987656116.16,4.6884,0.9643,3.6258,2.2989,1.9131,3.2398,0.9845,1.8076,1.5096,1.3130,0.0177,18.4559,0.5834,34.4066,16.2050,10.5934
2026-05-21,143726785335.6,4.6158,0.9540,3.6237,2.2986,1.9131,3.1896,0.9819,1.8076,1.5092,1.3130,0.0180,18.1701,0.5669,34.4066,16.1968,10.5934
