date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,90830046204.06,0.4765,,,,,11.6891,,,,,0.0494,12.5701,,,,,1.1277,,,,,0.4796,,,,
2026-07-02,89293248456.15,0.4685,,,,,11.4913,,,,,0.0502,12.3574,,,,,1.1086,,,,,0.4715,,,,
2026-07-01,91412969487.75,0.4716,,,,,11.7641,,,,,0.0491,12.6508,,,,,1.1349,,,,,0.4747,,,,
2026-06-30,89823178714.05,0.4634,,,,,11.5595,,,,,0.0499,12.4307,,,,,1.1152,,,,,0.4664,,,,
2026-06-29,91148004358.8,0.4702,,,,,11.7300,,,,,0.0492,12.6141,,,,,1.1316,,,,,0.4733,,,,
2026-06-26,90989025281.43,0.4694,,,,,11.7096,,,,,0.0493,12.5921,,,,,1.1296,,,,,0.4725,,,,
2026-06-25,94062620777.25,0.4853,,,,,12.1051,,,,,0.0477,13.0174,,,,,1.1678,,,,,0.4884,,,,
2026-06-24,91465962513.54,0.4719,,,,,11.7710,,,,,0.0490,12.6581,,,,,1.1356,,,,,0.4749,,,,
2026-06-23,92419836977.76,0.4768,,,,,11.8937,,,,,0.0485,12.7901,,,,,1.1474,,,,,0.4799,,,,
2026-06-22,94645544060.94,0.4883,,,,,12.1801,,,,,0.0474,13.0981,,,,,1.1750,,,,,0.4914,,,,
2026-06-18,94115613803.04,0.4856,,,,,12.1119,,,,,0.0476,13.0248,,,,,1.1685,,,,,0.4887,,,,
2026-06-17,96659279040.96,0.4987,,,,,12.4393,,,,,0.0464,13.3768,,,,,1.2000,,,,,0.5019,,,,
2026-06-16,96606286015.17,0.4984,,,,,12.4325,,,,,0.0464,13.3695,,,,,1.1994,,,,,0.5016,,,,
2026-06-15,97719139556.76,0.5042,,,,,12.5757,,,,,0.0459,13.5235,,,,,1.2132,,,,,0.5074,,,,
2026-06-12,99149951253.09,0.5115,,,,,12.7598,,,,,0.0452,13.7215,,,,,1.2310,,,,,0.5148,,,,
2026-06-11,98408048892.03,0.5077,,,,,12.6643,,,,,0.0457,13.6188,,,,,1.2217,,,,,0.5110,,,,
2026-06-10,99520902433.62,0.5134,,,,,12.8076,,,,,0.0452,13.7728,,,,,1.2356,,,,,0.5168,,,,
2026-06-09,100686749001.0,0.5195,,,,,12.9576,,,,,0.0447,13.9342,,,,,1.2500,,,,,0.5228,,,,
2026-06-08,101163686233.11,0.5219,,,,,13.0190,,,,,0.0445,14.0002,,,,,1.2560,,,,,0.5253,,,,
2026-06-05,102541504903.65,0.5290,,,,,13.1963,,,,,0.0439,14.1908,,,,,1.2731,,,,,0.5324,,,,
2026-06-04,101905588594.17,0.5257,,,,,13.1145,,,,,0.0441,14.1028,,,,,1.2652,,,,,0.5291,,,,
2026-06-03,103866330548.4,0.5359,,,,,13.3668,,,,,0.0433,14.3742,,,,,1.2895,,,,,0.5393,,,,
2026-06-02,106674960915.27,0.5504,,,,,13.7282,,,,,0.0422,14.7629,,,,,1.3244,,,,,0.5539,,,,
2026-06-01,107628835379.49,0.5553,,,,,13.8510,,,,,0.0418,14.8949,,,,,1.3362,,,,,0.5589,,,,
2026-05-29,106780946966.85,0.5509,,,,,13.7419,,,,,0.0421,14.7775,,,,,1.3257,,,,,0.5545,,,,
2026-05-28,104237281728.93,0.5378,,,,,13.4145,,,,,0.0432,14.4255,,,,,1.2941,,,,,0.5412,,,,
2026-05-27,104449253832.09,0.5389,,,,,13.4418,,,,,0.0431,14.4549,,,,,1.2968,,,,,0.5423,,,,
2026-05-26,103336400290.5,0.5331,,,,,13.2986,,,,,0.0435,14.3009,,,,,1.2829,,,,,0.5366,,,,
2026-05-25,102700483981.02,0.5298,,,,,13.2168,,,,,0.0438,14.2128,,,,,1.2750,,,,,0.5333,,,,
2026-05-22,104290274754.72,0.5381,,,,,13.4213,,,,,0.0431,14.4329,,,,,1.2948,,,,,0.5415,,,,
2026-05-21,104449253832.09,0.5389,,,,,13.4418,,,,,0.0431,14.4549,,,,,1.2968,,,,,0.5423,,,,
2026-05-20,106039044605.79,0.5471,,,,,13.6464,,,,,0.0424,14.6749,,,,,1.3165,,,,,0.5506,,,,
2026-05-19,105933058554.21,0.5465,,,,,13.6328,,,,,0.0425,14.6602,,,,,1.3152,,,,,0.5501,,,,
2026-05-18,106198023683.16,0.5479,,,,,13.6669,,,,,0.0424,14.6969,,,,,1.3185,,,,,0.5514,,,,
2026-05-15,108529716817.92,0.5599,,,,,13.9669,,,,,0.0415,15.0196,,,,,1.3474,,,,,0.5635,,,,
2026-05-14,111285354159.0,0.5741,,,,,14.3216,,,,,0.0404,15.4009,,,,,1.3816,,,,,0.5778,,,,
2026-05-13,112610179803.75,0.5810,,,,,14.4921,,,,,0.0400,15.5843,,,,,1.3981,,,,,0.5847,,,,
2026-05-12,113352082164.81,0.5848,,,,,14.5875,,,,,0.0397,15.6869,,,,,1.4073,,,,,0.5886,,,,
2026-05-11,113564054267.97,0.5859,,,,,14.6148,,,,,0.0396,15.7163,,,,,1.4099,,,,,0.5897,,,,
2026-05-08,111497326262.16,0.5752,,,,,14.3488,,,,,0.0404,15.4303,,,,,1.3843,,,,,0.5789,,,,
2026-05-07,112398207700.59,0.5799,,,,,14.4648,,,,,0.0400,15.5549,,,,,1.3954,,,,,0.5836,,,,
2026-05-06,112027256520.06,0.5780,,,,,14.4170,,,,,0.0402,15.5036,,,,,1.3908,,,,,0.5817,,,,
2026-04-30,111974263494.27,0.5777,,,,,14.4102,,,,,0.0402,15.4963,,,,,1.3902,,,,,0.5814,,,,
2026-04-29,112663172829.54,0.5855,,,,,13.8866,,,,,0.0399,14.8479,,,,,1.3651,,,,,0.5893,,,,
2026-04-28,112345214674.8,0.5838,,,,,13.8474,,,,,0.0400,14.8060,,,,,1.3612,,,,,0.5876,,,,
2026-04-27,112239228623.22,0.5833,,,,,13.8344,,,,,0.0401,14.7920,,,,,1.3599,,,,,0.5871,,,,
2026-04-24,113405075190.6,0.5893,,,,,13.9781,,,,,0.0397,14.9456,,,,,1.3741,,,,,0.5932,,,,
2026-04-23,114729900835.35,0.5962,,,,,14.1414,,,,,0.0392,15.1202,,,,,1.3901,,,,,0.6001,,,,
2026-04-22,115524796222.2,0.6004,,,,,14.2393,,,,,0.0389,15.2250,,,,,1.3998,,,,,0.6043,,,,
2026-04-21,116743635815.37,0.6067,,,,,14.3896,,,,,0.0385,15.3856,,,,,1.4145,,,,,0.6106,,,,
2026-04-20,117008600944.32,0.6081,,,,,14.4222,,,,,0.0385,15.4205,,,,,1.4177,,,,,0.6120,,,,
2026-04-17,117750503305.38,0.6119,,,,,14.5137,,,,,0.0382,15.5183,,,,,1.4267,,,,,0.6159,,,,
2026-04-16,117909482382.75,0.6127,,,,,14.5333,,,,,0.0382,15.5393,,,,,1.4287,,,,,0.6167,,,,
2026-04-15,119499273156.45,0.6210,,,,,14.7292,,,,,0.0376,15.7488,,,,,1.4479,,,,,0.6250,,,,
2026-04-14,120029203414.35,0.6238,,,,,14.7946,,,,,0.0375,15.8186,,,,,1.4543,,,,,0.6278,,,,
2026-04-13,120082196440.14,0.6240,,,,,14.8011,,,,,0.0375,15.8256,,,,,1.4550,,,,,0.6281,,,,
2026-04-10,121036070904.36,0.6290,,,,,14.9187,,,,,0.0372,15.9513,,,,,1.4665,,,,,0.6331,,,,
2026-04-09,121142056955.94,0.6295,,,,,14.9317,,,,,0.0371,15.9653,,,,,1.4678,,,,,0.6336,,,,
2026-04-08,123367764039.12,0.6411,,,,,15.2061,,,,,0.0365,16.2586,,,,,1.4948,,,,,0.6453,,,,
2026-04-07,120983077878.57,0.6287,,,,,14.9121,,,,,0.0372,15.9443,,,,,1.4659,,,,,0.6328,,,,
2026-04-03,121407022084.89,0.6309,,,,,14.9644,,,,,0.0371,16.0002,,,,,1.4710,,,,,0.6350,,,,
2026-04-02,122837833781.22,0.6384,,,,,15.1407,,,,,0.0366,16.1888,,,,,1.4884,,,,,0.6425,,,,
2026-04-01,123526743116.49,0.6419,,,,,15.2257,,,,,0.0364,16.2796,,,,,1.4967,,,,,0.6461,,,,
2026-03-31,122731847729.64,0.6378,,,,,15.1277,,,,,0.0367,16.1748,,,,,1.4871,,,,,0.6420,,,,
2026-03-30,124109666400.18,0.6450,,,,,15.2975,,,,,0.0363,16.3564,,,,,1.5038,,,,,0.6492,,,,
