date,总资产收益率(ROA),毛利率(GM),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.0297,0.2385,0.0935,0.0346,0.037
2025-12-31,0.0308,0.2416,0.0953,0.0363,0.0389
2025-09-30,0.0348,0.2535,0.1048,0.0407,0.044
2025-06-30,0.0349,0.2483,0.1,0.0409,0.0437
2025-03-31,0.0318,0.2291,0.0896,0.0376,0.0396
2024-12-31,0.0306,0.217,0.0842,0.0366,0.0385
2024-09-30,0.0277,0.1683,0.0629,0.0338,0.0351
2024-06-30,0.0302,0.1591,0.0605,0.0365,0.0375
2024-03-31,0.0391,0.1678,0.073,0.0465,0.0481
2023-12-31,0.0439,0.1657,0.0762,0.0523,0.0546
2023-09-30,0.0518,0.169,0.0855,0.0605,0.0645
2023-06-30,0.0544,0.1758,0.0906,0.0626,0.0669
2023-03-31,0.0577,0.1836,0.0994,0.0656,0.0694
2022-12-31,0.068,0.213,0.1223,0.0785,0.0832
2022-09-30,0.1075,0.2882,0.1821,0.1215,0.1299
2022-06-30,0.1347,0.3021,0.2014,0.15,0.1611
2022-03-31,0.1535,0.3051,0.2096,0.1695,0.18
2021-12-31,0.1584,0.2963,0.2034,0.18,0.1898
2021-09-30,0.1652,0.2821,0.194,0.1892,0.2004
2021-06-30,0.1828,0.2765,0.1923,0.2064,0.2192
2021-03-31,0.1952,0.2802,0.1993,0.2198,0.2328
2020-12-31,0.1915,0.2916,0.2064,0.2207,0.2342
2020-09-30,0.1959,0.3065,0.2088,0.2287,0.2454
2020-06-30,0.2108,0.3279,0.2218,0.2429,0.2599
2020-03-31,0.1994,0.3404,0.221,0.2287,0.2452
2019-12-31,0.2093,0.3329,0.2188,0.2472,0.2655
2019-09-30,0.2212,0.3153,0.209,0.2638,0.282
2019-06-30,0.2383,0.3252,0.2135,0.2745,0.2966
2019-03-31,0.2308,0.3485,0.2279,,0.2909
2018-12-31,0.2255,0.3674,0.2386,0.2666,0.294
2018-09-30,0.2154,0.4113,0.2666,,0.2849
2018-06-30,0.1909,0.4075,0.2544,,0.2473
2018-03-31,0.1616,0.3755,0.2368,,0.2121
2017-12-31,0.1418,0.3509,0.2181,,0.1907
2017-09-30,0.1168,0.3287,0.1908,,0.1588
2017-06-30,0.1159,0.332,0.1965,,0.1573
2017-03-31,0.0918,0.3304,0.1706,,0.1276
2016-12-31,0.0831,0.3247,0.16,,0.1161
2016-09-30,0.0739,0.3146,0.1516,,0.1034
