date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,90830046204.06,0.0494,1.1277,,,,,11.6891,,,,,0.4765,,,,,12.5701,,,,,0.4796,,,,
2026-07-02,89293248456.15,0.0502,1.1086,,,,,11.4913,,,,,0.4685,,,,,12.3574,,,,,0.4715,,,,
2026-07-01,91412969487.75,0.0491,1.1349,,,,,11.7641,,,,,0.4716,,,,,12.6508,,,,,0.4747,,,,
2026-06-30,89823178714.05,0.0499,1.1152,,,,,11.5595,,,,,0.4634,,,,,12.4307,,,,,0.4664,,,,
2026-06-29,91148004358.8,0.0492,1.1316,,,,,11.7300,,,,,0.4702,,,,,12.6141,,,,,0.4733,,,,
2026-06-26,90989025281.43,0.0493,1.1296,,,,,11.7096,,,,,0.4694,,,,,12.5921,,,,,0.4725,,,,
2026-06-25,94062620777.25,0.0477,1.1678,,,,,12.1051,,,,,0.4853,,,,,13.0174,,,,,0.4884,,,,
2026-06-24,91465962513.54,0.0490,1.1356,,,,,11.7710,,,,,0.4719,,,,,12.6581,,,,,0.4749,,,,
2026-06-23,92419836977.76,0.0485,1.1474,,,,,11.8937,,,,,0.4768,,,,,12.7901,,,,,0.4799,,,,
2026-06-22,94645544060.94,0.0474,1.1750,,,,,12.1801,,,,,0.4883,,,,,13.0981,,,,,0.4914,,,,
2026-06-18,94115613803.04,0.0476,1.1685,,,,,12.1119,,,,,0.4856,,,,,13.0248,,,,,0.4887,,,,
2026-06-17,96659279040.96,0.0464,1.2000,,,,,12.4393,,,,,0.4987,,,,,13.3768,,,,,0.5019,,,,
2026-06-16,96606286015.17,0.0464,1.1994,,,,,12.4325,,,,,0.4984,,,,,13.3695,,,,,0.5016,,,,
2026-06-15,97719139556.76,0.0459,1.2132,,,,,12.5757,,,,,0.5042,,,,,13.5235,,,,,0.5074,,,,
2026-06-12,99149951253.09,0.0452,1.2310,,,,,12.7598,,,,,0.5115,,,,,13.7215,,,,,0.5148,,,,
2026-06-11,98408048892.03,0.0457,1.2217,,,,,12.6643,,,,,0.5077,,,,,13.6188,,,,,0.5110,,,,
2026-06-10,99520902433.62,0.0452,1.2356,,,,,12.8076,,,,,0.5134,,,,,13.7728,,,,,0.5168,,,,
2026-06-09,100686749001.0,0.0447,1.2500,,,,,12.9576,,,,,0.5195,,,,,13.9342,,,,,0.5228,,,,
2026-06-08,101163686233.11,0.0445,1.2560,,,,,13.0190,,,,,0.5219,,,,,14.0002,,,,,0.5253,,,,
