date,stockCode,融券净卖出金额
2025-04-16T00:00:00+08:00,000333,-2063756
2025-04-17T00:00:00+08:00,000333,-1167050
2025-04-18T00:00:00+08:00,000333,1294818
2025-04-21T00:00:00+08:00,000333,-896673
2025-04-22T00:00:00+08:00,000333,2443265
2025-04-23T00:00:00+08:00,000333,1269940
2025-04-24T00:00:00+08:00,000333,-577710
2025-04-25T00:00:00+08:00,000333,4238835
2025-04-28T00:00:00+08:00,000333,2581692
2025-04-29T00:00:00+08:00,000333,-7507797
2025-04-30T00:00:00+08:00,000333,1314786
2025-05-06T00:00:00+08:00,000333,-3486706
2025-05-07T00:00:00+08:00,000333,6230184
2025-05-08T00:00:00+08:00,000333,1825216
2025-05-09T00:00:00+08:00,000333,-2016800
2025-05-12T00:00:00+08:00,000333,1479136
2025-05-13T00:00:00+08:00,000333,391818
2025-05-14T00:00:00+08:00,000333,-3014938
2025-05-15T00:00:00+08:00,000333,26834
2025-05-16T00:00:00+08:00,000333,1225870
2025-05-19T00:00:00+08:00,000333,-747250
2025-05-20T00:00:00+08:00,000333,1050645
2025-05-21T00:00:00+08:00,000333,-7671115
2025-05-22T00:00:00+08:00,000333,2340504
2025-05-23T00:00:00+08:00,000333,1749016
2025-05-26T00:00:00+08:00,000333,-1061076
2025-05-27T00:00:00+08:00,000333,2378124
2025-05-28T00:00:00+08:00,000333,2901708
2025-05-29T00:00:00+08:00,000333,-6438366
2025-05-30T00:00:00+08:00,000333,879408
2025-06-03T00:00:00+08:00,000333,-6194734
2025-06-04T00:00:00+08:00,000333,1064228
2025-06-05T00:00:00+08:00,000333,-2072687
2025-06-06T00:00:00+08:00,000333,673265
2025-06-09T00:00:00+08:00,000333,-2724150
2025-06-10T00:00:00+08:00,000333,1160065
2025-06-11T00:00:00+08:00,000333,4000928
2025-06-12T00:00:00+08:00,000333,-1587833
2025-06-13T00:00:00+08:00,000333,-2290976
2025-06-16T00:00:00+08:00,000333,-412136
2025-06-17T00:00:00+08:00,000333,-247732
2025-06-18T00:00:00+08:00,000333,-2138876
2025-06-19T00:00:00+08:00,000333,-1319402
2025-06-20T00:00:00+08:00,000333,3014774
2025-06-23T00:00:00+08:00,000333,1953204
2025-06-24T00:00:00+08:00,000333,-405616
2025-06-25T00:00:00+08:00,000333,-1659306
2025-06-26T00:00:00+08:00,000333,1158406
2025-06-27T00:00:00+08:00,000333,115164
2025-06-30T00:00:00+08:00,000333,-1197004
2025-07-01T00:00:00+08:00,000333,274456
2025-07-02T00:00:00+08:00,000333,-631556
2025-07-03T00:00:00+08:00,000333,-1623371
2025-07-04T00:00:00+08:00,000333,-796901
2025-07-07T00:00:00+08:00,000333,-600838
2025-07-08T00:00:00+08:00,000333,1295762
2025-07-09T00:00:00+08:00,000333,-137032
2025-07-10T00:00:00+08:00,000333,-992388
2025-07-11T00:00:00+08:00,000333,-766576
2025-07-14T00:00:00+08:00,000333,805864
2025-07-15T00:00:00+08:00,000333,-1150548
2025-07-16T00:00:00+08:00,000333,2021941
2025-07-17T00:00:00+08:00,000333,1625311
2025-07-18T00:00:00+08:00,000333,-821717
2025-07-21T00:00:00+08:00,000333,216078
2025-07-22T00:00:00+08:00,000333,-219943
2025-07-23T00:00:00+08:00,000333,-2565642
2025-07-24T00:00:00+08:00,000333,60568
2025-07-25T00:00:00+08:00,000333,580448
2025-07-28T00:00:00+08:00,000333,-102654
2025-07-29T00:00:00+08:00,000333,-465938
2025-07-30T00:00:00+08:00,000333,2552914
2025-07-31T00:00:00+08:00,000333,-3011366
2025-08-01T00:00:00+08:00,000333,-1258967
2025-08-04T00:00:00+08:00,000333,-25733
2025-08-05T00:00:00+08:00,000333,483876
2025-08-06T00:00:00+08:00,000333,-133748
2025-08-07T00:00:00+08:00,000333,1293888
2025-08-08T00:00:00+08:00,000333,-239628
