date,stockCode,股价
2025-04-16T00:00:00+08:00,000333,71
2025-04-17T00:00:00+08:00,000333,70.95
2025-04-18T00:00:00+08:00,000333,70.92
2025-04-21T00:00:00+08:00,000333,71.39
2025-04-22T00:00:00+08:00,000333,71.72
2025-04-23T00:00:00+08:00,000333,71.85
2025-04-24T00:00:00+08:00,000333,72.95
2025-04-25T00:00:00+08:00,000333,72.75
2025-04-28T00:00:00+08:00,000333,73.23
2025-04-29T00:00:00+08:00,000333,74.2
2025-04-30T00:00:00+08:00,000333,73.62
2025-05-06T00:00:00+08:00,000333,74.05
2025-05-07T00:00:00+08:00,000333,74.36
2025-05-08T00:00:00+08:00,000333,75
2025-05-09T00:00:00+08:00,000333,75.8
2025-05-12T00:00:00+08:00,000333,76.58
2025-05-13T00:00:00+08:00,000333,77.11
2025-05-14T00:00:00+08:00,000333,77.09
2025-05-15T00:00:00+08:00,000333,76.5
2025-05-16T00:00:00+08:00,000333,76.6
2025-05-19T00:00:00+08:00,000333,77.58
2025-05-20T00:00:00+08:00,000333,78.67
2025-05-21T00:00:00+08:00,000333,78.8
2025-05-22T00:00:00+08:00,000333,79.36
2025-05-23T00:00:00+08:00,000333,78.89
2025-05-26T00:00:00+08:00,000333,78.27
2025-05-27T00:00:00+08:00,000333,78.48
2025-05-28T00:00:00+08:00,000333,79.32
2025-05-29T00:00:00+08:00,000333,78.98
2025-05-30T00:00:00+08:00,000333,79.06
2025-06-03T00:00:00+08:00,000333,75.91
2025-06-04T00:00:00+08:00,000333,75.56
2025-06-05T00:00:00+08:00,000333,75.25
2025-06-06T00:00:00+08:00,000333,75.7
2025-06-09T00:00:00+08:00,000333,75.4
2025-06-10T00:00:00+08:00,000333,75.05
2025-06-11T00:00:00+08:00,000333,75.49
2025-06-12T00:00:00+08:00,000333,72.2
2025-06-13T00:00:00+08:00,000333,71.48
2025-06-16T00:00:00+08:00,000333,71.26
2025-06-17T00:00:00+08:00,000333,72.06
2025-06-18T00:00:00+08:00,000333,72.1
2025-06-19T00:00:00+08:00,000333,71.33
2025-06-20T00:00:00+08:00,000333,72.38
2025-06-23T00:00:00+08:00,000333,71.72
2025-06-24T00:00:00+08:00,000333,72.8
2025-06-25T00:00:00+08:00,000333,72.33
2025-06-26T00:00:00+08:00,000333,73.1
2025-06-27T00:00:00+08:00,000333,72.28
2025-06-30T00:00:00+08:00,000333,72.2
2025-07-01T00:00:00+08:00,000333,72.11
2025-07-02T00:00:00+08:00,000333,72.5
2025-07-03T00:00:00+08:00,000333,72.89
2025-07-04T00:00:00+08:00,000333,73.48
2025-07-07T00:00:00+08:00,000333,72.55
2025-07-08T00:00:00+08:00,000333,72.22
2025-07-09T00:00:00+08:00,000333,71.8
2025-07-10T00:00:00+08:00,000333,71.68
2025-07-11T00:00:00+08:00,000333,72.48
2025-07-14T00:00:00+08:00,000333,73.1
2025-07-15T00:00:00+08:00,000333,73.21
2025-07-16T00:00:00+08:00,000333,72.89
2025-07-17T00:00:00+08:00,000333,72.63
2025-07-18T00:00:00+08:00,000333,72.83
2025-07-21T00:00:00+08:00,000333,72.55
2025-07-22T00:00:00+08:00,000333,73.19
2025-07-23T00:00:00+08:00,000333,73.5
2025-07-24T00:00:00+08:00,000333,73.51
2025-07-25T00:00:00+08:00,000333,72.76
2025-07-28T00:00:00+08:00,000333,71.94
2025-07-29T00:00:00+08:00,000333,71.24
2025-07-30T00:00:00+08:00,000333,72.11
2025-07-31T00:00:00+08:00,000333,70.19
2025-08-01T00:00:00+08:00,000333,70.79
2025-08-04T00:00:00+08:00,000333,70.94
2025-08-05T00:00:00+08:00,000333,71.38
2025-08-06T00:00:00+08:00,000333,71.7
2025-08-07T00:00:00+08:00,000333,71.48
2025-08-08T00:00:00+08:00,000333,71.58
2025-08-11T00:00:00+08:00,000333,71.76
2025-08-12T00:00:00+08:00,000333,71.93
2025-08-13T00:00:00+08:00,000333,71.82
2025-08-14T00:00:00+08:00,000333,72.33
2025-08-15T00:00:00+08:00,000333,72.3
2025-08-18T00:00:00+08:00,000333,71.84
2025-08-19T00:00:00+08:00,000333,72.68
2025-08-20T00:00:00+08:00,000333,72.22
2025-08-21T00:00:00+08:00,000333,71.92
2025-08-22T00:00:00+08:00,000333,72.09
2025-08-25T00:00:00+08:00,000333,73.52
2025-08-26T00:00:00+08:00,000333,73.8
2025-08-27T00:00:00+08:00,000333,72.71
2025-08-28T00:00:00+08:00,000333,73.5
2025-08-29T00:00:00+08:00,000333,73.71
2025-09-01T00:00:00+08:00,000333,74.03
2025-09-02T00:00:00+08:00,000333,76.16
2025-09-03T00:00:00+08:00,000333,75.62
2025-09-04T00:00:00+08:00,000333,75.59
2025-09-05T00:00:00+08:00,000333,76.22
2025-09-08T00:00:00+08:00,000333,77.03
2025-09-09T00:00:00+08:00,000333,77.18
2025-09-10T00:00:00+08:00,000333,77.02
2025-09-11T00:00:00+08:00,000333,77.02
2025-09-12T00:00:00+08:00,000333,75.57
2025-09-15T00:00:00+08:00,000333,75.17
2025-09-16T00:00:00+08:00,000333,74.46
2025-09-17T00:00:00+08:00,000333,74.35
2025-09-18T00:00:00+08:00,000333,73.74
2025-09-19T00:00:00+08:00,000333,74.35
2025-09-22T00:00:00+08:00,000333,73.26
2025-09-23T00:00:00+08:00,000333,73.53
2025-09-24T00:00:00+08:00,000333,74.1
2025-09-25T00:00:00+08:00,000333,72.84
2025-09-26T00:00:00+08:00,000333,74.2
2025-09-29T00:00:00+08:00,000333,73.73
2025-09-30T00:00:00+08:00,000333,72.66
2025-10-09T00:00:00+08:00,000333,72.63
2025-10-10T00:00:00+08:00,000333,72.83
2025-10-13T00:00:00+08:00,000333,71.81
2025-10-14T00:00:00+08:00,000333,72.6
