date,stockCode,融券卖出金额
2025-04-16T00:00:00+08:00,000333,1249600
2025-04-17T00:00:00+08:00,000333,1986600
2025-04-18T00:00:00+08:00,000333,3177216
2025-04-21T00:00:00+08:00,000333,856680
2025-04-22T00:00:00+08:00,000333,2675156
2025-04-23T00:00:00+08:00,000333,2809335
2025-04-24T00:00:00+08:00,000333,2385465
2025-04-25T00:00:00+08:00,000333,6736650
2025-04-28T00:00:00+08:00,000333,3771345
2025-04-29T00:00:00+08:00,000333,972020
2025-04-30T00:00:00+08:00,000333,5175486
2025-05-06T00:00:00+08:00,000333,4272685
2025-05-07T00:00:00+08:00,000333,8164728
2025-05-08T00:00:00+08:00,000333,2887500
2025-05-09T00:00:00+08:00,000333,1773720
2025-05-12T00:00:00+08:00,000333,3208702
2025-05-13T00:00:00+08:00,000333,1434246
2025-05-14T00:00:00+08:00,000333,1680562
2025-05-15T00:00:00+08:00,000333,1897200
2025-05-16T00:00:00+08:00,000333,4274280
2025-05-19T00:00:00+08:00,000333,2854944
2025-05-20T00:00:00+08:00,000333,2635445
2025-05-21T00:00:00+08:00,000333,551600
2025-05-22T00:00:00+08:00,000333,3309312
2025-05-23T00:00:00+08:00,000333,4267949
2025-05-26T00:00:00+08:00,000333,4226580
2025-05-27T00:00:00+08:00,000333,4182984
2025-05-28T00:00:00+08:00,000333,5956932
2025-05-29T00:00:00+08:00,000333,1042536
2025-05-30T00:00:00+08:00,000333,2126714
2025-06-03T00:00:00+08:00,000333,1745930
2025-06-04T00:00:00+08:00,000333,2977064
2025-06-05T00:00:00+08:00,000333,1076075
2025-06-06T00:00:00+08:00,000333,2460250
2025-06-09T00:00:00+08:00,000333,1613560
2025-06-10T00:00:00+08:00,000333,3279685
2025-06-11T00:00:00+08:00,000333,4733223
2025-06-12T00:00:00+08:00,000333,4967360
2025-06-13T00:00:00+08:00,000333,786280
2025-06-16T00:00:00+08:00,000333,2273194
2025-06-17T00:00:00+08:00,000333,2269890
2025-06-18T00:00:00+08:00,000333,785890
2025-06-19T00:00:00+08:00,000333,1012886
2025-06-20T00:00:00+08:00,000333,3640714
2025-06-23T00:00:00+08:00,000333,4446640
2025-06-24T00:00:00+08:00,000333,2322320
2025-06-25T00:00:00+08:00,000333,585873
2025-06-26T00:00:00+08:00,000333,1352350
2025-06-27T00:00:00+08:00,000333,2298504
2025-06-30T00:00:00+08:00,000333,238260
2025-07-01T00:00:00+08:00,000333,656201
2025-07-02T00:00:00+08:00,000333,2523000
2025-07-03T00:00:00+08:00,000333,553964
2025-07-04T00:00:00+08:00,000333,918500
2025-07-07T00:00:00+08:00,000333,935895
2025-07-08T00:00:00+08:00,000333,2867134
2025-07-09T00:00:00+08:00,000333,646200
2025-07-10T00:00:00+08:00,000333,444416
2025-07-11T00:00:00+08:00,000333,790032
2025-07-14T00:00:00+08:00,000333,1535100
2025-07-15T00:00:00+08:00,000333,746742
2025-07-16T00:00:00+08:00,000333,2798976
2025-07-17T00:00:00+08:00,000333,2854359
2025-07-18T00:00:00+08:00,000333,109245
2025-07-21T00:00:00+08:00,000333,790795
2025-07-22T00:00:00+08:00,000333,1485757
2025-07-23T00:00:00+08:00,000333,147000
2025-07-24T00:00:00+08:00,000333,1117352
2025-07-25T00:00:00+08:00,000333,1877208
2025-07-28T00:00:00+08:00,000333,302148
2025-07-29T00:00:00+08:00,000333,406068
2025-07-30T00:00:00+08:00,000333,4571774
2025-07-31T00:00:00+08:00,000333,2253099
2025-08-01T00:00:00+08:00,000333,1097245
2025-08-04T00:00:00+08:00,000333,524956
2025-08-05T00:00:00+08:00,000333,970768
2025-08-06T00:00:00+08:00,000333,408690
2025-08-07T00:00:00+08:00,000333,1651188
2025-08-08T00:00:00+08:00,000333,529692
2025-08-11T00:00:00+08:00,000333,373152
2025-08-12T00:00:00+08:00,000333,748072
2025-08-13T00:00:00+08:00,000333,1335852
2025-08-14T00:00:00+08:00,000333,1584027
2025-08-15T00:00:00+08:00,000333,1482150
2025-08-18T00:00:00+08:00,000333,1760080
2025-08-19T00:00:00+08:00,000333,1039324
2025-08-20T00:00:00+08:00,000333,469430
2025-08-21T00:00:00+08:00,000333,654472
2025-08-22T00:00:00+08:00,000333,324405
2025-08-25T00:00:00+08:00,000333,588160
2025-08-26T00:00:00+08:00,000333,516600
2025-08-27T00:00:00+08:00,000333,2144945
2025-08-28T00:00:00+08:00,000333,2006550
2025-08-29T00:00:00+08:00,000333,1341522
2025-09-01T00:00:00+08:00,000333,2087646
2025-09-02T00:00:00+08:00,000333,6298432
2025-09-03T00:00:00+08:00,000333,1104052
2025-09-04T00:00:00+08:00,000333,3454463
2025-09-05T00:00:00+08:00,000333,1745438
2025-09-08T00:00:00+08:00,000333,1255589
2025-09-09T00:00:00+08:00,000333,1520446
2025-09-10T00:00:00+08:00,000333,1517294
2025-09-11T00:00:00+08:00,000333,1779162
2025-09-12T00:00:00+08:00,000333,1466058
2025-09-15T00:00:00+08:00,000333,1450781
2025-09-16T00:00:00+08:00,000333,163812
2025-09-17T00:00:00+08:00,000333,817850
2025-09-18T00:00:00+08:00,000333,2639892
2025-09-19T00:00:00+08:00,000333,1695180
2025-09-22T00:00:00+08:00,000333,915750
2025-09-23T00:00:00+08:00,000333,1345599
2025-09-24T00:00:00+08:00,000333,2045160
2025-09-25T00:00:00+08:00,000333,1216428
2025-09-26T00:00:00+08:00,000333,1921780
2025-09-29T00:00:00+08:00,000333,471872
2025-09-30T00:00:00+08:00,000333,1656648
2025-10-09T00:00:00+08:00,000333,1118502
2025-10-10T00:00:00+08:00,000333,1900863
2025-10-13T00:00:00+08:00,000333,244154
2025-10-14T00:00:00+08:00,000333,2562780
2025-10-15T00:00:00+08:00,000333,911500
2025-10-16T00:00:00+08:00,000333,1017202
2025-10-17T00:00:00+08:00,000333,3057600
2025-10-20T00:00:00+08:00,000333,684978
2025-10-21T00:00:00+08:00,000333,2449776
2025-10-22T00:00:00+08:00,000333,1603196
2025-10-23T00:00:00+08:00,000333,2486348
2025-10-24T00:00:00+08:00,000333,887859
2025-10-27T00:00:00+08:00,000333,2822976
2025-10-28T00:00:00+08:00,000333,119056
2025-10-29T00:00:00+08:00,000333,3526560
2025-10-30T00:00:00+08:00,000333,2883990
2025-10-31T00:00:00+08:00,000333,4637480
2025-11-03T00:00:00+08:00,000333,806673
2025-11-04T00:00:00+08:00,000333,2517860
2025-11-05T00:00:00+08:00,000333,1677894.3
2025-11-06T00:00:00+08:00,000333,5969825
2025-11-07T00:00:00+08:00,000333,182880
2025-11-10T00:00:00+08:00,000333,4864057
2025-11-11T00:00:00+08:00,000333,4363495
2025-11-12T00:00:00+08:00,000333,4181174
2025-11-13T00:00:00+08:00,000333,1305440
2025-11-14T00:00:00+08:00,000333,1259757
2025-11-17T00:00:00+08:00,000333,2564334
2025-11-18T00:00:00+08:00,000333,232200
2025-11-19T00:00:00+08:00,000333,2407140
2025-11-20T00:00:00+08:00,000333,1395126
2025-11-21T00:00:00+08:00,000333,6055875
2025-11-24T00:00:00+08:00,000333,1076272
2025-11-25T00:00:00+08:00,000333,3053560
2025-11-26T00:00:00+08:00,000333,5617920
2025-11-27T00:00:00+08:00,000333,1619940
2025-11-28T00:00:00+08:00,000333,3433980
2025-12-01T00:00:00+08:00,000333,1656000
2025-12-02T00:00:00+08:00,000333,6475864
2025-12-03T00:00:00+08:00,000333,1446192
2025-12-04T00:00:00+08:00,000333,3521270
2025-12-05T00:00:00+08:00,000333,1513032
