date,stockCode,人均自由流通市值
2025-04-16T00:00:00+08:00,000333,1330235
2025-04-17T00:00:00+08:00,000333,1329298
2025-04-18T00:00:00+08:00,000333,1328736
2025-04-21T00:00:00+08:00,000333,1337542
2025-04-22T00:00:00+08:00,000333,1343724
2025-04-23T00:00:00+08:00,000333,1346160
2025-04-24T00:00:00+08:00,000333,1366769
2025-04-25T00:00:00+08:00,000333,1363022
2025-04-28T00:00:00+08:00,000333,1372015
2025-04-29T00:00:00+08:00,000333,1390189
2025-04-30T00:00:00+08:00,000333,1379322
2025-05-06T00:00:00+08:00,000333,1387378
2025-05-07T00:00:00+08:00,000333,1393187
2025-05-08T00:00:00+08:00,000333,1405177
2025-05-09T00:00:00+08:00,000333,1420166
2025-05-12T00:00:00+08:00,000333,1434780
2025-05-13T00:00:00+08:00,000333,1444710
2025-05-14T00:00:00+08:00,000333,1444335
2025-05-15T00:00:00+08:00,000333,1433281
2025-05-16T00:00:00+08:00,000333,1435155
2025-05-19T00:00:00+08:00,000333,1453516
2025-05-20T00:00:00+08:00,000333,1473937
2025-05-21T00:00:00+08:00,000333,1476373
2025-05-22T00:00:00+08:00,000333,1486865
2025-05-23T00:00:00+08:00,000333,1478059
2025-05-26T00:00:00+08:00,000333,1466443
2025-05-27T00:00:00+08:00,000333,1470378
2025-05-28T00:00:00+08:00,000333,1486116
2025-05-29T00:00:00+08:00,000333,1479745
2025-05-30T00:00:00+08:00,000333,1481244
2025-06-03T00:00:00+08:00,000333,1422227
2025-06-04T00:00:00+08:00,000333,1415669
2025-06-05T00:00:00+08:00,000333,1409861
2025-06-06T00:00:00+08:00,000333,1418292
2025-06-09T00:00:00+08:00,000333,1412672
2025-06-10T00:00:00+08:00,000333,1406114
2025-06-11T00:00:00+08:00,000333,1414358
2025-06-12T00:00:00+08:00,000333,1352717
2025-06-13T00:00:00+08:00,000333,1339228
2025-06-16T00:00:00+08:00,000333,1335106
2025-06-17T00:00:00+08:00,000333,1350094
2025-06-18T00:00:00+08:00,000333,1350844
2025-06-19T00:00:00+08:00,000333,1336417
2025-06-20T00:00:00+08:00,000333,1356090
2025-06-23T00:00:00+08:00,000333,1343724
2025-06-24T00:00:00+08:00,000333,1363959
2025-06-25T00:00:00+08:00,000333,1355153
2025-06-26T00:00:00+08:00,000333,1369580
2025-06-27T00:00:00+08:00,000333,1354216
2025-06-30T00:00:00+08:00,000333,1229879
2025-07-01T00:00:00+08:00,000333,1228346
2025-07-02T00:00:00+08:00,000333,1234990
2025-07-03T00:00:00+08:00,000333,1241633
2025-07-04T00:00:00+08:00,000333,1251683
2025-07-07T00:00:00+08:00,000333,1235841
2025-07-08T00:00:00+08:00,000333,1230220
2025-07-09T00:00:00+08:00,000333,1223066
2025-07-10T00:00:00+08:00,000333,1221021
2025-07-11T00:00:00+08:00,000333,1234649
2025-07-14T00:00:00+08:00,000333,1245210
2025-07-15T00:00:00+08:00,000333,1247084
2025-07-16T00:00:00+08:00,000333,1241633
2025-07-17T00:00:00+08:00,000333,1237204
2025-07-18T00:00:00+08:00,000333,1240611
2025-07-21T00:00:00+08:00,000333,1235841
2025-07-22T00:00:00+08:00,000333,1246743
2025-07-23T00:00:00+08:00,000333,1252024
2025-07-24T00:00:00+08:00,000333,1252194
2025-07-25T00:00:00+08:00,000333,1239419
2025-07-28T00:00:00+08:00,000333,1225450
2025-07-29T00:00:00+08:00,000333,1213526
