date,stockCode,PS-TTM
2025-04-16T00:00:00+08:00,000333,1.3288
2025-04-17T00:00:00+08:00,000333,1.3278
2025-04-18T00:00:00+08:00,000333,1.3273
2025-04-21T00:00:00+08:00,000333,1.3361
2025-04-22T00:00:00+08:00,000333,1.3422
2025-04-23T00:00:00+08:00,000333,1.3447
2025-04-24T00:00:00+08:00,000333,1.3652
2025-04-25T00:00:00+08:00,000333,1.3615
2025-04-28T00:00:00+08:00,000333,1.3705
2025-04-29T00:00:00+08:00,000333,1.3886
2025-04-30T00:00:00+08:00,000333,1.3076
2025-05-06T00:00:00+08:00,000333,1.3153
2025-05-07T00:00:00+08:00,000333,1.3208
2025-05-08T00:00:00+08:00,000333,1.3322
2025-05-09T00:00:00+08:00,000333,1.3464
2025-05-12T00:00:00+08:00,000333,1.3602
2025-05-13T00:00:00+08:00,000333,1.3696
2025-05-14T00:00:00+08:00,000333,1.3693
2025-05-15T00:00:00+08:00,000333,1.3588
2025-05-16T00:00:00+08:00,000333,1.3606
2025-05-19T00:00:00+08:00,000333,1.378
2025-05-20T00:00:00+08:00,000333,1.3973
2025-05-21T00:00:00+08:00,000333,1.3996
2025-05-22T00:00:00+08:00,000333,1.4096
2025-05-23T00:00:00+08:00,000333,1.4012
2025-05-26T00:00:00+08:00,000333,1.3902
2025-05-27T00:00:00+08:00,000333,1.394
2025-05-28T00:00:00+08:00,000333,1.4089
2025-05-29T00:00:00+08:00,000333,1.4026
2025-05-30T00:00:00+08:00,000333,1.404
2025-06-03T00:00:00+08:00,000333,1.3481
2025-06-04T00:00:00+08:00,000333,1.3418
2025-06-05T00:00:00+08:00,000333,1.3363
2025-06-06T00:00:00+08:00,000333,1.3483
2025-06-09T00:00:00+08:00,000333,1.343
2025-06-10T00:00:00+08:00,000333,1.3367
2025-06-11T00:00:00+08:00,000333,1.3446
2025-06-12T00:00:00+08:00,000333,1.286
2025-06-13T00:00:00+08:00,000333,1.2732
2025-06-16T00:00:00+08:00,000333,1.2692
2025-06-17T00:00:00+08:00,000333,1.2835
2025-06-18T00:00:00+08:00,000333,1.2842
2025-06-19T00:00:00+08:00,000333,1.2705
2025-06-20T00:00:00+08:00,000333,1.2892
2025-06-23T00:00:00+08:00,000333,1.2774
2025-06-24T00:00:00+08:00,000333,1.2948
2025-06-25T00:00:00+08:00,000333,1.2864
2025-06-26T00:00:00+08:00,000333,1.3001
2025-06-27T00:00:00+08:00,000333,1.2855
2025-06-30T00:00:00+08:00,000333,1.2841
2025-07-01T00:00:00+08:00,000333,1.2825
2025-07-02T00:00:00+08:00,000333,1.2895
2025-07-03T00:00:00+08:00,000333,1.2964
2025-07-04T00:00:00+08:00,000333,1.3069
