date,stockCode,EV_EBITDA
2025-04-16T00:00:00+08:00,000333,6.9598
2025-04-17T00:00:00+08:00,000333,6.9521
2025-04-18T00:00:00+08:00,000333,6.9475
2025-04-21T00:00:00+08:00,000333,7.0198
2025-04-22T00:00:00+08:00,000333,7.0706
2025-04-23T00:00:00+08:00,000333,7.0906
2025-04-24T00:00:00+08:00,000333,7.2598
2025-04-25T00:00:00+08:00,000333,7.229
2025-04-28T00:00:00+08:00,000333,7.3029
2025-04-29T00:00:00+08:00,000333,7.4521
2025-04-30T00:00:00+08:00,000333,7.3628
2025-05-06T00:00:00+08:00,000333,7.429
2025-05-07T00:00:00+08:00,000333,7.4767
2025-05-08T00:00:00+08:00,000333,7.5751
2025-05-09T00:00:00+08:00,000333,7.6982
2025-05-12T00:00:00+08:00,000333,7.8182
2025-05-13T00:00:00+08:00,000333,7.8997
2025-05-14T00:00:00+08:00,000333,7.8967
2025-05-15T00:00:00+08:00,000333,7.8059
2025-05-16T00:00:00+08:00,000333,7.8213
2025-05-19T00:00:00+08:00,000333,7.9721
2025-05-20T00:00:00+08:00,000333,8.1397
2025-05-21T00:00:00+08:00,000333,8.1597
2025-05-22T00:00:00+08:00,000333,8.2459
2025-05-23T00:00:00+08:00,000333,8.1736
2025-05-26T00:00:00+08:00,000333,8.0782
2025-05-27T00:00:00+08:00,000333,8.1105
2025-05-28T00:00:00+08:00,000333,8.2397
2025-05-29T00:00:00+08:00,000333,8.1851
2025-05-30T00:00:00+08:00,000333,8.1974
2025-06-03T00:00:00+08:00,000333,7.7129
2025-06-04T00:00:00+08:00,000333,7.659
2025-06-05T00:00:00+08:00,000333,7.6113
2025-06-06T00:00:00+08:00,000333,7.7152
2025-06-09T00:00:00+08:00,000333,7.6689
2025-06-10T00:00:00+08:00,000333,7.6149
2025-06-11T00:00:00+08:00,000333,7.6828
2025-06-12T00:00:00+08:00,000333,7.1753
2025-06-13T00:00:00+08:00,000333,7.0642
2025-06-16T00:00:00+08:00,000333,7.0303
2025-06-17T00:00:00+08:00,000333,7.1537
2025-06-18T00:00:00+08:00,000333,7.1599
2025-06-19T00:00:00+08:00,000333,7.0411
2025-06-20T00:00:00+08:00,000333,7.2031
2025-06-23T00:00:00+08:00,000333,7.1012
2025-06-24T00:00:00+08:00,000333,7.2516
2025-06-25T00:00:00+08:00,000333,7.1792
2025-06-26T00:00:00+08:00,000333,7.2978
2025-06-27T00:00:00+08:00,000333,7.1715
2025-06-30T00:00:00+08:00,000333,7.1592
2025-07-01T00:00:00+08:00,000333,7.1453
2025-07-02T00:00:00+08:00,000333,7.2054
2025-07-03T00:00:00+08:00,000333,7.2655
2025-07-04T00:00:00+08:00,000333,7.3564
2025-07-07T00:00:00+08:00,000333,7.2131
2025-07-08T00:00:00+08:00,000333,7.1623
2025-07-09T00:00:00+08:00,000333,7.0976
2025-07-10T00:00:00+08:00,000333,7.0791
2025-07-11T00:00:00+08:00,000333,7.2023
2025-07-14T00:00:00+08:00,000333,7.2978
2025-07-15T00:00:00+08:00,000333,7.3148
2025-07-16T00:00:00+08:00,000333,7.2655
2025-07-17T00:00:00+08:00,000333,7.2254
2025-07-18T00:00:00+08:00,000333,7.2562
2025-07-21T00:00:00+08:00,000333,7.2202
2025-07-22T00:00:00+08:00,000333,7.3188
2025-07-23T00:00:00+08:00,000333,7.3666
2025-07-24T00:00:00+08:00,000333,7.3682
2025-07-25T00:00:00+08:00,000333,7.2526
2025-07-28T00:00:00+08:00,000333,7.1283
2025-07-29T00:00:00+08:00,000333,7.0204
2025-07-30T00:00:00+08:00,000333,7.1545
2025-07-31T00:00:00+08:00,000333,6.8585
2025-08-01T00:00:00+08:00,000333,6.951
2025-08-04T00:00:00+08:00,000333,6.9742
2025-08-05T00:00:00+08:00,000333,7.042
2025-08-06T00:00:00+08:00,000333,7.0913
2025-08-07T00:00:00+08:00,000333,7.0574
2025-08-08T00:00:00+08:00,000333,7.0728
2025-08-11T00:00:00+08:00,000333,7.1006
2025-08-12T00:00:00+08:00,000333,7.1268
2025-08-13T00:00:00+08:00,000333,7.1098
2025-08-14T00:00:00+08:00,000333,7.1885
2025-08-15T00:00:00+08:00,000333,7.1838
2025-08-18T00:00:00+08:00,000333,7.1129
2025-08-19T00:00:00+08:00,000333,7.2424
2025-08-20T00:00:00+08:00,000333,7.1715
2025-08-21T00:00:00+08:00,000333,7.1252
2025-08-22T00:00:00+08:00,000333,7.1515
2025-08-25T00:00:00+08:00,000333,7.3719
2025-08-26T00:00:00+08:00,000333,7.4151
2025-08-27T00:00:00+08:00,000333,7.247
2025-08-28T00:00:00+08:00,000333,7.3688
2025-08-29T00:00:00+08:00,000333,7.4012
2025-09-01T00:00:00+08:00,000333,7.4027
2025-09-02T00:00:00+08:00,000333,7.6975
2025-09-03T00:00:00+08:00,000333,7.6227
2025-09-04T00:00:00+08:00,000333,7.6186
2025-09-05T00:00:00+08:00,000333,7.7058
2025-09-08T00:00:00+08:00,000333,7.8178
2025-09-09T00:00:00+08:00,000333,7.8386
2025-09-10T00:00:00+08:00,000333,7.8165
2025-09-11T00:00:00+08:00,000333,7.8165
2025-09-12T00:00:00+08:00,000333,7.6158
2025-09-15T00:00:00+08:00,000333,7.5604
2025-09-16T00:00:00+08:00,000333,7.4622
2025-09-17T00:00:00+08:00,000333,7.447
2025-09-18T00:00:00+08:00,000333,7.3626
2025-09-19T00:00:00+08:00,000333,7.447
2025-09-22T00:00:00+08:00,000333,7.2961
2025-09-23T00:00:00+08:00,000333,7.3335
2025-09-24T00:00:00+08:00,000333,7.4124
2025-09-25T00:00:00+08:00,000333,7.238
2025-09-26T00:00:00+08:00,000333,7.4262
2025-09-29T00:00:00+08:00,000333,7.3612
2025-09-30T00:00:00+08:00,000333,7.2131
2025-10-09T00:00:00+08:00,000333,7.2089
2025-10-10T00:00:00+08:00,000333,7.2366
2025-10-13T00:00:00+08:00,000333,7.0955
2025-10-14T00:00:00+08:00,000333,7.2048
2025-10-15T00:00:00+08:00,000333,7.2491
2025-10-16T00:00:00+08:00,000333,7.2851
2025-10-17T00:00:00+08:00,000333,7.2325
2025-10-20T00:00:00+08:00,000333,7.2422
2025-10-21T00:00:00+08:00,000333,7.2477
2025-10-22T00:00:00+08:00,000333,7.3819
2025-10-23T00:00:00+08:00,000333,7.5217
2025-10-24T00:00:00+08:00,000333,7.4829
2025-10-27T00:00:00+08:00,000333,7.5203
2025-10-28T00:00:00+08:00,000333,7.4553
2025-10-29T00:00:00+08:00,000333,7.4539
2025-10-30T00:00:00+08:00,000333,7.5784
2025-10-31T00:00:00+08:00,000333,7.7307
2025-11-03T00:00:00+08:00,000333,7.5909
2025-11-04T00:00:00+08:00,000333,7.5591
2025-11-05T00:00:00+08:00,000333,7.667
2025-11-06T00:00:00+08:00,000333,7.8178
2025-11-07T00:00:00+08:00,000333,7.703
2025-11-10T00:00:00+08:00,000333,7.8594
2025-11-11T00:00:00+08:00,000333,7.8455
2025-11-12T00:00:00+08:00,000333,8.1763
2025-11-13T00:00:00+08:00,000333,8.1915
2025-11-14T00:00:00+08:00,000333,8.1403
2025-11-17T00:00:00+08:00,000333,8.028
2025-11-18T00:00:00+08:00,000333,7.8866
2025-11-19T00:00:00+08:00,000333,7.8866
2025-11-20T00:00:00+08:00,000333,7.9614
2025-11-21T00:00:00+08:00,000333,8.0737
2025-11-24T00:00:00+08:00,000333,8.0474
2025-11-25T00:00:00+08:00,000333,8.0668
2025-11-26T00:00:00+08:00,000333,8.2193
2025-11-27T00:00:00+08:00,000333,8.2193
2025-11-28T00:00:00+08:00,000333,8.2276
2025-12-01T00:00:00+08:00,000333,8.247
2025-12-02T00:00:00+08:00,000333,8.4632
2025-12-03T00:00:00+08:00,000333,8.5478
2025-12-04T00:00:00+08:00,000333,8.509
2025-12-05T00:00:00+08:00,000333,8.5561
2025-12-08T00:00:00+08:00,000333,8.4979
2025-12-09T00:00:00+08:00,000333,8.2831
2025-12-10T00:00:00+08:00,000333,8.2651
2025-12-11T00:00:00+08:00,000333,8.1583
2025-12-12T00:00:00+08:00,000333,8.1611
2025-12-15T00:00:00+08:00,000333,8.3123
2025-12-16T00:00:00+08:00,000333,8.2498
2025-12-17T00:00:00+08:00,000333,8.3206
2025-12-18T00:00:00+08:00,000333,8.2318
2025-12-19T00:00:00+08:00,000333,8.0457
2025-12-22T00:00:00+08:00,000333,8.006
2025-12-23T00:00:00+08:00,000333,8.0731
2025-12-24T00:00:00+08:00,000333,7.9566
2025-12-25T00:00:00+08:00,000333,7.9278
2025-12-26T00:00:00+08:00,000333,7.9662
2025-12-29T00:00:00+08:00,000333,7.9032
2025-12-30T00:00:00+08:00,000333,7.9635
2025-12-31T00:00:00+08:00,000333,7.8666
2026-01-05T00:00:00+08:00,000333,7.9392
2026-01-06T00:00:00+08:00,000333,7.9612
2026-01-07T00:00:00+08:00,000333,8.0338
2026-01-08T00:00:00+08:00,000333,7.9872
2026-01-09T00:00:00+08:00,000333,8.0886
2026-01-12T00:00:00+08:00,000333,7.931
2026-01-13T00:00:00+08:00,000333,7.5994
2026-01-14T00:00:00+08:00,000333,7.7296
2026-01-15T00:00:00+08:00,000333,7.7392
2026-01-16T00:00:00+08:00,000333,7.7515
2026-01-19T00:00:00+08:00,000333,7.794
2026-01-20T00:00:00+08:00,000333,7.9831
2026-01-21T00:00:00+08:00,000333,7.8159
2026-01-22T00:00:00+08:00,000333,7.7762
2026-01-23T00:00:00+08:00,000333,7.6789
2026-01-26T00:00:00+08:00,000333,7.62
2026-01-27T00:00:00+08:00,000333,7.5857
2026-01-28T00:00:00+08:00,000333,7.4816
2026-01-29T00:00:00+08:00,000333,7.8296
2026-01-30T00:00:00+08:00,000333,7.7899
2026-02-02T00:00:00+08:00,000333,7.8255
2026-02-03T00:00:00+08:00,000333,7.8337
2026-02-04T00:00:00+08:00,000333,8.0941
2026-02-05T00:00:00+08:00,000333,8.1818
2026-02-06T00:00:00+08:00,000333,8.0571
2026-02-09T00:00:00+08:00,000333,8.005
2026-02-10T00:00:00+08:00,000333,8.1462
2026-02-11T00:00:00+08:00,000333,8.0776
2026-02-12T00:00:00+08:00,000333,8.0927
