date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,195353624559.6,0.0069,4.2220,,,,,5.5769,,,,,5.9308,,,,,41.0200,,,,,41.2084,,,,
2026-07-02,185200109769.6,0.0073,4.0026,,,,,5.2870,,,,,5.6225,,,,,38.8880,,,,,39.0666,,,,
2026-07-01,184658588980.8,0.0073,3.9909,,,,,5.2715,,,,,5.6061,,,,,38.7743,,,,,38.9523,,,,
2026-06-30,179595369605.52,0.0075,3.8815,,,,,5.1270,,,,,5.4524,,,,,37.7111,,,,,37.8843,,,,
2026-06-29,176617005267.12,0.0077,3.8171,,,,,5.0420,,,,,5.3619,,,,,37.0857,,,,,37.2560,,,,
2026-06-26,171337177576.32,0.0079,3.7030,,,,,4.8912,,,,,5.2017,,,,,35.9770,,,,,36.1423,,,,
2026-06-25,180976247616.96,0.0075,3.9113,,,,,5.1664,,,,,5.4943,,,,,38.0010,,,,,38.1756,,,,
2026-06-24,179541217526.64,0.0075,3.8803,,,,,5.1255,,,,,5.4507,,,,,37.6997,,,,,37.8729,,,,
2026-06-23,180922095538.08,0.0075,3.9101,,,,,5.1649,,,,,5.4926,,,,,37.9897,,,,,38.1642,,,,
2026-06-22,186689291938.8,0.0072,4.0348,,,,,5.3295,,,,,5.6677,,,,,39.2007,,,,,39.3807,,,,
2026-06-18,192727248733.92,0.0070,4.1653,,,,,5.5019,,,,,5.8510,,,,,40.4685,,,,,40.6544,,,,
2026-06-17,188855375094.0,0.0072,4.0816,,,,,5.3913,,,,,5.7335,,,,,39.6555,,,,,39.8376,,,,
2026-06-16,190182101026.56,0.0071,4.1103,,,,,5.4292,,,,,5.7738,,,,,39.9341,,,,,40.1175,,,,
2026-06-15,187636953319.2,0.0072,4.0552,,,,,5.3566,,,,,5.6965,,,,,39.3996,,,,,39.5806,,,,
2026-06-12,181842680879.04,0.0074,3.9300,,,,,5.1912,,,,,5.5206,,,,,38.1830,,,,,38.3584,,,,
2026-06-11,187393268964.24,0.0072,4.0500,,,,,5.3496,,,,,5.6891,,,,,39.3485,,,,,39.5292,,,,
2026-06-10,189803036474.4,0.0071,4.1021,,,,,5.4184,,,,,5.7623,,,,,39.8545,,,,,40.0375,,,,
2026-06-09,201987254222.4,0.0067,4.3654,,,,,5.7662,,,,,6.1322,,,,,42.4129,,,,,42.6077,,,,
2026-06-08,201770645906.88,0.0067,4.3607,,,,,5.7600,,,,,6.1256,,,,,42.3674,,,,,42.5620,,,,
