date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,94051225,-0.6418,1.3422,3383368740
2025-12-31,6681025417,-0.0721,1.2916,3705079904
2025-09-30,3930659054,0.0192,1.3859,4401422555
2025-06-30,3020067332,0.6524,1.613,5803359585
2025-03-31,262550981,8.653,1.528,5122609883
2024-12-31,7200440164,1.1367,1.6566,5273934580
2024-09-30,3856715362,1.6622,1.1925,4249587517
2024-06-30,1827740235,1.4423,0.9205,2977578573
2024-03-31,27198894,-0.9014,0.644,1679138802
2023-12-31,3369915897,0.0528,0.7057,1864442128
2023-09-30,1448720282,-0.31,0.5588,1214822850
2023-06-30,748367345,5.1362,0.9344,2272167508
2023-03-31,275714201,4.5341,0.8159,1778981478
2022-12-31,3200830471,0.8125,0.7402,1542768397
2022-09-30,2099652107,2.3371,0.7729,1606429774
2022-06-30,-180932668,-1.4693,0.2975,222156426
2022-03-31,-78016309,-1.2821,0.3798,546447325
2021-12-31,1766024033,0.2035,0.4798,993196865
2021-09-30,629177327,0.0906,0.4728,869570483
2021-06-30,385499799,-0.2097,0.4532,896962020
2021-03-31,276592197,0.8382,0.5942,1175812156
2020-12-31,1467347717,0.078,0.6726,1109920166
2020-09-30,576932681,0.0271,0.7388,1045698981
2020-06-30,487784300,1.4533,1.1874,1347695229
2020-03-31,150465138,6.0009,1.4129,1246636202
2019-12-31,1361181323,1.8882,1.3475,1112383485
2019-09-30,561693380,2.023,0.7756,551440802
2019-06-30,198828821,2.5254,0.7144,520095526
2019-03-31,21492247,1.2275,0.5122,296384413
2018-12-31,471289818,-0.0415,0.3899,190802022
2018-09-30,185804020,-0.3892,0.3171,179867024
2018-06-30,-134894691,-1.5717,0.104,-81692737
2018-03-31,-94486215,-21.6972,0.3517,183216187
2017-12-31,491678218,0.1697,0.4505,331948159
2017-09-30,304205804,0.5694,0.5265,391399230
2017-06-30,235952321,13.468,0.6608,571881419
2017-03-31,4565160,-0.5436,0.4087,307347639
2016-12-31,420348137,-0.4757,0.4289,284045521
2016-09-30,193836438,-0.4941,0.6453,451100711
