日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=17.1400,=17.1400,=17.1400,=17.1400,=90830046204.06,=68554902204.0,=34587021021.3,,=11.6891,,,,
2026-07-02,=16.8500,=16.8500,=16.8500,=16.8500,=89293248456.15,=67394988456.0,=34001826383.25,,=11.4913,,,,
2026-07-01,=17.2500,=17.2500,=17.2500,=17.2500,=91412969487.75,=68994869488.0,=34808991401.25,,=11.7641,,,,
2026-06-30,=16.9500,=16.9500,=16.9500,=16.9500,=89823178714.05,=67794958714.0,=34203617637.75,,=11.5595,,,,
2026-06-29,=17.2000,=17.2000,=17.2000,=17.2000,=91148004358.8,=68794884359.0,=34708095774.0,,=11.7300,,,,
2026-06-26,=17.1700,=17.1700,=17.1700,=17.1700,=90989025281.43,=68674893281.0,=34647558397.65,,=11.7096,,,,
2026-06-25,=17.7500,=17.7500,=17.7500,=17.7500,=94062620777.25,=70994720777.0,=35817947673.75,,=12.1051,,,,
2026-06-24,=17.2600,=17.2600,=17.2600,=17.2600,=91465962513.54,=69034866514.0,=34829170526.7,,=11.7710,,,,
2026-06-23,=17.4400,=17.4400,=17.4400,=17.4400,=92419836977.76,=69754812978.0,=35192394784.8,,=11.8937,,,,
2026-06-22,=17.8600,=17.8600,=17.8600,=17.8600,=94645544060.94,=71434688061.0,=36039918053.7,,=12.1801,,,,
2026-06-18,=17.7600,=17.7600,=17.7600,=17.7600,=94115613803.04,=71034717803.0,=35838126799.2,,=12.1119,,,,
2026-06-17,=18.2400,=18.2400,=18.2400,=18.2400,=96659279040.96,=72954575041.0,=36806724820.8,,=12.4393,,,,
2026-06-16,=18.2300,=18.2300,=18.2300,=18.2300,=96606286015.17,=72914578015.0,=36786545695.35,,=12.4325,,,,
2026-06-15,=18.4400,=18.4400,=18.4400,=18.4400,=97719139556.76,=73754515557.0,=37210307329.8,,=12.5757,,,,
2026-06-12,=18.7100,=18.7100,=18.7100,=18.7100,=99149951253.09,=74834435253.0,=37755143716.95,,=12.7598,,,,
2026-06-11,=18.5700,=18.5700,=18.5700,=18.5700,=98408048892.03,=74274476892.0,=37472635960.65,,=12.6643,,,,
2026-06-10,=18.7800,=18.7800,=18.7800,=18.7800,=99520902433.62,=75114414434.0,=37896397595.1,,=12.8076,,,,
2026-06-09,=19.0000,=19.0000,=19.0000,=19.0000,=100686749001.0,=75994349001.0,=38340338355.0,,=12.9576,,,,
2026-06-08,=19.0900,=19.0900,=19.0900,=19.0900,=101163686233.11,=76354322233.0,=38521950484.05,,=13.0190,,,,
2026-06-05,=19.3500,=19.3500,=19.3500,=19.3500,=102541504903.65,=77394244904.0,=39046607745.75,,=13.1963,,,,
