日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=5.5600,=5.5600,=5.5600,=5.5600,=1791501009685.8398,=1171856262544.0,=122173262220.28,,=2.6650,,,,
2026-07-02,=5.5800,=5.5800,=5.5800,=5.5800,=1797945257922.12,=1176071572841.0,=122612734386.54,,=2.6746,,,,
2026-07-01,=5.6500,=5.6500,=5.6500,=5.6500,=1820500126749.1,=1190825158880.0,=124150886968.45,,=2.7082,,,,
2026-06-30,=5.7200,=5.7200,=5.7200,=5.7200,=1843054995576.08,=1205578744919.0,=125689039550.36,,=2.7417,,,,
2026-06-29,=5.8000,=5.8000,=5.8000,=5.8000,=1868831988521.2,=1222439986107.0,=127446928215.4,,=2.7801,,,,
2026-06-26,=5.7600,=5.7600,=5.7600,=5.7600,=1855943492048.64,=1214009365513.0,=126567983882.88,,=2.7609,,,,
2026-06-25,=5.7900,=5.7900,=5.7900,=5.7900,=1865609864403.06,=1220332330958.0,=127227192132.27,,=2.7753,,,,
2026-06-24,=6.0200,=6.0200,=6.0200,=6.0200,=1939718719120.28,=1268808399373.0,=132281122044.26,,=2.8855,,,,
2026-06-23,=6.1400,=6.1400,=6.1400,=6.1400,=1978384208537.96,=1294100261154.0,=134917955041.82,,=2.9430,,,,
2026-06-22,=5.9400,=5.9400,=5.9400,=5.9400,=1913941726175.16,=1251947158185.0,=130523233379.22,,=2.8472,,,,
2026-06-18,=5.7800,=5.7800,=5.7800,=5.7800,=1862387740284.92,=1218224675810.0,=127007456049.14,,=2.7705,,,,
2026-06-17,=5.9400,=5.9400,=5.9400,=5.9400,=1913941726175.16,=1251947158185.0,=130523233379.22,,=2.8472,,,,
2026-06-16,=6.0400,=6.0400,=6.0400,=6.0400,=1946162967356.56,=1273023709670.0,=132720594210.52,,=2.8951,,,,
2026-06-15,=6.1300,=6.1300,=6.1300,=6.1300,=1975162084419.82,=1291992606006.0,=134698218958.69,,=2.9382,,,,
2026-06-12,=6.2900,=6.2900,=6.2900,=6.2900,=2026716070310.06,=1325715088381.0,=138213996288.77,,=3.0149,,,,
2026-06-11,=6.2000,=6.2000,=6.2000,=6.2000,=1997716953246.8,=1306746192045.0,=136236371540.6,,=2.9718,,,,
2026-06-10,=6.2200,=6.2200,=6.2200,=6.2200,=2004161201483.08,=1310961502342.0,=136675843706.86,,=2.9814,,,,
2026-06-09,=6.1300,=6.1300,=6.1300,=6.1300,=1975162084419.82,=1291992606006.0,=134698218958.69,,=2.9382,,,,
2026-06-08,=6.1400,=6.1400,=6.1400,=6.1400,=1978384208537.96,=1294100261154.0,=134917955041.82,,=2.9430,,,,
2026-06-05,=6.0500,=6.0500,=6.0500,=6.0500,=1949385091474.7,=1275131364818.0,=132940330293.65,,=2.8999,,,,
2026-06-04,=5.9000,=5.9000,=5.9000,=5.9000,=1901053229702.6,=1243516537591.0,=129644289046.7,,=2.8280,,,,
2026-06-03,=5.9500,=5.9500,=5.9500,=5.9500,=1917163850293.3,=1254054813334.0,=130742969462.35,,=2.8520,,,,
2026-06-02,=5.9700,=5.9700,=5.9700,=5.9700,=1923608098529.58,=1258270123631.0,=131182441628.61,,=2.8615,,,,
2026-06-01,=5.9300,=5.9300,=5.9300,=5.9300,=1910719602057.02,=1249839503037.0,=130303497296.09,,=2.8424,,,,
2026-05-29,=5.8600,=5.8600,=5.8600,=5.8600,=1888164733230.04,=1235085916998.0,=128765344714.18,,=2.8088,,,,
2026-05-28,=5.8100,=5.8100,=5.8100,=5.8100,=1872054112639.34,=1224547641255.0,=127666664298.53,,=2.7849,,,,
2026-05-27,=5.8500,=5.8500,=5.8500,=5.8500,=1884942609111.9,=1232978261849.0,=128545608631.05,,=2.8040,,,,
2026-05-26,=5.9100,=5.9100,=5.9100,=5.9100,=1904275353820.74,=1245624192740.0,=129864025129.83,,=2.8328,,,,
2026-05-25,=5.9000,=5.9000,=5.9000,=5.9000,=1901053229702.6,=1243516537591.0,=129644289046.7,,=2.8280,,,,
2026-05-22,=5.8600,=5.8600,=5.8600,=5.8600,=1888164733230.04,=1235085916998.0,=128765344714.18,,=2.8088,,,,
2026-05-21,=5.8000,=5.8000,=5.8000,=5.8000,=1868831988521.2,=1222439986107.0,=127446928215.4,,=2.7801,,,,
2026-05-20,=5.7000,=5.7000,=5.7000,=5.7000,=1836610747339.8,=1201363434622.0,=125249567384.1,,=2.7321,,,,
2026-05-19,=5.8300,=5.8300,=5.8300,=5.8300,=1878498360875.62,=1228762951552.0,=128106136464.79,,=2.7944,,,,
