date,蜜雪集团 - 经营活动产生的现金流量净额对净利润的比率,古茗 - 经营活动产生的现金流量净额对净利润的比率,霸王集团 - 经营活动产生的现金流量净额对净利润的比率,非酒精饮料(恒生) - 经营活动产生的现金流量净额对净利润的比率,"""蜜雪集团-净现金流总额(单位: 元)""","""古茗-净现金流总额(单位: 元)""","""霸王集团-净现金流总额(单位: 元)"""
2025-06-30,1.2050,0.8240,3.7433,1.3407,4111707000,1384430000,-71077000
2024-12-31,1.3490,0.8844,4.7524,1.3882,-1287718000,-484086000,32658000
2024-09-30,1.4611,1.0078,,,357595000,-671735000,
2024-06-30,1.5013,0.8317,9.8860,1.2231,-372360000,-60322000,-6519000
