date,毛利率(GM),净资产收益率(ROE),总资产收益率(ROA),净利润率
2025-12-31,0.3114,0.2976,0.2344,0.1766
2025-06-30,0.3226,,,0.1821
2024-12-31,0.3246,0.3472,0.2591,0.1794
2024-09-30,0.3167,,,0.1793
2024-06-30,,,,
2023-12-31,0.2955,0.3526,0.2597,0.157
2023-09-30,,,,
2022-12-31,0.2834,0.3092,0.2332,0.1483
2021-12-31,0.3134,,,0.1847
