date,理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PEG,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-03-16,351.6000,351.6000,351.6000,351.6000,133473970080,23.6555,0.0510,39.7451,29.0581,26.8580,0,0.7392,5.7335,0.0392,11.7903,7.1180,6.5228,4.2749,0.0510,7.1018,5.2512,4.8536
2026-03-13,333.6000,333.6000,333.6000,333.6000,126640831680,22.4445,0.0315,39.7451,29.0648,26.8715,0,0.7014,5.4400,0.0315,11.7903,7.1424,6.5228,4.0560,0.0315,7.1018,5.2524,4.8561
2026-03-12,328.4000,328.4000,328.4000,328.4000,124666813920,22.0946,0.0198,39.7451,29.1119,26.8984,0,0.6905,5.3552,0.0198,11.7903,7.1555,6.5228,3.9928,0.0198,7.1018,5.2609,4.8561
2026-03-11,322,322,322,322,122237253600,21.6640,0.0040,39.8095,29.1590,26.8984,0,0.6770,5.2508,0.0040,11.8094,7.1685,6.5228,3.9150,0.0040,7.1133,5.2695,4.8561
2026-03-10,317.4000,317.4000,317.4000,317.4000,120491007120,21.3545,0,39.8095,29.2128,26.9118,0,0.6673,5.1758,0,11.8094,7.1832,6.5260,3.8591,0,7.1133,5.2792,4.8609
2026-03-09,324,324,324,324,122996491200,21.7986,0,39.8095,29.2666,26.9118,0,0.6812,5.2834,0,11.8094,7.1979,6.5260,3.9393,0,7.1133,5.2889,4.8634
2026-03-06,326.8000,326.8000,326.8000,326.8000,124059423840,21.9870,0,39.8095,29.2666,26.9118,0,0.6871,5.3291,0,11.8094,7.2109,6.5325,3.9734,0,7.1133,5.2889,4.8634
2026-03-05,328.2000,328.2000,328.2000,328.2000,124590890160,22.0812,0,39.8095,29.2666,26.9253,0,0.6900,5.3519,0,11.8094,7.2239,6.5325,3.9904,0,7.1133,5.2889,4.8634
2026-03-04,341.4000,341.4000,341.4000,341.4000,129601858320,22.9693,0.0081,39.8578,29.3675,26.9253,0,0.7178,5.5672,0.0081,11.8237,7.2321,6.5325,4.1509,0.0162,7.1219,5.3072,4.8634
2026-03-03,333.4000,333.4000,333.4000,333.4000,126564907920,22.4310,0.0041,39.8578,29.4685,26.9253,0,0.7010,5.4367,0.0041,11.8237,7.2403,6.5325,4.0536,0.0041,7.1219,5.3254,4.8658
2026-03-02,333,333,333,333,126413060400,22.4041,0,39.8578,29.5223,26.9522,0,0.7001,5.4302,0,11.8237,7.2419,6.5391,4.0488,0,7.1219,5.3351,4.8658
2026-02-27,357,357,357,357,135523911600,24.0188,0.0123,39.8578,29.5761,26.9522,0,0.7506,5.8216,0,11.8237,7.2435,6.5423,4.3406,0.0123,7.1219,5.3448,4.8707
2026-02-26,371,371,371,371,140838574800,24.9607,0.0165,39.8578,29.6367,26.9522,0,0.7800,6.0499,0.0041,11.8237,7.2435,6.5456,4.5108,0.0165,7.1219,5.3558,4.8707
2026-02-25,365.4000,365.4000,365.4000,365.4000,138712709520,24.5840,0.0124,39.9061,29.6972,26.9522,0,0.7682,5.9585,0,11.8380,7.2435,6.5456,4.4427,0.0124,7.1306,5.3667,4.8707
2026-02-24,372.6000,372.6000,372.6000,372.6000,141445964880,25.0684,0.0124,39.9061,29.7847,26.9791,0,0.7834,6.0760,0,11.8380,7.2598,6.5554,4.5302,0.0124,7.1306,5.3825,4.8707
2026-02-23,386.2000,386.2000,386.2000,386.2000,146608780560,25.9834,0.0333,39.9061,29.8721,26.9926,0,0.8120,6.2977,0.0208,11.8380,7.2761,6.5554,4.6956,0.0333,7.1306,5.3983,4.8755
2026-02-20,392.6000,392.6000,392.6000,392.6000,149038340880,26.4140,0.0753,39.9061,29.8789,27.0060,0,0.8254,6.4021,0.0628,11.8380,7.2794,6.5586,4.7734,0.0753,7.1306,5.3996,4.8780
2026-02-16,390,390,390,390,148051332000,26.2390,0.0588,39.9061,29.8856,27.0464,0,0.8200,6.3597,0.0462,11.8380,7.2827,6.5684,4.7418,0.0588,7.1306,5.4008,4.8804
