date,流动比率,负债合计,资产合计,资产负债率,长期负债合计,所有者权益合计
2025-12-31,3.832,6703568267.55,34262526856.25,0.1957,0,27558958588.7
2025-06-30,3.2301,6475982520,29899376332,0.2166,0,23423393812
2024-12-31,2.6337,5020491876.2,21031649618.2,0.2387,0,16011157742
2024-09-30,2.6827,5009113414.4,20616432697.6,0.243,0,15607319283.2
2024-06-30,,,,,0,
2023-12-31,2.4498,4401109580.8,16064597452.8,0.274,0,11663487872
2023-09-30,,,,,0,
2022-12-31,2.8034,2764485769,11148744076,0.248,0,8384258307
2021-12-31,2.9738,2168847344.4,8946473132.4,0.2424,0,6777625788
