date,理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PEG,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-03-16,351.6000,351.6000,351.6000,351.6000,133473970080,0,23.6555,0.0510,39.7451,29.0581,26.8580,4.2749,0.0510,7.1018,5.2512,4.8536,0.7392,5.7335,0.0392,11.7903,7.1180,6.5228
2026-03-13,333.6000,333.6000,333.6000,333.6000,126640831680,0,22.4445,0.0315,39.7451,29.0648,26.8715,4.0560,0.0315,7.1018,5.2524,4.8561,0.7014,5.4400,0.0315,11.7903,7.1424,6.5228
2026-03-12,328.4000,328.4000,328.4000,328.4000,124666813920,0,22.0946,0.0198,39.7451,29.1119,26.8984,3.9928,0.0198,7.1018,5.2609,4.8561,0.6905,5.3552,0.0198,11.7903,7.1555,6.5228
2026-03-11,322,322,322,322,122237253600,0,21.6640,0.0040,39.8095,29.1590,26.8984,3.9150,0.0040,7.1133,5.2695,4.8561,0.6770,5.2508,0.0040,11.8094,7.1685,6.5228
2026-03-10,317.4000,317.4000,317.4000,317.4000,120491007120,0,21.3545,0,39.8095,29.2128,26.9118,3.8591,0,7.1133,5.2792,4.8609,0.6673,5.1758,0,11.8094,7.1832,6.5260
2026-03-09,324,324,324,324,122996491200,0,21.7986,0,39.8095,29.2666,26.9118,3.9393,0,7.1133,5.2889,4.8634,0.6812,5.2834,0,11.8094,7.1979,6.5260
2026-03-06,326.8000,326.8000,326.8000,326.8000,124059423840,0,21.9870,0,39.8095,29.2666,26.9118,3.9734,0,7.1133,5.2889,4.8634,0.6871,5.3291,0,11.8094,7.2109,6.5325
2026-03-05,328.2000,328.2000,328.2000,328.2000,124590890160,0,22.0812,0,39.8095,29.2666,26.9253,3.9904,0,7.1133,5.2889,4.8634,0.6900,5.3519,0,11.8094,7.2239,6.5325
2026-03-04,341.4000,341.4000,341.4000,341.4000,129601858320,0,22.9693,0.0081,39.8578,29.3675,26.9253,4.1509,0.0162,7.1219,5.3072,4.8634,0.7178,5.5672,0.0081,11.8237,7.2321,6.5325
2026-03-03,333.4000,333.4000,333.4000,333.4000,126564907920,0,22.4310,0.0041,39.8578,29.4685,26.9253,4.0536,0.0041,7.1219,5.3254,4.8658,0.7010,5.4367,0.0041,11.8237,7.2403,6.5325
