日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=27.8200,=27.8200,=27.8200,=27.8200,=739753680784.04,=573141885155.0,=403898422629.52,,=2.0067,,,,
2026-07-02,=26.3000,=26.3000,=26.3000,=26.3000,=699335794558.6,=541827159582.0,=381830643966.8,,=1.8970,,,,
2026-07-01,=25.1100,=25.1100,=25.1100,=25.1100,=667692844158.42,=517311025745.0,=364553896197.96,,=1.8112,,,,
2026-06-30,=25.1400,=25.1400,=25.1400,=25.1400,=668490565597.08,=517929079540.0,=364989444461.04,,=1.8134,,,,
2026-06-29,=25.7900,=25.7900,=25.7900,=25.7900,=685774530101.38,=531320245081.0,=374426323494.44,,=1.8602,,,,
2026-06-26,=25.1000,=25.1000,=25.1000,=25.1000,=667426937012.2001,=517105007814.0,=364408713443.6001,,=1.8105,,,,
2026-06-25,=25.9200,=25.9200,=25.9200,=25.9200,=689231323002.24,=533998478189.0,=376313699301.12,,=1.8696,,,,
2026-06-24,=27.6500,=27.6500,=27.6500,=27.6500,=735233259298.2999,=569639580321.0,=401430315805.4,,=1.9944,,,,
2026-06-23,=27.7500,=27.7500,=27.7500,=27.7500,=737892330760.5,=571699759635.0,=402882143349.0,,=2.0016,,,,
2026-06-22,=30.4400,=30.4400,=30.4400,=30.4400,=809421353093.68,=627118583182.0,=441936304271.84,,=2.1956,,,,
2026-06-18,=29.6900,=29.6900,=29.6900,=29.6900,=789478317127.18,=611667238327.0,=431047597694.84,,=2.1415,,,,
2026-06-17,=30.4300,=30.4300,=30.4300,=30.4300,=809155445947.46,=626912565250.0,=441791121517.48,,=2.1949,,,,
2026-06-16,=30.2900,=30.2900,=30.2900,=30.2900,=805432745900.38,=624028314211.0,=439758562956.44,,=2.1848,,,,
2026-06-15,=31.3100,=31.3100,=31.3100,=31.3100,=832555274814.82,=645042143213.0,=454567203901.16,,=2.2584,,,,
2026-06-12,=29.0900,=29.0900,=29.0900,=29.0900,=773523888353.98,=599306162443.0,=422336632433.24,,=2.0983,,,,
2026-06-11,=27.3300,=27.3300,=27.3300,=27.3300,=726724230619.26,=563047006516.0,=396784467665.88,,=1.9713,,,,
2026-06-10,=27.7000,=27.7000,=27.7000,=27.7000,=736562795029.4,=570669669978.0,=402156229577.2,,=1.9980,,,,
2026-06-09,=28.4700,=28.4700,=28.4700,=28.4700,=757037645288.34,=586533050696.0,=413335301662.92,,=2.0535,,,,
2026-06-08,=28.0500,=28.0500,=28.0500,=28.0500,=745869545147.1,=577880297577.0,=407237625979.8,,=2.0233,,,,
2026-06-05,=29.6300,=29.6300,=29.6300,=29.6300,=787882874249.86,=610431130738.0,=430176501168.68,,=2.1372,,,,
