date,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),总资产收益率(ROA),净利润率
2026-03-31,0.1914,0.1324,0.298,0.0748,0.1682
2025-12-31,0.1982,0.1355,0.2981,0.076,0.1687
2025-09-30,0.2354,0.1518,0.2803,0.085,0.1816
2025-06-30,0.2529,0.1613,0.2838,0.084,0.1761
2025-03-31,0.247,0.1583,0.2898,0.0869,0.1726
2024-12-31,0.247,0.1631,0.2943,0.088,0.1703
2024-09-30,0.2387,0.1475,0.3135,0.0777,0.1496
2024-06-30,0.2527,0.1496,0.314,0.0747,0.1424
2024-03-31,0.2451,0.1424,0.3092,0.0744,0.1382
2023-12-31,0.2491,0.1534,0.3057,0.0767,0.1352
2023-09-30,0.2302,0.1392,0.2894,0.0677,0.127
2023-06-30,0.232,0.1411,0.2819,0.065,0.1264
2023-03-31,0.2245,0.1403,0.2674,0.065,0.1226
2022-12-31,0.2194,0.1525,0.2604,0.0682,0.121
2022-09-30,0.252,0.1718,0.2533,0.0767,0.1239
2022-06-30,0.24,0.1715,0.2465,0.0723,0.1249
2022-03-31,0.213,0.1629,0.2414,0.0718,0.1198
2021-12-31,0.2031,0.1695,0.2428,0.0763,0.1204
2021-09-30,0.2299,0.1966,0.2654,0.0863,0.1324
2021-06-30,0.2356,0.1983,0.2683,0.0853,0.1321
2021-03-31,0.2105,0.1743,0.268,0.0831,0.1319
2020-12-31,0.1946,0.1709,0.2614,0.0793,0.1307
2020-09-30,0.15,0.1309,0.2207,0.0579,0.0957
2020-06-30,0.1668,0.1454,0.2298,0.0616,0.1009
2020-03-31,0.1974,0.1726,0.2574,0.0769,0.1148
2019-12-31,0.2425,0.2121,0.2758,0.093,0.1238
2019-09-30,0.2873,0.2432,0.3023,0.1014,0.1324
2019-06-30,0.3146,,0.307,0.1088,0.1323
2019-03-31,0.3168,,0.3018,0.1099,0.1317
2018-12-31,0.3307,0.2705,0.3023,0.1132,0.1319
2018-09-30,0.3818,,0.3158,0.1205,0.1501
2018-06-30,0.3888,,0.3172,0.1222,0.1505
2018-03-31,0.3672,,0.3207,0.1155,0.1505
2017-12-31,0.3697,,0.3286,0.1133,0.15
2017-09-30,0.3572,,0.3077,0.0982,0.1428
2017-06-30,0.3733,,0.3114,0.0987,0.1429
2017-03-31,0.296,,0.3302,0.0883,0.1424
2016-12-31,0.3,,0.327,0.0902,0.141
2016-09-30,0.2872,,0.3412,0.079,0.1381
