date,有息负债率,流动负债合计,负债合计,应收账款,流动比率,速动比率,资产合计,流动资产合计,长期负债合计,所有者权益合计,货币资金,资产负债率
2026-03-31,0.1936,12335349636,225739949643,17756039770,1.1179,0.9912,381613603248,369333112,2179194816,155873653605,211845165124.62,0.5915
2025-12-31,0.2189,15206576385,241580719145,15987180599,1.0837,0.955,391371999819,399828955,3134980572,149791280675,225288538903.02,0.6173
2025-09-30,0.2258,13711485538,250709982981,15019829520,1.0807,0.9642,399221931502,416300837,2956935809,148511948520,222487836032.52,0.628
2025-06-30,0.2091,12404026186,261597726966,19722186150,1.0461,0.9405,401189411938,450182963,2970158371,139591684972,251615145885.72,0.6521
2025-03-31,0.2135,18248039165,247276037775,18814278248,1.113,0.981,394568798090,540364224,5837481138,147292760314,255368087732.19,0.6267
2024-12-31,0.2011,12491059929,226518009575,16831887388,1.1177,0.9684,368031704523,592399552,18229817922,141513694948,254583890928.45,0.6155
2024-09-30,0.2392,10875961371,241157978879,18588334820,1.0568,0.9218,370710990552,710054958,22423449415,129553011673,269969591223.54,0.6505
2024-06-30,0.2293,14106105367,263164921392,20964903715,1.0267,0.8785,384555509297,791757741,28115781089,121390587905,220863733162.02,0.6843
2024-03-31,0.2465,20490542776,255446965797,17568297269,1.1254,0.9414,380813847724,823219915,39271278175,125366881927,221370559678.71,0.6708
2023-12-31,0.2367,13588771211,247407749160,16099477118,1.1351,0.9565,368053902576,838812134,39035742535,120646153416,181162322687.97,0.6722
2023-09-30,0.2394,23702287306,269040538307,16666042952,1.2392,1.0665,385937436431,1007972394,41277005858,116896898125,204420028398.3,0.6971
2023-06-30,0.2544,28972201651,288446624375,18579527200,1.2221,1.0459,398564974815,1017100314,44594210062,110118350440,205602623603.91,0.7237
2023-03-31,0.2794,23984211814,277761647135,17367184069,1.25,1.0514,384610524158,1127209465,48947930269,106848877022,206954160981.75,0.7222
2022-12-31,0.238,14972336715,253148710865,14824742623,1.1792,0.9864,355024758879,1047739818,30784241211,101876048014,182007033549.12,0.713
2022-09-30,0.2427,17153415955,253678550763,13693471263,1.1744,0.9683,354794419587,1251514604,25663952596,101115868824,182626488180.63,0.715
2022-06-30,0.2012,16122199709,255370864859,16626326266,1.0942,0.8851,356723062260,1249864755,17136194565,101352197400,199435896028.8,0.7159
2022-03-31,0.1621,18810895962,232700886341,14817031839,1.1194,0.9063,333688998480,1066835444,9621959255,100988112140,191037349992,0.6974
2021-12-31,0.1222,15505499179,211672732614,13840898803,1.1459,0.8997,319598183780,1151228473,8960864258,107925451167,219012788551.2,0.6623
2021-09-30,0.1063,11760983101,192059395589,10209604405,1.1804,0.9304,286085295349,362086091,8841326526,94025899760,233109571522.5,0.6713
2021-06-30,0.0977,9757581287,211855028650,11117121648,1.116,0.9255,311890823614,139383971,6066757980,100035794964,313419578743.8,0.6793
2021-03-31,0.1142,18328181018,191551539072,11191729899,1.3121,1.1126,306181004587,84146017,5024357048,114629465516,377186326050.6,0.6256
2020-12-31,0.0831,11678180425,162337436540,8738230905,1.348,1.1519,279217923628,78545526,1860713816,116880487088,372614370583.32,0.5814
2020-09-30,0.0768,5349668087,157881976932,13056612782,1.3319,1.1785,274221770061,101323868,1579313620,116339793129,320638455797.4,0.5757
2020-06-30,0.0841,6302086480,167543374813,10547952005,1.2613,1.0878,282701982872,83492786,1233576701,115158608059,340309895881.6,0.5927
2020-03-31,0.0831,6687056196,160334499300,9566741498,1.2733,1.0854,275192787344,93016464,95489455,114858288044,314021151936,0.5826
2019-12-31,0.0686,0,170924500892,8513334545,1.2583,1.1021,282972157415,0,46885883,112047656523,394511631110.4,0.604
2019-09-30,0.0814,0,189468189004,8326063906,1.258,1.1336,291836468127,0,17654816,102368279124,344701379424,0.6492
2019-06-30,0.0751,0,189176319506,10970372213,1.2163,1.0904,283152059224,0,0,93975739718,330865198400,0.6681
2019-03-31,0.0794,0,168491284001,11140497009,1.259,1.107,263394762340,0,0,94903478339,284002654844.8,0.6397
2018-12-31,0.0901,0,158519445549,7699658990,1.2665,1.1259,251234157277,0,0,92714711727,214701435107.2,0.631
2018-09-30,0.108,0,159473767426,6602739787,1.2444,1.1339,247522819969,0,0,88049052542,241832381376,0.6443
2018-06-30,0.0978,0,139423146910,9636871209,1.2366,1.1079,219066763652,0,0,79643616742,283641710992,0.6364
2018-03-31,0.0999,0,146178465993,8550333342,1.1789,1.0439,218364653041,0,0,72186187048,282137778272,0.6694
2017-12-31,0.0908,0,148133201565,5814491641,1.163,1.0255,214967999328,0,0,66834797763,262887439456,0.6891
2017-09-30,0.0958,0,160983359222,4813254632,1.0885,0.976,220723782752,0,0,59740423530,227996200352,0.7293
2017-06-30,0.1087,0,151024574334,7520506374,1.0545,0.9424,204578125947,0,0,53553551613,247667640329.6,0.7382
2017-03-31,0.0837,0,139817231889,6105301579,1.1106,0.9859,198764381598,0,0,58947149709,190698668896,0.7034
2016-12-31,0.0617,0,127446102259,2960534651,1.1264,1.0409,182369705049,0,0,54923602791,148107294265.6,0.6988
2016-09-30,0.061,0,130843775525,3523258092,1.0691,0.9975,181707468589,0,0,50863693064,133669540153.6,0.7201
