date,metric,value
2026-03-31,流动比率,1.1179
2026-03-31,应收账款,17756039770
2026-03-31,资产负债率,0.5915
2026-03-31,长期负债合计,2179194816
2026-03-31,资产合计,381613603248
2026-03-31,自由现金流量,42422653060
2026-03-31,归属于母公司普通股股东的净利润,6082159344
2026-03-31,毛利率(GM),0.298
2026-03-31,所有者权益合计,155873653605
2026-03-31,流动资产合计,369333112
2026-03-31,资本回报率(ROIC),0.1324
2026-03-31,速动比率,0.9912
2026-03-31,有息负债率,0.1936
2026-03-31,营业收入,42966121178
2026-03-31,净资产收益率(ROE),0.1914
2026-03-31,货币资金,211845165124.62
2026-03-31,流动负债合计,12335349636
2026-03-31,总资产收益率(ROA),0.0748
2026-03-31,经营活动产生的现金流量净额,7798541802
2026-03-31,基本每股收益,1.09
2026-03-31,净利润率,0.1682
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.488
2026-03-31,负债合计,225739949643
