date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率
2026-06-02,221367554884.32,1.2828,0.4562,1.8646,1.3222,1.0872,7.5861,0.1847,13.8051,9.1003,7.6514,1.4561,0.0038,3.6221,2.5535,1.9004,0.0757
2026-06-01,218958950415.69,1.2689,0.4324,1.8646,1.3225,1.0872,7.5035,0.1668,13.8051,9.1030,7.6517,1.4403,0.0026,3.6221,2.5538,1.9006,0.0765
2026-05-29,219407062874.97,1.2715,0.4395,1.8654,1.3227,1.0868,7.5189,0.1707,13.8092,9.1056,7.6517,1.4432,0.0026,3.6234,2.5543,1.9006,0.0764
2026-05-28,212181249469.08,1.2296,0.3733,1.8654,1.3229,1.0868,7.2713,0.1246,13.8092,9.1082,7.6526,1.3957,0.0000,3.6234,2.5547,1.9008,0.0790
2026-05-27,216270275660.01,1.2533,0.4073,1.8654,1.3233,1.0868,7.4114,0.1473,13.8092,9.1111,7.6544,1.4226,0.0000,3.6234,2.5556,1.9010,0.0775
2026-05-26,217782655210.08,1.2621,0.4220,1.8654,1.3237,1.0868,7.4632,0.1568,13.8092,9.1140,7.6571,1.4326,0.0013,3.6234,2.5564,1.9016,0.0769
2026-05-25,216382303774.83,1.2540,0.4102,1.8654,1.3240,1.0868,7.4152,0.1479,13.8092,9.1175,7.6581,1.4233,0.0000,3.6234,2.5568,1.9019,0.0774
2026-05-22,216998458406.34,1.2575,0.4142,1.8661,1.3243,1.0863,7.4363,0.1509,13.8092,9.1210,7.6581,1.4274,0.0000,3.6270,2.5571,1.9019,0.0772
2026-05-21,217670627095.26,1.2614,0.4213,1.8661,1.3243,1.0863,7.4594,0.1553,13.8092,9.1212,7.6581,1.4318,0.0000,3.6270,2.5572,1.9022,0.0770
2026-05-20,221311540826.91,1.2825,0.4536,1.8661,1.3243,1.0863,7.5841,0.1811,13.8092,9.1214,7.6609,1.4558,0.0000,3.6270,2.5573,1.9024,0.0757
2026-05-19,221591611113.96,1.2841,0.4547,1.8661,1.3248,1.0863,7.5937,0.1829,13.8092,9.1267,7.6623,1.4576,0.0000,3.6270,2.5585,1.9025,0.0756
2026-05-18,222431821975.11,1.2890,0.4626,1.8661,1.3253,1.0863,7.6225,0.1877,13.8092,9.1320,7.6627,1.4631,0.0000,3.6270,2.5596,1.9027,0.0753
2026-05-15,225624623247.48,1.3075,0.4873,1.8663,1.3256,1.0860,7.7320,0.2213,13.8100,9.1323,7.6627,1.4841,0.0021,3.6273,2.5602,1.9027,0.0743
2026-05-14,225288538903.02,1.3056,0.4850,1.8663,1.3260,1.0860,7.7204,0.2175,13.8100,9.1327,7.6627,1.4819,0.0017,3.6273,2.5608,1.9029,0.0744
2026-05-13,225736651362.3,1.3082,0.4873,1.8663,1.3262,1.0860,7.7358,0.2219,13.8100,9.1365,7.6627,1.4849,0.0017,3.6273,2.5608,1.9031,0.0742
2026-05-12,225960707591.9401,1.3095,0.4888,1.8663,1.3265,1.0860,7.7435,0.2242,13.8100,9.1404,7.6627,1.4863,0.0017,3.6273,2.5609,1.9032,0.0742
2026-05-11,226632876280.86,1.3134,0.4916,1.8663,1.3265,1.0860,7.7665,0.2303,13.8100,9.1457,7.6627,1.4908,0.0043,3.6273,2.5621,1.9034,0.0739
2026-05-08,223552103123.31,1.2955,0.4737,1.8670,1.3265,1.0857,7.6609,0.1994,13.8206,9.1510,7.6623,1.4705,0.0004,3.6288,2.5633,1.9034,0.0750
2026-05-07,223440075008.49,1.2949,0.4731,1.8670,1.3265,1.0857,7.6571,0.1982,13.8206,9.1521,7.6627,1.4698,0.0000,3.6288,2.5634,1.9042,0.0750
2026-05-06,223776159352.95,1.2968,0.4746,1.8670,1.3265,1.0857,7.6686,0.2013,13.8206,9.1532,7.6637,1.4720,0.0000,3.6288,2.5635,1.9042,0.0749
2026-04-30,224336299927.05,1.3001,0.4782,1.8670,1.3266,1.0857,7.6878,0.2083,13.8206,9.1593,7.6637,1.4757,0.0000,3.6288,2.5639,1.9045,0.0747
2026-04-29,226688890338.27,1.3137,0.4914,1.8670,1.3266,1.0857,7.7684,0.2299,13.8206,9.1653,7.6637,1.4911,0.0030,3.6288,2.5643,1.9045,0.0739
2026-04-28,215318036684.04,1.1944,0.3259,1.8676,1.3276,1.0857,6.7956,0.0246,13.8317,9.1654,7.6627,1.5508,0.0203,3.6310,2.5673,1.9045,0.0778
2026-04-27,210108729344.91,1.1655,0.2915,1.8676,1.3286,1.0857,6.6312,0.0138,13.8317,9.1654,7.6637,1.5133,0.0095,3.6310,2.5703,1.9049,0.0797
2026-04-24,207868167048.51,1.1531,0.2730,1.8676,1.3287,1.0857,6.5605,0.0056,13.8317,9.1678,7.6659,1.4972,0.0039,3.6310,2.5711,1.9051,0.0806
2026-04-23,207027956187.36,1.1484,0.2684,1.8676,1.3289,1.0857,6.5339,0.0043,13.8317,9.1703,7.6661,1.4911,0.0026,3.6310,2.5719,1.9053,0.0809
2026-04-22,206915928072.54,1.1478,0.2655,1.8676,1.3295,1.0857,6.5304,0.0026,13.8317,9.1704,7.6698,1.4903,0.0009,3.6310,2.5722,1.9055,0.0810
2026-04-21,206747885900.31,1.1468,0.2643,1.8680,1.3301,1.0857,6.5251,0.0022,13.8397,9.1704,7.6698,1.4891,0.0004,3.6322,2.5725,1.9055,0.0810
2026-04-20,206915928072.54,1.1478,0.2653,1.8680,1.3304,1.0857,6.5304,0.0022,13.8397,9.1718,7.6714,1.4903,0.0004,3.6322,2.5725,1.9063,0.0810
2026-04-17,206971942129.95,1.1481,0.2662,1.8680,1.3306,1.0857,6.5322,0.0026,13.8397,9.1731,7.6732,1.4907,0.0009,3.6322,2.5726,1.9063,0.0810
2026-04-16,209044462254.12,1.1596,0.2802,1.8680,1.3307,1.0857,6.5976,0.0056,13.8397,9.1787,7.6733,1.5057,0.0030,3.6322,2.5767,1.9063,0.0802
2026-04-15,209436560655.99,1.1618,0.2834,1.8680,1.3309,1.0857,6.6100,0.0082,13.8397,9.1844,7.6733,1.5085,0.0048,3.6322,2.5808,1.9069,0.0800
2026-04-14,208820406024.48,1.1583,0.2796,1.8698,1.3312,1.0857,6.5905,0.0043,13.8417,9.1854,7.6733,1.5040,0.0026,3.6343,2.5810,1.9069,0.0802
2026-04-13,208148237335.56,1.1546,0.2749,1.8698,1.3314,1.0857,6.5693,0.0035,13.8417,9.1864,7.6750,1.4992,0.0017,3.6343,2.5812,1.9075,0.0805
2026-04-10,209156490368.94,1.1602,0.2811,1.8698,1.3314,1.0857,6.6011,0.0065,13.8417,9.1973,7.6753,1.5065,0.0035,3.6343,2.5816,1.9077,0.0801
2026-04-09,209044462254.12,1.1596,0.2799,1.8698,1.3314,1.0857,6.5976,0.0048,13.8417,9.2082,7.6771,1.5057,0.0022,3.6343,2.5820,1.9077,0.0802
2026-04-08,211733137009.8,1.1745,0.2979,1.8698,1.3320,1.0857,6.6824,0.0104,13.8417,9.2113,7.6804,1.5250,0.0061,3.6343,2.5828,1.9080,0.0791
2026-04-07,209100476311.53,1.1599,0.2802,1.8703,1.3326,1.0852,6.5994,0.0052,13.8442,9.2144,7.6804,1.5061,0.0022,3.6343,2.5836,1.9080,0.0801
2026-04-03,209884673115.27,1.1642,0.2868,1.8703,1.3326,1.0852,6.6241,0.0070,13.8442,9.2145,7.6804,1.5117,0.0035,3.6343,2.5836,1.9081,0.0798
2026-04-02,212013207296.85,1.1761,0.2987,1.8703,1.3326,1.0852,6.6913,0.0104,13.8442,9.2146,7.6804,1.5270,0.0061,3.6343,2.5837,1.9082,0.0790
2026-04-01,212965446272.82,1.1813,0.3040,1.8703,1.3327,1.0852,6.7213,0.0122,13.8442,9.2158,7.6806,1.5339,0.0078,3.6343,2.5839,1.9092,0.0787
