date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,58269295462.32,57.3793,,,,,1.2391,,,,,0.0380,3.5681,,,,,61.6488,,,,,1.2431,,,,
2026-07-02,57862555292.34,56.9788,,,,,1.2304,,,,,0.0383,3.5432,,,,,61.2185,,,,,1.2344,,,,
2026-07-01,58163844307.14,57.2755,,,,,1.2368,,,,,0.0381,3.5616,,,,,61.5372,,,,,1.2408,,,,
2026-06-30,57470879573.1,56.5931,,,,,1.2221,,,,,0.0385,3.5192,,,,,60.8041,,,,,1.2260,,,,
2026-06-29,60348189664.44,59.4265,,,,,1.2256,,,,,0.0367,3.6954,,,,,63.8483,,,,,1.2293,,,,
2026-06-26,59082775802.28,58.1804,,,,,1.1999,,,,,0.0375,3.6179,,,,,62.5095,,,,,1.2036,,,,
2026-06-25,60513898622.58,59.5896,,,,,1.2289,,,,,0.0366,3.7056,,,,,64.0236,,,,,1.2327,,,,
2026-06-24,60227674058.52,59.3078,,,,,1.2231,,,,,0.0368,3.6880,,,,,63.7208,,,,,1.2269,,,,
2026-06-23,61282185610.32,60.3462,,,,,1.2445,,,,,0.0361,3.7526,,,,,64.8364,,,,,1.2484,,,,
2026-06-22,62140859302.5,61.1917,,,,,1.2620,,,,,0.0356,3.8052,,,,,65.7449,,,,,1.2658,,,,
2026-06-18,61809441386.22,60.8654,,,,,1.2552,,,,,0.0358,3.7849,,,,,65.3943,,,,,1.2591,,,,
2026-06-17,63391208713.92,62.4230,,,,,1.2874,,,,,0.0349,3.8817,,,,,67.0678,,,,,1.2913,,,,
2026-06-16,64475849167.2,63.4911,,,,,1.3094,,,,,0.0343,3.9482,,,,,68.2153,,,,,1.3134,,,,
2026-06-15,64912718238.66,63.9213,,,,,1.3183,,,,,0.0341,3.9749,,,,,68.6775,,,,,1.3223,,,,
2026-06-12,64777138182.0,63.7878,,,,,1.3155,,,,,0.0342,3.9666,,,,,68.5341,,,,,1.3196,,,,
2026-06-11,65319458408.64,64.3218,,,,,1.3265,,,,,0.0339,3.9998,,,,,69.1079,,,,,1.3306,,,,
2026-06-10,65138684999.76,64.1438,,,,,1.3228,,,,,0.0340,3.9888,,,,,68.9166,,,,,1.3269,,,,
2026-06-09,63240564206.52,62.2747,,,,,1.2843,,,,,0.0350,3.8725,,,,,66.9084,,,,,1.2882,,,,
2026-06-08,63647304376.5,62.6752,,,,,1.2926,,,,,0.0348,3.8974,,,,,67.3387,,,,,1.2965,,,,
