date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,8185736912,-0.2603,1.6241,2446551121
2025-12-31,19211057613,-0.3347,1.4644,2206058927
2025-09-30,18090155655,-0.3426,2.6387,3975002897
2025-06-30,14795651340,-0.3532,2.8834,4343649032
2025-03-31,11066201908,-0.3192,2.4144,3637099589
2024-12-31,28876296994,-0.1283,4.4299,6673388602
2024-09-30,27516482442,-0.0914,5.6947,8578711548
2024-06-30,22875748894,0.0458,5.2755,7947245427
2024-03-31,16254884718,0.0803,4.0195,6055230532
2023-12-31,33126277552,0.1004,6.6487,10015930040
2023-09-30,30283094805,0.1435,6.7732,10203469152
2023-06-30,21872929852,0.1568,5.2192,7862381306
2023-03-31,15046180975,0.1551,3.8276,5766047983
2022-12-31,30104896187,0.1876,6.2251,9377832429
2022-09-30,26482625129,0.2069,6.022,9071843201
2022-06-30,18907998842,0.2165,4.5759,6893372221
2022-03-31,13026004653,0.2382,3.3093,4985243733
2021-12-31,25350178204,0.2014,5.0141,7507682797
2021-09-30,21942196247,0.1601,4.8169,7212523605
2021-06-30,15543264906,0.1575,3.781,5661445812
2021-03-31,10520001017,0.1351,2.5796,3862525752
2020-12-31,21101051132,-0.0876,4.9843,7482228634
2020-09-30,18913631469,-0.1035,4.7826,7185703291
2020-06-30,13428505839,-0.1606,3.5912,5400864286
2020-03-31,9268167143,-0.1489,2.6564,4002168547
2019-12-31,23126476885,-0.0428,4.8991,7382822727
2019-09-30,21097732293,0.0063,4.7421,7146332278
2019-06-30,15998582863,0.1001,3.7039,5581705664
2019-03-31,10889633584,0.1418,2.6681,4020764958
2018-12-31,24159801995,0.213,5.385,8115189795
2018-09-30,20965660631,0.2422,4.67,7038754910
2018-06-30,14542579776,0.2612,3.32,5004991771
2018-03-31,9537587047,0.2568,2.31,3475147604
2017-12-31,19917942238,0.1592,4.4,6627169959
2017-09-30,16878326032,0.1508,3.7,5581662088
2017-06-30,11530491074,0.1312,2.59,3908260475
2017-03-31,7588577706,0.109,1.82,2742957007
2016-12-31,17183109620,0.0704,3.87,5827168871
2016-09-30,14667079391,0.0736,3.21,4839158418
