date,市值(元),股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-01,125213907621.96,0.0094,1.4194,,,,,59.5653,,,,,4.5172,,,,,1.3956,,,,,54.2675,,,,
2026-05-29,119210501092.14,0.0098,1.3513,,,,,56.7094,,,,,4.3007,,,,,1.3287,,,,,51.6656,,,,
2026-05-28,118638748089.3,0.0099,1.3449,,,,,56.4374,,,,,4.2800,,,,,1.3224,,,,,51.4178,,,,
2026-05-27,116637612579.36,0.0100,1.3222,,,,,55.4855,,,,,4.2078,,,,,1.3001,,,,,50.5505,,,,
2026-05-26,117495242083.62,0.0100,1.3319,,,,,55.8935,,,,,4.2388,,,,,1.3096,,,,,50.9222,,,,
2026-05-25,117781118585.04,0.0100,1.3351,,,,,56.0294,,,,,4.2491,,,,,1.3128,,,,,51.0461,,,,
2026-05-22,117495242083.62,0.0100,1.3319,,,,,55.8935,,,,,4.2388,,,,,1.3096,,,,,50.9222,,,,
2026-05-21,116923489080.78,0.0100,1.3254,,,,,55.6215,,,,,4.2181,,,,,1.3032,,,,,50.6744,,,,
2026-05-20,117781118585.04,0.0100,1.3351,,,,,56.0294,,,,,4.2491,,,,,1.3128,,,,,51.0461,,,,
2026-05-19,120068130596.4,0.0098,1.3611,,,,,57.1174,,,,,4.3316,,,,,1.3383,,,,,52.0373,,,,
2026-05-18,118352871587.88,0.0099,1.3416,,,,,56.3014,,,,,4.2697,,,,,1.3192,,,,,51.2939,,,,
2026-05-15,117495242083.62,0.0100,1.3319,,,,,55.8935,,,,,4.2388,,,,,1.3096,,,,,50.9222,,,,
2026-05-14,118924624590.72,0.0099,1.3481,,,,,56.5734,,,,,4.2903,,,,,1.3255,,,,,51.5417,,,,
2026-05-13,121783389604.92,0.0096,1.3805,,,,,57.9334,,,,,4.3935,,,,,1.3574,,,,,52.7807,,,,
2026-05-12,120068130596.4,0.0098,1.3611,,,,,57.1174,,,,,4.3316,,,,,1.3383,,,,,52.0373,,,,
2026-05-11,119210501092.14,0.0098,1.3513,,,,,56.7094,,,,,4.3007,,,,,1.3287,,,,,51.6656,,,,
2026-05-08,118924624590.72,0.0099,1.3481,,,,,56.5734,,,,,4.2903,,,,,1.3255,,,,,51.5417,,,,
2026-05-07,118066995086.46,0.0099,1.3384,,,,,56.1654,,,,,4.2594,,,,,1.3160,,,,,51.1700,,,,
2026-05-06,117495242083.62,0.0100,1.3319,,,,,55.8935,,,,,4.2388,,,,,1.3096,,,,,50.9222,,,,
2026-04-30,116923489080.78,0.0100,1.3254,,,,,55.6215,,,,,4.2181,,,,,1.3032,,,,,50.6744,,,,
2026-04-29,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-04-28,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-04-27,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-04-24,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-04-23,118638748089.3,0.0161,1.3541,,,,,25.1662,,,,,4.0577,,,,,1.3297,,,,,22.2542,,,,
2026-04-22,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-04-21,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2026-04-20,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-04-17,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-04-16,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-04-15,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-04-14,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2026-04-13,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-04-10,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-04-09,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-04-08,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2026-04-07,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-04-03,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-04-02,119496377593.56,0.0160,1.3638,,,,,25.3482,,,,,4.0870,,,,,1.3393,,,,,22.4151,,,,
2026-04-01,119496377593.56,0.0160,1.3638,,,,,25.3482,,,,,4.0870,,,,,1.3393,,,,,22.4151,,,,
2026-03-31,121783389604.92,0.0157,1.3899,,,,,25.8333,,,,,4.1653,,,,,1.3650,,,,,22.8441,,,,
2026-03-30,125499784123.38,0.0153,1.4324,,,,,26.6216,,,,,4.2924,,,,,1.4066,,,,,23.5412,,,,
2026-03-27,126929166630.48,0.0151,1.4487,,,,,26.9248,,,,,4.3413,,,,,1.4227,,,,,23.8093,,,,
2026-03-26,128644425639.0,0.0149,1.4682,,,,,27.2887,,,,,4.3999,,,,,1.4419,,,,,24.1311,,,,
2026-03-25,130359684647.52,0.0147,1.4878,,,,,27.6525,,,,,4.4586,,,,,1.4611,,,,,24.4528,,,,
2026-03-24,126929166630.48,0.0151,1.4487,,,,,26.9248,,,,,4.3413,,,,,1.4227,,,,,23.8093,,,,
2026-03-23,122926895610.6,0.0156,1.4030,,,,,26.0759,,,,,4.2044,,,,,1.3778,,,,,23.0586,,,,
2026-03-20,123784525114.86,0.0155,1.4128,,,,,26.2578,,,,,4.2337,,,,,1.3874,,,,,23.2194,,,,
2026-03-19,123498648613.44,0.0155,1.4095,,,,,26.1971,,,,,4.2239,,,,,1.3842,,,,,23.1658,,,,
2026-03-18,122926895610.6,0.0156,1.4030,,,,,26.0759,,,,,4.2044,,,,,1.3778,,,,,23.0586,,,,
2026-03-17,124070401616.28,0.0154,1.4160,,,,,26.3184,,,,,4.2435,,,,,1.3906,,,,,23.2731,,,,
2026-03-16,124642154619.12,0.0154,1.4226,,,,,26.4397,,,,,4.2630,,,,,1.3970,,,,,23.3803,,,,
2026-03-13,126643290129.06,0.0151,1.4454,,,,,26.8642,,,,,4.3315,,,,,1.4195,,,,,23.7557,,,,
2026-03-12,128358549137.58,0.0149,1.4650,,,,,27.2280,,,,,4.3902,,,,,1.4387,,,,,24.0774,,,,
2026-03-11,128358549137.58,0.0149,1.4650,,,,,27.2280,,,,,4.3902,,,,,1.4387,,,,,24.0774,,,,
2026-03-10,124642154619.12,0.0154,1.4226,,,,,26.4397,,,,,4.2630,,,,,1.3970,,,,,23.3803,,,,
2026-03-09,123784525114.86,0.0155,1.4128,,,,,26.2578,,,,,4.2337,,,,,1.3874,,,,,23.2194,,,,
2026-03-06,122069266106.34,0.0157,1.3932,,,,,25.8939,,,,,4.1750,,,,,1.3682,,,,,22.8977,,,,
2026-03-05,121497513103.5,0.0158,1.3867,,,,,25.7726,,,,,4.1555,,,,,1.3618,,,,,22.7904,,,,
2026-03-04,120354007097.82,0.0159,1.3736,,,,,25.5301,,,,,4.1164,,,,,1.3490,,,,,22.5759,,,,
2026-03-03,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2026-03-02,120068130596.4,0.0160,1.3704,,,,,25.4694,,,,,4.1066,,,,,1.3458,,,,,22.5223,,,,
2026-02-27,118924624590.72,0.0161,1.3573,,,,,25.2269,,,,,4.0675,,,,,1.3329,,,,,22.3078,,,,
2026-02-26,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-02-25,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-02-24,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-02-13,116637612579.36,0.0164,1.3312,,,,,24.7417,,,,,3.9893,,,,,1.3073,,,,,21.8788,,,,
2026-02-12,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-02-11,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-02-10,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-02-09,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-02-06,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2026-02-05,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-02-04,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-02-03,116637612579.36,0.0164,1.3312,,,,,24.7417,,,,,3.9893,,,,,1.3073,,,,,21.8788,,,,
2026-02-02,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2026-01-30,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2026-01-29,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2026-01-28,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2026-01-27,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2026-01-26,119210501092.14,0.0161,1.3606,,,,,25.2875,,,,,4.0773,,,,,1.3361,,,,,22.3614,,,,
2026-01-23,118924624590.72,0.0161,1.3573,,,,,25.2269,,,,,4.0675,,,,,1.3329,,,,,22.3078,,,,
2026-01-22,118924624590.72,0.0161,1.3573,,,,,25.2269,,,,,4.0675,,,,,1.3329,,,,,22.3078,,,,
2026-01-21,118638748089.3,0.0161,1.3541,,,,,25.1662,,,,,4.0577,,,,,1.3297,,,,,22.2542,,,,
2026-01-20,119496377593.56,0.0160,1.3638,,,,,25.3482,,,,,4.0870,,,,,1.3393,,,,,22.4151,,,,
2026-01-19,118924624590.72,0.0161,1.3573,,,,,25.2269,,,,,4.0675,,,,,1.3329,,,,,22.3078,,,,
2026-01-16,118352871587.88,0.0162,1.3508,,,,,25.1056,,,,,4.0479,,,,,1.3265,,,,,22.2006,,,,
2026-01-15,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2026-01-14,118924624590.72,0.0161,1.3573,,,,,25.2269,,,,,4.0675,,,,,1.3329,,,,,22.3078,,,,
2026-01-13,119210501092.14,0.0161,1.3606,,,,,25.2875,,,,,4.0773,,,,,1.3361,,,,,22.3614,,,,
2026-01-12,118638748089.3,0.0161,1.3541,,,,,25.1662,,,,,4.0577,,,,,1.3297,,,,,22.2542,,,,
2026-01-09,118638748089.3,0.0161,1.3541,,,,,25.1662,,,,,4.0577,,,,,1.3297,,,,,22.2542,,,,
2026-01-08,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2026-01-07,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2026-01-06,118352871587.88,0.0162,1.3508,,,,,25.1056,,,,,4.0479,,,,,1.3265,,,,,22.2006,,,,
2026-01-05,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2025-12-31,116923489080.78,0.0164,1.3345,,,,,24.8024,,,,,3.9990,,,,,1.3105,,,,,21.9324,,,,
2025-12-30,117209365582.2,0.0163,1.3377,,,,,24.8630,,,,,4.0088,,,,,1.3137,,,,,21.9861,,,,
2025-12-29,117495242083.62,0.0163,1.3410,,,,,24.9237,,,,,4.0186,,,,,1.3169,,,,,22.0397,,,,
2025-12-26,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2025-12-25,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2025-12-24,118352871587.88,0.0162,1.3508,,,,,25.1056,,,,,4.0479,,,,,1.3265,,,,,22.2006,,,,
2025-12-23,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2025-12-22,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2025-12-19,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2025-12-18,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2025-12-17,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2025-12-16,117781118585.04,0.0163,1.3443,,,,,24.9843,,,,,4.0284,,,,,1.3201,,,,,22.0933,,,,
2025-12-15,118066995086.46,0.0162,1.3475,,,,,25.0449,,,,,4.0382,,,,,1.3233,,,,,22.1469,,,,
2025-12-12,118352871587.88,0.0162,1.3508,,,,,25.1056,,,,,4.0479,,,,,1.3265,,,,,22.2006,,,,
2025-12-11,118352871587.88,0.0162,1.3508,,,,,25.1056,,,,,4.0479,,,,,1.3265,,,,,22.2006,,,,
2025-12-10,118924624590.72,0.0161,1.3573,,,,,25.2269,,,,,4.0675,,,,,1.3329,,,,,22.3078,,,,
2025-12-09,119210501092.14,0.0161,1.3606,,,,,25.2875,,,,,4.0773,,,,,1.3361,,,,,22.3614,,,,
2025-12-08,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2025-12-05,120068130596.4,0.0160,1.3704,,,,,25.4694,,,,,4.1066,,,,,1.3458,,,,,22.5223,,,,
2025-12-04,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2025-12-03,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2025-12-02,119496377593.56,0.0160,1.3638,,,,,25.3482,,,,,4.0870,,,,,1.3393,,,,,22.4151,,,,
2025-12-01,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2025-11-28,119496377593.56,0.0160,1.3638,,,,,25.3482,,,,,4.0870,,,,,1.3393,,,,,22.4151,,,,
2025-11-27,119210501092.14,0.0161,1.3606,,,,,25.2875,,,,,4.0773,,,,,1.3361,,,,,22.3614,,,,
2025-11-26,119210501092.14,0.0161,1.3606,,,,,25.2875,,,,,4.0773,,,,,1.3361,,,,,22.3614,,,,
2025-11-25,119496377593.56,0.0160,1.3638,,,,,25.3482,,,,,4.0870,,,,,1.3393,,,,,22.4151,,,,
2025-11-24,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2025-11-21,119782254094.98,0.0160,1.3671,,,,,25.4088,,,,,4.0968,,,,,1.3426,,,,,22.4687,,,,
2025-11-20,121211636602.08,0.0158,1.3834,,,,,25.7120,,,,,4.1457,,,,,1.3586,,,,,22.7368,,,,
2025-11-19,121211636602.08,0.0158,1.3834,,,,,25.7120,,,,,4.1457,,,,,1.3586,,,,,22.7368,,,,
2025-11-18,121497513103.5,0.0158,1.3867,,,,,25.7726,,,,,4.1555,,,,,1.3618,,,,,22.7904,,,,
2025-11-17,122355142607.76,0.0157,1.3965,,,,,25.9546,,,,,4.1848,,,,,1.3714,,,,,22.9513,,,,
2025-11-14,122355142607.76,0.0157,1.3965,,,,,25.9546,,,,,4.1848,,,,,1.3714,,,,,22.9513,,,,
2025-11-13,122641019109.18,0.0156,1.3997,,,,,26.0152,,,,,4.1946,,,,,1.3746,,,,,23.0049,,,,
2025-11-12,122641019109.18,0.0156,1.3997,,,,,26.0152,,,,,4.1946,,,,,1.3746,,,,,23.0049,,,,
2025-11-11,123498648613.44,0.0155,1.4095,,,,,26.1971,,,,,4.2239,,,,,1.3842,,,,,23.1658,,,,
2025-11-10,123212772112.02,0.0155,1.4063,,,,,26.1365,,,,,4.2142,,,,,1.3810,,,,,23.1122,,,,
2025-11-07,123498648613.44,0.0155,1.4095,,,,,26.1971,,,,,4.2239,,,,,1.3842,,,,,23.1658,,,,
2025-11-06,122926895610.6,0.0156,1.4030,,,,,26.0759,,,,,4.2044,,,,,1.3778,,,,,23.0586,,,,
2025-11-05,122069266106.34,0.0157,1.3932,,,,,25.8939,,,,,4.1750,,,,,1.3682,,,,,22.8977,,,,
2025-11-04,121783389604.92,0.0157,1.3899,,,,,25.8333,,,,,4.1653,,,,,1.3650,,,,,22.8441,,,,
2025-11-03,121783389604.92,0.0157,1.3899,,,,,25.8333,,,,,4.1653,,,,,1.3650,,,,,22.8441,,,,
2025-10-31,121497513103.5,0.0158,1.3867,,,,,25.7726,,,,,4.1555,,,,,1.3618,,,,,22.7904,,,,
2025-10-30,125213907621.96,0.0153,1.4379,,,,,23.9959,,,,,4.2598,,,,,1.4119,,,,,21.2658,,,,
2025-10-29,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-10-28,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-10-27,123784525114.86,0.0155,1.4215,,,,,23.7219,,,,,4.2112,,,,,1.3958,,,,,21.0230,,,,
2025-10-24,122926895610.6,0.0156,1.4116,,,,,23.5576,,,,,4.1820,,,,,1.3861,,,,,20.8774,,,,
2025-10-23,123784525114.86,0.0155,1.4215,,,,,23.7219,,,,,4.2112,,,,,1.3958,,,,,21.0230,,,,
2025-10-22,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-10-21,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-10-20,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-10-17,122926895610.6,0.0156,1.4116,,,,,23.5576,,,,,4.1820,,,,,1.3861,,,,,20.8774,,,,
2025-10-16,123498648613.44,0.0155,1.4182,,,,,23.6671,,,,,4.2015,,,,,1.3926,,,,,20.9745,,,,
2025-10-15,123212772112.02,0.0155,1.4149,,,,,23.6124,,,,,4.1917,,,,,1.3894,,,,,20.9259,,,,
2025-10-14,123784525114.86,0.0155,1.4215,,,,,23.7219,,,,,4.2112,,,,,1.3958,,,,,21.0230,,,,
2025-10-13,124070401616.28,0.0154,1.4248,,,,,23.7767,,,,,4.2209,,,,,1.3990,,,,,21.0716,,,,
2025-10-10,123498648613.44,0.0155,1.4182,,,,,23.6671,,,,,4.2015,,,,,1.3926,,,,,20.9745,,,,
2025-10-09,124070401616.28,0.0154,1.4248,,,,,23.7767,,,,,4.2209,,,,,1.3990,,,,,21.0716,,,,
2025-09-30,121497513103.5,0.0158,1.3952,,,,,23.2836,,,,,4.1334,,,,,1.3700,,,,,20.6346,,,,
2025-09-29,122355142607.76,0.0157,1.4051,,,,,23.4480,,,,,4.1626,,,,,1.3797,,,,,20.7803,,,,
2025-09-26,122355142607.76,0.0157,1.4051,,,,,23.4480,,,,,4.1626,,,,,1.3797,,,,,20.7803,,,,
2025-09-25,121211636602.08,0.0158,1.3920,,,,,23.2289,,,,,4.1237,,,,,1.3668,,,,,20.5860,,,,
2025-09-24,121783389604.92,0.0157,1.3985,,,,,23.3384,,,,,4.1431,,,,,1.3732,,,,,20.6831,,,,
2025-09-23,121783389604.92,0.0157,1.3985,,,,,23.3384,,,,,4.1431,,,,,1.3732,,,,,20.6831,,,,
2025-09-22,121497513103.5,0.0158,1.3952,,,,,23.2836,,,,,4.1334,,,,,1.3700,,,,,20.6346,,,,
2025-09-19,121497513103.5,0.0158,1.3952,,,,,23.2836,,,,,4.1334,,,,,1.3700,,,,,20.6346,,,,
2025-09-18,122355142607.76,0.0157,1.4051,,,,,23.4480,,,,,4.1626,,,,,1.3797,,,,,20.7803,,,,
2025-09-17,122355142607.76,0.0157,1.4051,,,,,23.4480,,,,,4.1626,,,,,1.3797,,,,,20.7803,,,,
2025-09-16,122355142607.76,0.0157,1.4051,,,,,23.4480,,,,,4.1626,,,,,1.3797,,,,,20.7803,,,,
2025-09-15,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-09-12,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-09-11,123212772112.02,0.0155,1.4149,,,,,23.6124,,,,,4.1917,,,,,1.3894,,,,,20.9259,,,,
2025-09-10,122641019109.18,0.0156,1.4084,,,,,23.5028,,,,,4.1723,,,,,1.3829,,,,,20.8288,,,,
2025-09-09,123498648613.44,0.0155,1.4182,,,,,23.6671,,,,,4.2015,,,,,1.3926,,,,,20.9745,,,,
2025-09-08,124070401616.28,0.0154,1.4248,,,,,23.7767,,,,,4.2209,,,,,1.3990,,,,,21.0716,,,,
2025-09-05,122069266106.34,0.0157,1.4018,,,,,23.3932,,,,,4.1528,,,,,1.3765,,,,,20.7317,,,,
2025-09-04,121211636602.08,0.0158,1.3920,,,,,23.2289,,,,,4.1237,,,,,1.3668,,,,,20.5860,,,,
2025-09-03,121211636602.08,0.0158,1.3920,,,,,23.2289,,,,,4.1237,,,,,1.3668,,,,,20.5860,,,,
2025-09-02,121783389604.92,0.0157,1.3985,,,,,23.3384,,,,,4.1431,,,,,1.3732,,,,,20.6831,,,,
2025-09-01,121211636602.08,0.0158,1.3920,,,,,23.2289,,,,,4.1237,,,,,1.3668,,,,,20.5860,,,,
2025-08-29,121497513103.5,0.0158,1.4172,,,,,21.2418,,,,,4.1261,,,,,1.3912,,,,,19.7984,,,,
2025-08-28,122069266106.34,0.0157,1.4238,,,,,21.3417,,,,,4.1455,,,,,1.3977,,,,,19.8915,,,,
2025-08-27,121783389604.92,0.0157,1.4205,,,,,21.2918,,,,,4.1358,,,,,1.3944,,,,,19.8450,,,,
2025-08-26,123498648613.44,0.0155,1.4405,,,,,21.5916,,,,,4.1940,,,,,1.4141,,,,,20.1245,,,,
2025-08-25,123498648613.44,0.0155,1.4405,,,,,21.5916,,,,,4.1940,,,,,1.4141,,,,,20.1245,,,,
2025-08-22,122355142607.76,0.0157,1.4272,,,,,21.3917,,,,,4.1552,,,,,1.4010,,,,,19.9381,,,,
2025-08-21,122069266106.34,0.0157,1.4238,,,,,21.3417,,,,,4.1455,,,,,1.3977,,,,,19.8915,,,,
