date,总资产收益率(ROA),净利润率,毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.0071,0.0964,0.392,0.0194,0.0246
2025-12-31,0.0111,0.1452,0.4181,0.0252,0.0388
2025-09-30,0.0166,0.2037,0.4599,0.0328,0.0568
2025-06-30,0.0194,0.2312,0.4827,0.0369,0.0658
2025-03-31,0.0212,0.2473,0.5007,0.0396,0.0705
2024-12-31,0.0223,0.251,0.5263,0.0415,0.0749
2024-09-30,0.0266,0.2873,0.5377,0.047,0.0858
2024-06-30,0.0264,0.2874,0.5361,0.0475,0.0837
2024-03-31,0.0281,0.3042,0.5531,0.0496,0.0879
2023-12-31,0.0288,0.3122,0.5513,0.0512,0.0902
2023-09-30,0.0282,0.2955,0.5405,0.0507,0.0847
2023-06-30,0.0295,0.3056,0.5526,0.0532,0.0881
2023-03-31,0.0336,0.3456,0.5646,0.0581,0.1006
2022-12-31,0.035,0.352,0.584,0.062,0.1019
2022-09-30,0.0389,0.4032,0.6004,0.0654,0.1099
2022-06-30,0.0382,0.4213,0.6042,0.0636,0.1054
2022-03-31,0.0356,0.4038,0.6,0.0633,0.11
2021-12-31,0.0338,0.3931,0.5841,0.0599,0.099
2021-09-30,0.0328,0.3623,0.582,0.0605,0.0882
2021-06-30,,0.3828,0.5943,,
2021-03-31,0.0344,0.3583,0.589,0.0616,0.0978
2020-12-31,0.0323,0.3465,0.5755,0.0632,0.089
2020-09-30,,,,,
2020-06-30,,,,,
2020-03-31,,,,,
2019-12-31,0.033,0.3406,0.5674,0.0564,0.0719
2018-12-31,0.0369,0.3831,0.563,0.0625,0.0799
2017-12-31,,0.3774,0.5396,,
