date,有息负债率,流动比率,所有者权益合计,应收账款,负债合计,长期负债合计,流动资产合计,货币资金,流动负债合计,资产合计,速动比率,资产负债率
2026-03-31,0.5264,1.0236,110165671702,50698728959,282889137031,159023846050,0,121783389604.92,660954675,393054808733,1.002,0.7197
2025-12-31,0.5259,0.8906,108744300462,48253225099,278411229513,156128177399,0,116923489080.78,640309468,387155529975,0.8732,0.7191
2025-09-30,0.5254,1.155,108395201763,46626266518,268628180846,163076190863,0,121497513103.5,503164232,377023382609,1.1201,0.7125
2025-06-30,0.522,1.0089,106788217622,49650794426,264235263861,155997181487,0,121915367182.44,501177013,371023481483,0.9768,0.7122
2025-03-31,0.5229,1.1475,107173464024,47690751899,253357608720,158084424444,0,121056808258.62,515378324,360531072744,1.061,0.7027
2024-12-31,0.5263,0.8665,103646527228,44757747404,253224899472,147198414200,0,125068260286.52,497362606,356871426700,0.8329,0.7096
2024-09-30,0.5308,1.0647,101112367299,42493091436,238961836199,146222838627,0,138813107120,308613671,340074203497,0.9985,0.7027
2024-06-30,0.5195,0.9401,99858277272,42442611239,231284546246,136123412107,0,124788690112,292944436,331142823518,0.8667,0.6984
2024-03-31,0.5139,1.2745,99563694288,40077014241,225384834335,140787583917,0,134234268448,246351999,324948528623,1.1351,0.6936
2023-12-31,0.51,1.0157,95484939075,36673560751,216222621829,133670428483,0,125082331704,219413276,311707560904,0.9266,0.6937
2023-09-30,0.5174,1.2259,92822199284,33385951523,191676500894,123289869507,0,136821521176,79491190,284498700178,1.0916,0.6737
2023-06-30,0.5008,1.136,91410546540,32681699713,184255898735,112749174473,0,153711520104,94297942,275666445275,1.0156,0.6684
2023-03-31,0.5027,1.2122,91033489374,29715059162,179912980006,109355805659,0,156866201216,115813279,270946469380,1.0705,0.664
2022-12-31,0.5004,0.9077,87959290685,26728037733,174167873509,99456430726,0,161700344500,68516658,262127164194,0.8318,0.6644
2022-09-30,0.4934,1.2058,86546865279,27882173321,167611953793,102531839559,0,161133471300,161253217,254158819072,1.0751,0.6595
2022-06-30,0.4914,1.1937,84735002192,26670659251,164848607719,99273310467,0,180023007900,0,249583609911,1.0986,0.6605
2022-03-31,0.4814,1.1541,79888740452,23484844664,160427011854,94258213782,0,175732633000,1313930,240315752306,1.0882,0.6676
2021-12-31,0.461,0.9092,76595276652,18970494099,140601171305,78035745511,0,214568210000,2269732,217196447957,0.8674,0.6473
2021-09-30,0.4677,1.4596,73043852345,17726983589,123505427311,76178992583,0,210568270000,1466383,196549279656,1.3853,0.6284
2021-06-30,0.4588,1.6825,72954172453,16044492462,112131190044,69095814215,0,181711560000,2232264,185085362497,1.5824,0.6058
2021-03-31,0.5726,0.9076,48292184000,13921767919,107397123397,60599774191,0,,16907715,155689307397,0.7094,0.6898
2020-12-31,0.4696,0.7045,46395826404,12362494654,96058528623,49779940445,0,,3001530,142454355027,0.5058,0.6743
2020-09-30,0.4759,1.1383,44927138345,13078019369,75459389903,41306068592,0,,9619291,120386528247,0.7975,0.6268
2020-06-30,,,,0,,0,0,,0,,,
2020-03-31,0.4483,1.0382,42992952914,11107668253,60688360216,34037160337,0,,5581917,103681313129,0.8683,0.5853
2019-12-31,0.4427,0.7629,41695528201,9818333462,58354515215,29611982476,0,,0,100050043416,0.667,0.5833
2018-12-31,0.3615,1.2358,43179207360,7188160017,41907584962,23727121784,0,,0,85086792322,1.0983,0.4925
2017-12-31,0.4505,0.8153,27587371020,5014101892,40454886445,22161505616,0,,0,68042257465,0.6874,0.5946
